split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,1248,25,10,238,0.9769888231426693,0.9049429657794676,0.9596774193548387,0.9315068493150684,0.019638648860958365,0.9700193852469402,1521,248,0.5,0.9971650660112004,0.9868400937471158,0.0168263553760315,0.05530115609625835
train,fixed,1,1055,11,9,239,0.984779299847793,0.956,0.9637096774193549,0.9598393574297188,0.010318949343339587,0.9766953640380076,1314,248,0.5,0.9982524359983054,0.9934358169031773,0.013884883762614141,0.05003642791273365
train,fixed,2,1000,27,16,232,0.9662745098039216,0.8957528957528957,0.9354838709677419,0.9151873767258383,0.02629016553067186,0.954596852718535,1275,248,0.5,0.9947388258943997,0.9800386534504238,0.024456586770626083,0.07801519238462395
train,fixed,3,821,20,26,222,0.9577594123048668,0.9173553719008265,0.8951612903225806,0.9061224489795918,0.023781212841854936,0.9356900387403628,1089,248,0.5,0.9938868858118216,0.9790605207661977,0.028132242895151274,0.09146883080588664
train,fixed,4,881,34,12,236,0.9604471195184867,0.8740740740740741,0.9516129032258065,0.9111969111969112,0.03715846994535519,0.9572272166402256,1163,248,0.5,0.9951568834831659,0.985608582964008,0.026056113910517775,0.08185971310958184
train,fixed,5,880,8,13,235,0.9815140845070423,0.9670781893004116,0.9475806451612904,0.9572301425661914,0.009009009009009009,0.9692858180761407,1136,248,0.5,0.9978703501888986,0.9933515446077797,0.01468608524106227,0.05221715853822178
train,fixed,6,849,11,23,225,0.9693140794223827,0.9533898305084746,0.907258064516129,0.9297520661157025,0.012790697674418604,0.9472336834208552,1108,248,0.5,0.9948049512378094,0.9846727752092701,0.022824269806965305,0.07848660335379935
train,fixed,7,1084,31,16,232,0.9655172413793104,0.8821292775665399,0.9354838709677419,0.9080234833659491,0.02780269058295964,0.9538405901923912,1363,248,0.5,0.9949551569506726,0.9808757201515976,0.023728694535117674,0.08045753747461287
train,fixed,8,1031,8,34,214,0.9673659673659674,0.963963963963964,0.8629032258064516,0.9106382978723404,0.007699711260827719,0.9276017572728119,1287,248,0.5,0.9972523207799063,0.988559519289059,0.02119933115702445,0.0658930848624257
train,fixed,9,1184,2,23,225,0.9825662482566249,0.9911894273127754,0.907258064516129,0.9473684210526315,0.0016863406408094434,0.9527858619376598,1434,248,0.5,0.9993404232171027,0.9969502323442259,0.011603988472288057,0.0412174828678037
train,val_f1,0,1234,39,7,241,0.9697567389875082,0.8607142857142858,0.9717741935483871,0.9128787878787878,0.030636292223095052,0.970568950662646,1521,248,0.33,0.9971650660112004,0.9868400937471158,0.0168263553760315,0.05530115609625835
train,val_f1,1,1034,32,5,243,0.971841704718417,0.8836363636363637,0.9798387096774194,0.9292543021032504,0.0300187617260788,0.9749099739756704,1314,248,0.33,0.9982524359983054,0.9934358169031773,0.013884883762614141,0.05003642791273365
train,val_f1,2,991,36,10,238,0.9639215686274509,0.8686131386861314,0.9596774193548387,0.9118773946360154,0.035053554040895815,0.9623119326569715,1275,248,0.33,0.9947388258943997,0.9800386534504238,0.024456586770626083,0.07801519238462395
train,val_f1,3,813,28,11,237,0.9641873278236914,0.8943396226415095,0.9556451612903226,0.9239766081871345,0.03329369797859691,0.9611757316558629,1089,248,0.33,0.9938868858118216,0.9790605207661977,0.028132242895151274,0.09146883080588664
train,val_f1,4,868,47,9,239,0.9518486672398968,0.8356643356643356,0.9637096774193549,0.8951310861423221,0.05136612021857923,0.9561717786003878,1163,248,0.33,0.9951568834831659,0.985608582964008,0.026056113910517775,0.08185971310958184
train,val_f1,5,870,18,8,240,0.977112676056338,0.9302325581395349,0.967741935483871,0.9486166007905138,0.02027027027027027,0.9737358326068004,1136,248,0.33,0.9978703501888986,0.9933515446077797,0.01468608524106227,0.05221715853822178
train,val_f1,6,841,19,14,234,0.970216606498195,0.924901185770751,0.9435483870967742,0.9341317365269461,0.022093023255813953,0.9607276819204802,1108,248,0.33,0.9948049512378094,0.9846727752092701,0.022824269806965305,0.07848660335379935
train,val_f1,7,1060,55,10,238,0.9523110785033015,0.8122866894197952,0.9596774193548387,0.8798521256931608,0.04932735426008968,0.9551750325473745,1363,248,0.33,0.9949551569506726,0.9808757201515976,0.023728694535117674,0.08045753747461287
train,val_f1,8,1025,14,23,225,0.9712509712509713,0.9414225941422594,0.907258064516129,0.9240246406570842,0.013474494706448507,0.9468917849048403,1287,248,0.33,0.9972523207799063,0.988559519289059,0.02119933115702445,0.0658930848624257
train,val_f1,9,1182,4,7,241,0.9923291492329149,0.9836734693877551,0.9717741935483871,0.9776876267748479,0.003372681281618887,0.9842007561333841,1434,248,0.33,0.9993404232171027,0.9969502323442259,0.011603988472288057,0.0412174828678037
train,val_fpr02,0,1227,46,7,241,0.965154503616042,0.8397212543554007,0.9717741935483871,0.9009345794392524,0.03613511390416339,0.9678195398221119,1521,248,0.3,0.9971650660112004,0.9868400937471158,0.0168263553760315,0.05530115609625835
train,val_fpr02,1,1031,35,4,244,0.9703196347031964,0.8745519713261649,0.9838709677419355,0.9259962049335864,0.03283302063789869,0.9755189735520184,1314,248,0.3,0.9982524359983054,0.9934358169031773,0.013884883762614141,0.05003642791273365
train,val_fpr02,2,989,38,9,239,0.9631372549019608,0.8628158844765343,0.9637096774193549,0.9104761904761904,0.03700097370983447,0.9633543518547603,1275,248,0.3,0.9947388258943997,0.9800386534504238,0.024456586770626083,0.07801519238462395
train,val_fpr02,3,811,30,9,239,0.9641873278236914,0.8884758364312267,0.9637096774193549,0.9245647969052224,0.0356718192627824,0.9640189290782862,1089,248,0.3,0.9938868858118216,0.9790605207661977,0.028132242895151274,0.09146883080588664
train,val_fpr02,4,865,50,9,239,0.9492691315563199,0.8269896193771626,0.9637096774193549,0.8901303538175046,0.0546448087431694,0.9545324343380928,1163,248,0.3,0.9951568834831659,0.985608582964008,0.026056113910517775,0.08185971310958184
train,val_fpr02,5,868,20,8,240,0.9753521126760564,0.9230769230769231,0.967741935483871,0.9448818897637795,0.02252252252252252,0.9726097064806742,1136,248,0.3,0.9978703501888986,0.9933515446077797,0.01468608524106227,0.05221715853822178
train,val_fpr02,6,837,23,12,236,0.9684115523465704,0.9111969111969112,0.9516129032258065,0.9309664694280079,0.026744186046511628,0.9624343585896474,1108,248,0.3,0.9948049512378094,0.9846727752092701,0.022824269806965305,0.07848660335379935
train,val_fpr02,7,1055,60,10,238,0.9486426999266324,0.7986577181208053,0.9596774193548387,0.8717948717948718,0.053811659192825115,0.9529328800810069,1363,248,0.3,0.9949551569506726,0.9808757201515976,0.023728694535117674,0.08045753747461287
train,val_fpr02,8,1025,14,19,229,0.9743589743589743,0.9423868312757202,0.9233870967741935,0.9327902240325866,0.013474494706448507,0.9549563010338725,1287,248,0.3,0.9972523207799063,0.988559519289059,0.02119933115702445,0.0658930848624257
train,val_fpr02,9,1181,5,7,241,0.9916317991631799,0.9796747967479674,0.9717741935483871,0.9757085020242915,0.0042158516020236085,0.9837791709731818,1434,248,0.3,0.9993404232171027,0.9969502323442259,0.011603988472288057,0.0412174828678037
validation,fixed,0,197,0,5,57,0.9806949806949807,1.0,0.9193548387096774,0.957983193277311,0.0,0.9596774193548387,259,62,0.5,0.9992631406582609,0.9977104261719897,0.016246170572584512,0.054163212288190925
validation,fixed,1,266,8,4,58,0.9642857142857143,0.8787878787878788,0.9354838709677419,0.90625,0.029197080291970802,0.9531433953378856,336,62,0.5,0.9953496585825289,0.9813136763143029,0.022952925630733215,0.06854553476479917
validation,fixed,2,272,6,2,60,0.9764705882352941,0.9090909090909091,0.967741935483871,0.9375,0.02158273381294964,0.9730796008354607,340,62,0.5,0.9989556741703411,0.9956424486962103,0.01396994354899708,0.049279176342829106
validation,fixed,3,293,8,5,57,0.9641873278236914,0.8769230769230769,0.9193548387096774,0.8976377952755905,0.026578073089700997,0.9463883828099882,363,62,0.5,0.996141892616011,0.982716635187281,0.023856711589690605,0.07185188022315146
validation,fixed,4,169,0,15,47,0.935064935064935,1.0,0.7580645161290323,0.8623853211009175,0.0,0.8790322580645161,231,62,0.5,0.998759305210918,0.9967669186855512,0.04915378242905343,0.16552268107768756
validation,fixed,5,207,0,12,50,0.9553903345724907,1.0,0.8064516129032258,0.8928571428571429,0.0,0.9032258064516129,269,62,0.5,0.9989870656069815,0.9967669186855512,0.03198936071931601,0.09870676243488903
validation,fixed,6,244,1,8,54,0.9706840390879479,0.9818181818181818,0.8709677419354839,0.9230769230769231,0.004081632653061225,0.9334430546412114,307,62,0.5,0.9973666886109283,0.9902202592399375,0.022708037926155996,0.07507720513442798
validation,fixed,7,217,0,10,52,0.96415770609319,1.0,0.8387096774193549,0.9122807017543859,0.0,0.9193548387096775,279,62,0.5,0.9958376690946931,0.9874326981841559,0.026760698844518482,0.08955991004741665
validation,fixed,8,253,0,8,54,0.9746031746031746,1.0,0.8709677419354839,0.9310344827586207,0.0,0.935483870967742,315,62,0.5,0.9980237154150198,0.9926775955243771,0.020393512027475014,0.06769568077787597
validation,fixed,9,275,5,9,53,0.9590643274853801,0.9137931034482759,0.8548387096774194,0.8833333333333333,0.017857142857142856,0.9184907834101382,342,62,0.5,0.9918202764976959,0.9692371630554968,0.0316117236980938,0.11755868060604671
validation,val_f1,0,196,1,4,58,0.9806949806949807,0.9830508474576272,0.9354838709677419,0.9586776859504132,0.005076142131979695,0.9652038644178811,259,62,0.33,0.9992631406582609,0.9977104261719897,0.016246170572584512,0.054163212288190925
validation,val_f1,1,263,11,2,60,0.9613095238095238,0.8450704225352113,0.967741935483871,0.9022556390977443,0.040145985401459854,0.9637979750412056,336,62,0.33,0.9953496585825289,0.9813136763143029,0.022952925630733215,0.06854553476479917
validation,val_f1,2,270,8,0,62,0.9764705882352941,0.8857142857142857,1.0,0.9393939393939394,0.02877697841726619,0.9856115107913669,340,62,0.33,0.9989556741703411,0.9956424486962103,0.01396994354899708,0.049279176342829106
validation,val_f1,3,292,9,4,58,0.9641873278236914,0.8656716417910447,0.9354838709677419,0.8992248062015504,0.029900332225913623,0.9527917693709141,363,62,0.33,0.996141892616011,0.982716635187281,0.023856711589690605,0.07185188022315146
validation,val_f1,4,169,0,13,49,0.9437229437229437,1.0,0.7903225806451613,0.8828828828828829,0.0,0.8951612903225806,231,62,0.33,0.998759305210918,0.9967669186855512,0.04915378242905343,0.16552268107768756
validation,val_f1,5,207,0,9,53,0.966542750929368,1.0,0.8548387096774194,0.9217391304347826,0.0,0.9274193548387097,269,62,0.33,0.9989870656069815,0.9967669186855512,0.03198936071931601,0.09870676243488903
validation,val_f1,6,243,2,7,55,0.9706840390879479,0.9649122807017544,0.8870967741935484,0.9243697478991597,0.00816326530612245,0.939466754443713,307,62,0.33,0.9973666886109283,0.9902202592399375,0.022708037926155996,0.07507720513442798
validation,val_f1,7,216,1,5,57,0.978494623655914,0.9827586206896551,0.9193548387096774,0.95,0.004608294930875576,0.9573732718894009,279,62,0.33,0.9958376690946931,0.9874326981841559,0.026760698844518482,0.08955991004741665
validation,val_f1,8,253,0,6,56,0.9809523809523809,1.0,0.9032258064516129,0.9491525423728814,0.0,0.9516129032258065,315,62,0.33,0.9980237154150198,0.9926775955243771,0.020393512027475014,0.06769568077787597
validation,val_f1,9,273,7,8,54,0.956140350877193,0.8852459016393442,0.8709677419354839,0.8780487804878049,0.025,0.9229838709677419,342,62,0.33,0.9918202764976959,0.9692371630554968,0.0316117236980938,0.11755868060604671
validation,val_fpr02,0,196,1,4,58,0.9806949806949807,0.9830508474576272,0.9354838709677419,0.9586776859504132,0.005076142131979695,0.9652038644178811,259,62,0.3,0.9992631406582609,0.9977104261719897,0.016246170572584512,0.054163212288190925
validation,val_fpr02,1,262,12,2,60,0.9583333333333334,0.8333333333333334,0.967741935483871,0.8955223880597015,0.043795620437956206,0.9619731575229574,336,62,0.3,0.9953496585825289,0.9813136763143029,0.022952925630733215,0.06854553476479917
validation,val_fpr02,2,268,10,0,62,0.9705882352941176,0.8611111111111112,1.0,0.9253731343283582,0.03597122302158273,0.9820143884892086,340,62,0.3,0.9989556741703411,0.9956424486962103,0.01396994354899708,0.049279176342829106
validation,val_fpr02,3,291,10,3,59,0.9641873278236914,0.855072463768116,0.9516129032258065,0.9007633587786259,0.03322259136212625,0.9591951559318401,363,62,0.3,0.996141892616011,0.982716635187281,0.023856711589690605,0.07185188022315146
validation,val_fpr02,4,169,0,11,51,0.9523809523809523,1.0,0.8225806451612904,0.9026548672566371,0.0,0.9112903225806452,231,62,0.3,0.998759305210918,0.9967669186855512,0.04915378242905343,0.16552268107768756
validation,val_fpr02,5,207,0,9,53,0.966542750929368,1.0,0.8548387096774194,0.9217391304347826,0.0,0.9274193548387097,269,62,0.3,0.9989870656069815,0.9967669186855512,0.03198936071931601,0.09870676243488903
validation,val_fpr02,6,243,2,7,55,0.9706840390879479,0.9649122807017544,0.8870967741935484,0.9243697478991597,0.00816326530612245,0.939466754443713,307,62,0.3,0.9973666886109283,0.9902202592399375,0.022708037926155996,0.07507720513442798
validation,val_fpr02,7,213,4,5,57,0.967741935483871,0.9344262295081968,0.9193548387096774,0.926829268292683,0.018433179723502304,0.9504608294930875,279,62,0.3,0.9958376690946931,0.9874326981841559,0.026760698844518482,0.08955991004741665
validation,val_fpr02,8,252,1,6,56,0.9777777777777777,0.9824561403508771,0.9032258064516129,0.9411764705882353,0.003952569169960474,0.9496366186408263,315,62,0.3,0.9980237154150198,0.9926775955243771,0.020393512027475014,0.06769568077787597
validation,val_fpr02,9,273,7,8,54,0.956140350877193,0.8852459016393442,0.8709677419354839,0.8780487804878049,0.025,0.9229838709677419,342,62,0.3,0.9918202764976959,0.9692371630554968,0.0316117236980938,0.11755868060604671
test_all,fixed,0,993,0,15,12,0.9852941176470589,1.0,0.4444444444444444,0.6153846153846154,0.0,0.7222222222222222,1020,27,0.5,0.9904889784043863,0.8382889876229704,0.011391445390687613,0.04615301773116304
test_all,fixed,1,867,0,12,21,0.9866666666666667,1.0,0.6363636363636364,0.7777777777777778,0.0,0.8181818181818181,900,33,0.5,1.0,0.9999999999999999,0.008624669303576787,0.025200017851694685
test_all,fixed,2,984,13,2,55,0.9857685009487666,0.8088235294117647,0.9649122807017544,0.88,0.013039117352056168,0.9759365816748491,1054,57,0.5,0.9978356120994563,0.9724473761271417,0.011150208625249023,0.037112866874356866
test_all,fixed,3,625,0,17,26,0.9745508982035929,1.0,0.6046511627906976,0.7536231884057971,0.0,0.8023255813953488,668,43,0.5,0.9999255813953488,0.9989306258911452,0.017057404458904402,0.05103970834079602
