epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5267374976257251,,,,0.0007970108999870718,0.010288495570421219,,1.2473317384719849,6452080,20,6452080,6452080,0,3.629321546002757,3.624795219995576,0.5759368049984914,0.0032479149995197076,0.5261664,12690,10,10,0.8726779962499653
2,0.40344429169679125,,,,0.0011883650440722704,0.015301880426704884,,1.5885710716247559,6452080,20,6452080,6452080,0,3.6248710180007038,3.6204918729999918,0.5771923180000158,0.0031482070007768925,0.5261664,12690,10,10,0.8726779962499653
3,0.28999147249090224,,,,0.001192085794173181,0.015323275700211525,,1.1028878688812256,6452080,20,6452080,6452080,0,3.6177068050019443,3.613336997994338,0.5840329730017402,0.0031029080018925015,0.5261664,12690,10,10,0.8726779962499653
4,0.2608272918223534,,,,0.00133798667229712,0.017180226743221283,,1.1378730535507202,6452080,20,6452080,6452080,0,3.7258187610023015,3.721496714002569,0.5974596550004208,0.003126908999547595,0.5261664,12690,10,10,0.8726779962499653
5,0.2264131599403243,0.21012732703402878,0.9085827030582045,0.7347328244274809,0.0013628053711727262,0.017467806115746498,0.025833333333333333,1.1964455842971802,6452080,20,6452080,6452080,0,3.487026173999766,3.482621482995455,0.5456635349983117,0.00316931400084286,0.5261664,12690,10,10,0.8726779962499653
6,0.21650626718209157,,,,0.001465117558836937,0.018752172589302063,,1.1325145959854126,6452080,20,6452080,6452080,0,3.5831601659992884,3.5788247700038482,0.5754203310025332,0.0030225010013964493,0.5261664,12690,10,10,0.8726779962499653
7,0.193913419474003,,,,0.0015471496153622866,0.01976626366376877,,1.2410610914230347,6452080,20,6452080,6452080,0,3.392371704998368,3.3880894070098293,0.5649447620016872,0.003045495002879761,0.5261664,12690,10,10,0.8726779962499653
8,0.1695475854864359,,,,0.0017060886602848768,0.021755142137408257,,1.1947410106658936,6452080,20,6452080,6452080,0,3.512678949999099,3.508733256992855,0.5660220699974161,0.002823581002303399,0.5261664,12690,10,10,0.8726779962499653
9,0.1609130699585835,,,,0.0017023333348333836,0.021673260256648064,,1.2853878736495972,6452080,20,6452080,6452080,0,3.536460530001932,3.531680715997936,0.5793869580011233,0.0035167330024705734,0.5261664,12690,10,10,0.8726779962499653
10,0.1556880991323612,0.17648306558286175,0.9296284117066754,0.8040293040293041,0.0017084184801205993,0.021717099472880363,0.034027777777777775,1.2657793760299683,6452080,20,6452080,6452080,0,3.662368870998762,3.65756405400316,0.5312686239994946,0.003207491998182377,0.5261664,12690,10,10,0.8726779962499653
