split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,751,0,58,190,0.9419419419419419,1.0,0.7661290322580645,0.867579908675799,0.0,0.8830645161290323,999,248,0.5,0.9982872299299859,0.9948626624264962,0.03699468540424592,0.1112991545962785
train,fixed,1,1367,110,0,248,0.936231884057971,0.6927374301675978,1.0,0.8184818481848185,0.07447528774542993,0.9627623561272851,1725,248,0.5,0.9980562168301046,0.9885979926712463,0.0455000403387163,0.13901159874727098
train,fixed,2,637,0,38,210,0.9570621468926553,1.0,0.8467741935483871,0.9170305676855895,0.0,0.9233870967741935,885,248,0.5,0.9981769382691041,0.9958093719060549,0.029175566312453882,0.09619687738572225
train,fixed,3,513,0,45,203,0.9408672798948752,1.0,0.8185483870967742,0.9002217294900222,0.0,0.9092741935483871,761,248,0.5,0.9962271269571779,0.9925095019377158,0.045610759438921136,0.1479562957664932
train,fixed,4,1116,60,0,248,0.9578651685393258,0.8051948051948052,1.0,0.8920863309352518,0.05102040816326531,0.9744897959183674,1424,248,0.5,0.9989645051569015,0.9953111043738956,0.028377595464259907,0.08619890385498165
train,fixed,5,1058,1,50,198,0.9609793420045907,0.9949748743718593,0.7983870967741935,0.8859060402684564,0.0009442870632672333,0.8987214048554631,1307,248,0.5,0.9987853726887813,0.9948896341288831,0.025274168931832156,0.07774314525899337
train,fixed,6,1798,51,0,248,0.9756795422031473,0.8294314381270903,1.0,0.906764168190128,0.027582477014602487,0.9862087614926988,2097,248,0.5,0.998961949789773,0.9925703888507782,0.018947967087496336,0.06132023186406045
train,fixed,7,920,2,37,211,0.9666666666666667,0.9906103286384976,0.8508064516129032,0.9154013015184381,0.0021691973969631237,0.9243186271079701,1170,248,0.5,0.9988410538100903,0.9957231607585426,0.021306418714857635,0.06779161661984495
train,fixed,8,843,9,15,233,0.9781818181818182,0.9628099173553719,0.9395161290322581,0.9510204081632653,0.01056338028169014,0.964476374375284,1100,248,0.5,0.9976999091322126,0.9928970678755239,0.016705690236138594,0.05788948941105032
train,fixed,9,947,27,6,242,0.9729950900163666,0.8996282527881041,0.9758064516129032,0.9361702127659575,0.027720739219712527,0.9740428561965954,1222,248,0.5,0.9972842286546996,0.9895780572171538,0.019839974897982646,0.06672371590374075
train,val_f1,0,749,2,32,216,0.965965965965966,0.9908256880733946,0.8709677419354839,0.927038626609442,0.002663115845539281,0.9341523130449723,999,248,0.32,0.9982872299299859,0.9948626624264962,0.03699468540424592,0.1112991545962785
train,val_f1,1,1334,143,0,248,0.9171014492753623,0.6342710997442456,1.0,0.7762128325508607,0.09681787406905891,0.9515910629654705,1725,248,0.32,0.9980562168301046,0.9885979926712463,0.0455000403387163,0.13901159874727098
train,val_f1,2,636,1,18,230,0.9785310734463277,0.9956709956709957,0.9274193548387096,0.9603340292275574,0.0015698587127158557,0.9629247480629969,885,248,0.32,0.9981769382691041,0.9958093719060549,0.029175566312453882,0.09619687738572225
train,val_f1,3,512,1,36,212,0.9513797634691196,0.9953051643192489,0.8548387096774194,0.9197396963123644,0.001949317738791423,0.926444695969314,761,248,0.32,0.9962271269571779,0.9925095019377158,0.045610759438921136,0.1479562957664932
train,val_f1,4,1095,81,0,248,0.9431179775280899,0.7537993920972644,1.0,0.8596187175043327,0.06887755102040816,0.965561224489796,1424,248,0.32,0.9989645051569015,0.9953111043738956,0.028377595464259907,0.08619890385498165
train,val_f1,5,1057,2,33,215,0.973221117061974,0.9907834101382489,0.8669354838709677,0.9247311827956989,0.0018885741265344666,0.9325234548722167,1307,248,0.32,0.9987853726887813,0.9948896341288831,0.025274168931832156,0.07774314525899337
train,val_f1,6,1748,101,0,248,0.9518359561278016,0.7106017191977078,1.0,0.830820770519263,0.05462412114656571,0.9726879394267172,2097,248,0.32,0.998961949789773,0.9925703888507782,0.018947967087496336,0.06132023186406045
train,val_f1,7,918,4,22,226,0.9777777777777777,0.9826086956521739,0.9112903225806451,0.9456066945606695,0.004338394793926247,0.9534759638933594,1170,248,0.32,0.9988410538100903,0.9957231607585426,0.021306418714857635,0.06779161661984495
train,val_f1,8,833,19,8,240,0.9754545454545455,0.9266409266409267,0.967741935483871,0.9467455621301775,0.022300469483568074,0.9727207330001515,1100,248,0.32,0.9976999091322126,0.9928970678755239,0.016705690236138594,0.05788948941105032
train,val_f1,9,934,40,2,246,0.9656301145662848,0.8601398601398601,0.9919354838709677,0.9213483146067416,0.04106776180698152,0.975433861031993,1222,248,0.32,0.9972842286546996,0.9895780572171538,0.019839974897982646,0.06672371590374075
train,val_fpr02,0,751,0,65,183,0.934934934934935,1.0,0.7379032258064516,0.8491879350348028,0.0,0.8689516129032258,999,248,0.5700000000000001,0.9982872299299859,0.9948626624264962,0.03699468540424592,0.1112991545962785
train,val_fpr02,1,1375,102,0,248,0.9408695652173913,0.7085714285714285,1.0,0.8294314381270903,0.06905890318212593,0.965470548408937,1725,248,0.5700000000000001,0.9980562168301046,0.9885979926712463,0.0455000403387163,0.13901159874727098
train,val_fpr02,2,637,0,47,201,0.9468926553672317,1.0,0.8104838709677419,0.8953229398663697,0.0,0.905241935483871,885,248,0.5700000000000001,0.9981769382691041,0.9958093719060549,0.029175566312453882,0.09619687738572225
train,val_fpr02,3,513,0,53,195,0.9303547963206308,1.0,0.7862903225806451,0.8803611738148984,0.0,0.8931451612903225,761,248,0.5700000000000001,0.9962271269571779,0.9925095019377158,0.045610759438921136,0.1479562957664932
train,val_fpr02,4,1123,53,0,248,0.9627808988764045,0.8239202657807309,1.0,0.9034608378870674,0.045068027210884355,0.9774659863945578,1424,248,0.5700000000000001,0.9989645051569015,0.9953111043738956,0.028377595464259907,0.08619890385498165
train,val_fpr02,5,1059,0,52,196,0.9602142310635042,1.0,0.7903225806451613,0.8828828828828829,0.0,0.8951612903225806,1307,248,0.5700000000000001,0.9987853726887813,0.9948896341288831,0.025274168931832156,0.07774314525899337
train,val_fpr02,6,1809,40,1,247,0.9804482594182165,0.8606271777003485,0.9959677419354839,0.9233644859813084,0.02163331530557058,0.9871672133149567,2097,248,0.5700000000000001,0.998961949789773,0.9925703888507782,0.018947967087496336,0.06132023186406045
train,val_fpr02,7,921,1,39,209,0.9658119658119658,0.9952380952380953,0.842741935483871,0.9126637554585153,0.0010845986984815619,0.9208286683926947,1170,248,0.5700000000000001,0.9988410538100903,0.9957231607585426,0.021306418714857635,0.06779161661984495
train,val_fpr02,8,847,5,20,228,0.9772727272727273,0.9785407725321889,0.9193548387096774,0.9480249480249481,0.005868544600938967,0.9567431470543692,1100,248,0.5700000000000001,0.9976999091322126,0.9928970678755239,0.016705690236138594,0.05788948941105032
train,val_fpr02,9,950,24,8,240,0.9738134206219312,0.9090909090909091,0.967741935483871,0.9375,0.024640657084188913,0.971550639199841,1222,248,0.5700000000000001,0.9972842286546996,0.9895780572171538,0.019839974897982646,0.06672371590374075
validation,fixed,0,197,0,9,53,0.9652509652509652,1.0,0.8548387096774194,0.9217391304347826,0.0,0.9274193548387097,259,62,0.5,0.999672506959227,0.9989954374449692,0.02166154926251402,0.07144651375330555
validation,fixed,1,265,9,3,59,0.9642857142857143,0.8676470588235294,0.9516129032258065,0.9076923076923077,0.032846715328467155,0.9593830939486696,336,62,0.5,0.9966446903696726,0.9867900556132763,0.020574574359100452,0.06672107716916671
validation,fixed,2,265,13,0,62,0.961764705882353,0.8266666666666667,1.0,0.9051094890510949,0.046762589928057555,0.9766187050359711,340,62,0.5,0.9991877465769321,0.9966215336187738,0.023534623634324077,0.0715506083446604
validation,fixed,3,291,10,0,62,0.9724517906336089,0.8611111111111112,1.0,0.9253731343283582,0.03322259136212625,0.9833887043189369,363,62,0.5,0.9972135891115637,0.9873306556809434,0.025551269931103977,0.09054536835971416
validation,fixed,4,169,0,7,55,0.9696969696969697,1.0,0.8870967741935484,0.9401709401709402,0.0,0.9435483870967742,231,62,0.5,0.9963733536934529,0.990814620669418,0.029135412387635954,0.10226448309961471
validation,fixed,5,207,0,28,34,0.895910780669145,1.0,0.5483870967741935,0.7083333333333334,0.0,0.7741935483870968,269,62,0.5,0.99680536076048,0.9897529544092023,0.090445446354586,0.40699392650871147
validation,fixed,6,245,0,12,50,0.9609120521172638,1.0,0.8064516129032258,0.8928571428571429,0.0,0.9032258064516129,307,62,0.5,0.9997366688610928,0.9989954374449692,0.029687405736664417,0.08919110904688898
validation,fixed,7,217,0,19,43,0.931899641577061,1.0,0.6935483870967742,0.819047619047619,0.0,0.8467741935483871,279,62,0.5,0.9995540359744314,0.9984791399915671,0.05319263689870302,0.17271613734405628
validation,fixed,8,243,10,0,62,0.9682539682539683,0.8611111111111112,1.0,0.9253731343283582,0.039525691699604744,0.9802371541501976,315,62,0.5,0.9998087466530664,0.9992555831265508,0.018270059735396943,0.059303093810201574
validation,fixed,9,266,14,9,53,0.9327485380116959,0.7910447761194029,0.8548387096774194,0.8217054263565892,0.05,0.9024193548387096,342,62,0.5,0.9818548387096775,0.9380166372023152,0.05300952881470046,0.17922211044816425
validation,val_f1,0,197,0,3,59,0.9884169884169884,1.0,0.9516129032258065,0.9752066115702479,0.0,0.9758064516129032,259,62,0.32,0.999672506959227,0.9989954374449692,0.02166154926251402,0.07144651375330555
validation,val_f1,1,261,13,1,61,0.9583333333333334,0.8243243243243243,0.9838709677419355,0.8970588235294118,0.04744525547445255,0.9682128561337415,336,62,0.32,0.9966446903696726,0.9867900556132763,0.020574574359100452,0.06672107716916671
validation,val_f1,2,261,17,0,62,0.95,0.7848101265822784,1.0,0.8794326241134752,0.06115107913669065,0.9694244604316546,340,62,0.32,0.9991877465769321,0.9966215336187738,0.023534623634324077,0.0715506083446604
validation,val_f1,3,287,14,0,62,0.9614325068870524,0.8157894736842105,1.0,0.8985507246376812,0.046511627906976744,0.9767441860465116,363,62,0.32,0.9972135891115637,0.9873306556809434,0.025551269931103977,0.09054536835971416
validation,val_f1,4,168,1,6,56,0.9696969696969697,0.9824561403508771,0.9032258064516129,0.9411764705882353,0.005917159763313609,0.9486543233441496,231,62,0.32,0.9963733536934529,0.990814620669418,0.029135412387635954,0.10226448309961471
validation,val_f1,5,207,0,24,38,0.9107806691449815,1.0,0.6129032258064516,0.76,0.0,0.8064516129032258,269,62,0.32,0.99680536076048,0.9897529544092023,0.090445446354586,0.40699392650871147
validation,val_f1,6,245,0,10,52,0.9674267100977199,1.0,0.8387096774193549,0.9122807017543859,0.0,0.9193548387096775,307,62,0.32,0.9997366688610928,0.9989954374449692,0.029687405736664417,0.08919110904688898
validation,val_f1,7,217,0,16,46,0.942652329749104,1.0,0.7419354838709677,0.8518518518518519,0.0,0.8709677419354839,279,62,0.32,0.9995540359744314,0.9984791399915671,0.05319263689870302,0.17271613734405628
validation,val_f1,8,238,15,0,62,0.9523809523809523,0.8051948051948052,1.0,0.8920863309352518,0.05928853754940711,0.9703557312252964,315,62,0.32,0.9998087466530664,0.9992555831265508,0.018270059735396943,0.059303093810201574
validation,val_f1,9,263,17,8,54,0.9269005847953217,0.7605633802816901,0.8709677419354839,0.8120300751879699,0.060714285714285714,0.905126728110599,342,62,0.32,0.9818548387096775,0.9380166372023152,0.05300952881470046,0.17922211044816425
validation,val_fpr02,0,197,0,12,50,0.9536679536679536,1.0,0.8064516129032258,0.8928571428571429,0.0,0.9032258064516129,259,62,0.5700000000000001,0.999672506959227,0.9989954374449692,0.02166154926251402,0.07144651375330555
validation,val_fpr02,1,268,6,4,58,0.9702380952380952,0.90625,0.9354838709677419,0.9206349206349206,0.021897810218978103,0.9567930303743819,336,62,0.5700000000000001,0.9966446903696726,0.9867900556132763,0.020574574359100452,0.06672107716916671
validation,val_fpr02,2,267,11,0,62,0.9676470588235294,0.8493150684931506,1.0,0.9185185185185185,0.039568345323741004,0.9802158273381295,340,62,0.5700000000000001,0.9991877465769321,0.9966215336187738,0.023534623634324077,0.0715506083446604
validation,val_fpr02,3,291,10,0,62,0.9724517906336089,0.8611111111111112,1.0,0.9253731343283582,0.03322259136212625,0.9833887043189369,363,62,0.5700000000000001,0.9972135891115637,0.9873306556809434,0.025551269931103977,0.09054536835971416
validation,val_fpr02,4,169,0,9,53,0.961038961038961,1.0,0.8548387096774194,0.9217391304347826,0.0,0.9274193548387097,231,62,0.5700000000000001,0.9963733536934529,0.990814620669418,0.029135412387635954,0.10226448309961471
validation,val_fpr02,5,207,0,29,33,0.8921933085501859,1.0,0.532258064516129,0.6947368421052632,0.0,0.7661290322580645,269,62,0.5700000000000001,0.99680536076048,0.9897529544092023,0.090445446354586,0.40699392650871147
validation,val_fpr02,6,245,0,14,48,0.9543973941368078,1.0,0.7741935483870968,0.8727272727272727,0.0,0.8870967741935484,307,62,0.5700000000000001,0.9997366688610928,0.9989954374449692,0.029687405736664417,0.08919110904688898
validation,val_fpr02,7,217,0,21,41,0.9247311827956989,1.0,0.6612903225806451,0.7961165048543689,0.0,0.8306451612903225,279,62,0.5700000000000001,0.9995540359744314,0.9984791399915671,0.05319263689870302,0.17271613734405628
validation,val_fpr02,8,246,7,0,62,0.9777777777777777,0.8985507246376812,1.0,0.9465648854961832,0.02766798418972332,0.9861660079051384,315,62,0.5700000000000001,0.9998087466530664,0.9992555831265508,0.018270059735396943,0.059303093810201574
validation,val_fpr02,9,267,13,10,52,0.9327485380116959,0.8,0.8387096774193549,0.8188976377952756,0.04642857142857143,0.8961405529953917,342,62,0.5700000000000001,0.9818548387096775,0.9380166372023152,0.05300952881470046,0.17922211044816425
