epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5616230378200732,,,,0.0006175359594635665,0.007978498935699463,,0.9005215764045715,12904160,40,12904160,12904160,0,4.09566844100118,4.086808544998348,0.3264298489993962,0.006373017000441905,0.5261664,12690,20,20,0.9673710108634372
2,0.46884022008695136,,,,0.000914967036806047,0.011811263859272003,,1.399307370185852,12904160,40,12904160,12904160,0,3.9364186419988982,3.9284045929998683,0.3266343099967344,0.005650357998092659,0.5261664,12690,20,20,0.9673710108634372
3,0.37428508694831175,,,,0.0012376013910397887,0.015939684584736824,,1.024550437927246,12904160,40,12904160,12904160,0,3.821661656998913,3.813706142012961,0.25508012199861696,0.00553120499898796,0.5261664,12690,20,20,0.9673710108634372
4,0.301595000951801,,,,0.0013095741160213947,0.01684548333287239,,1.152175784111023,12904160,40,12904160,12904160,0,3.871405784997478,3.863466944989341,0.24354102199868066,0.005534535001061158,0.5261664,12690,20,20,0.9673710108634372
5,0.30111378776058584,0.24723468875830934,0.9066096678724104,0.7305502846299811,0.0014081934932619333,0.018109843134880066,0.03493421052631579,1.2661601305007935,12904160,40,12904160,12904160,0,3.935264874002314,3.923233633995551,0.2818123609977192,0.007187589999375632,0.5261664,12690,20,20,0.9673710108634372
6,0.2703649962653296,,,,0.0015476368134841323,0.01989011839032173,,1.1768214702606201,12904160,40,12904160,12904160,0,3.8554825540013553,3.847576513009699,0.2506188610022946,0.005417602002125932,0.5261664,12690,20,20,0.9673710108634372
7,0.262429804310054,,,,0.0016515008173882961,0.021217256784439087,,1.258376955986023,12904160,40,12904160,12904160,0,3.9270086659998924,3.9185845390020404,0.24460583000109182,0.005918981998547679,0.5261664,12690,20,20,0.9673710108634372
8,0.2405459380221115,,,,0.0018709880532696843,0.024014197289943695,,1.3204094171524048,12904160,40,12904160,12904160,0,4.097666773999663,4.089165460005461,0.2634583670005668,0.00590352400104166,0.5261664,12690,20,20,0.9673710108634372
9,0.2307647489780306,,,,0.002035910962149501,0.026108795776963234,,1.3473302125930786,12904160,40,12904160,12904160,0,3.8083354539994616,3.800175570995634,0.24632287100030226,0.005621023999992758,0.5261664,12690,20,20,0.9673710108634372
10,0.22009927666928525,0.1828957076398579,0.9260111805327195,0.7948951686417502,0.0022124494425952435,0.028347551822662354,0.026019736842105262,1.3294203281402588,12904160,40,12904160,12904160,0,3.7428491870014113,3.734848597989185,0.24240948100123205,0.0055705609993310645,0.5261664,12690,20,20,0.9673710108634372
11,0.21948559930780193,,,,0.0023375104647129774,0.029920820146799088,,1.4262667894363403,12904160,40,12904160,12904160,0,3.778874100000394,3.7707009590121743,0.2443247599985625,0.005788639002275886,0.5261664,12690,20,20,0.9673710108634372
12,0.21437503431776445,,,,0.0024432516656816006,0.03125464916229248,,1.4492367506027222,12904160,40,12904160,12904160,0,3.7915372010029387,3.7838201449958433,0.24245642200185102,0.0053319859980547335,0.5261664,12690,20,20,0.9673710108634372
13,0.1880433522730855,,,,0.0025532108265906572,0.03262047842144966,,1.4401358366012573,12904160,40,12904160,12904160,0,3.925536574999569,3.916987615011749,0.23208114099907107,0.0061550959981104825,0.5261664,12690,20,20,0.9673710108634372
14,0.19834614031078934,,,,0.0026490832678973675,0.03382197767496109,,1.426888346672058,12904160,40,12904160,12904160,0,3.7144539349974366,3.7048611589962093,0.24332631700235652,0.006499048002297059,0.5261664,12690,20,20,0.9673710108634372
15,0.18725613342889366,0.17371348578074144,0.9368628740545873,0.8431372549019608,0.0027507117483764887,0.03508016839623451,0.04065789473684211,1.4066119194030762,12904160,40,12904160,12904160,0,3.9188055929989787,3.910771384009422,0.24320258900115732,0.005576526997174369,0.5261664,12690,20,20,0.9673710108634372
16,0.18083499734351252,,,,0.0027728041168302298,0.03533628582954407,,1.3766629695892334,12904160,40,12904160,12904160,0,3.8947811699981685,3.8865706420037895,0.24554472099771374,0.0056762239983072504,0.5261664,12690,20,20,0.9673710108634372
17,0.17203634550604957,,,,0.0028447178192436695,0.036213379353284836,,1.4726256132125854,12904160,40,12904160,12904160,0,3.9207089920018916,3.9124933050006803,0.24508472100205836,0.005651954998029396,0.5261664,12690,20,20,0.9673710108634372
18,0.17315868273016963,,,,0.00292718643322587,0.03722826763987541,,1.4302942752838135,12904160,40,12904160,12904160,0,3.9430526190008095,3.9346667359932326,0.2590962809990742,0.005791038998722797,0.5261664,12690,20,20,0.9673710108634372
19,0.1814519329547854,,,,0.0029422417283058167,0.03739771246910095,,1.5484610795974731,12904160,40,12904160,12904160,0,3.657165807999263,3.649114792006003,0.23561753199828672,0.005524280997633468,0.5261664,12690,20,20,0.9673710108634372
20,0.15926958343396203,0.1454713087832688,0.9487010851693521,0.8727569331158238,0.0030058603733778,0.038167938590049744,0.04226973684210526,1.4531688690185547,12904160,40,12904160,12904160,0,3.89907053099887,3.8909677650008234,0.24811639200197533,0.005583927002589917,0.5261664,12690,20,20,0.9673710108634372
21,0.15933853467480885,,,,0.0029950051102787256,0.038020312786102295,,1.413317084312439,12904160,40,12904160,12904160,0,3.725598141001683,3.7177326930068375,0.23302175199933117,0.005492182001034962,0.5261664,12690,20,20,0.9673710108634372
22,0.15195305176312573,,,,0.0030544332694262266,0.0387362465262413,,1.4890437126159668,12904160,40,12904160,12904160,0,3.7384882339974865,3.730094620001182,0.23518815799980075,0.005805723001685692,0.5261664,12690,20,20,0.9673710108634372
23,0.15079587442513584,,,,0.003074467647820711,0.038959577679634094,,1.4200979471206665,12904160,40,12904160,12904160,0,3.6797532429991406,3.671652382989123,0.23811866399773862,0.005677544002537616,0.5261664,12690,20,20,0.9673710108634372
24,0.14888431025545107,,,,0.003079740097746253,0.03900662437081337,,1.4871469736099243,12904160,40,12904160,12904160,0,3.8241984710002725,3.8161137489987595,0.2479190319972986,0.0056406420007988345,0.5261664,12690,20,20,0.9673710108634372
25,0.14833764254193527,0.12419129979907896,0.9579085827030582,0.8885017421602788,0.0030562300235033035,0.038688190281391144,0.04036184210526316,1.5145584344863892,12904160,40,12904160,12904160,0,3.8564451550009835,3.8482805480016395,0.23778745100207743,0.0056053379994409624,0.5261664,12690,20,20,0.9673710108634372
26,0.13889414800772798,,,,0.0031204684637486935,0.03946616128087044,,1.4652248620986938,12904160,40,12904160,12904160,0,3.7674369500018656,3.7588579099974595,0.24290833800114342,0.005958882000413723,0.5261664,12690,20,20,0.9673710108634372
27,0.14964362899385725,,,,0.0031021181493997574,0.039226923137903214,,1.3619558811187744,12904160,40,12904160,12904160,0,3.8825616389985953,3.8743288940022467,0.2500210580001294,0.0058513490002951585,0.5261664,12690,20,20,0.9673710108634372
28,0.142460738923404,,,,0.0030985428020358086,0.039155248552560806,,1.4013770818710327,12904160,40,12904160,12904160,0,3.7926772069986328,3.784451200001058,0.23513784099850454,0.005860454999492504,0.5261664,12690,20,20,0.9673710108634372
29,0.14707595001644827,,,,0.003089498495683074,0.0390278659760952,,1.441314697265625,12904160,40,12904160,12904160,0,3.822271613000339,3.814268779995473,0.2400987000000896,0.005589289001363795,0.5261664,12690,20,20,0.9673710108634372
30,0.13615785656381785,0.11565010810982754,0.9575797435054259,0.8881179531656548,0.0031426504720002413,0.039670079946517944,0.04805921052631579,1.6004911661148071,12904160,40,12904160,12904160,0,3.885106211000675,3.877971413992782,0.24625184799879207,0.0048791539993544575,0.5261664,12690,20,20,0.9673710108634372
31,0.1403701601447823,,,,0.003102697664871812,0.03915335237979889,,1.4622892141342163,12904160,40,12904160,12904160,0,3.799641227000393,3.7908964679954806,0.234228006000194,0.006137158998171799,0.5261664,12690,20,20,0.9673710108634372
32,0.13313962981890293,,,,0.0031530060805380344,0.039752278476953506,,1.3670204877853394,12904160,40,12904160,12904160,0,3.7818739180002012,3.773820380996767,0.24294195800030138,0.005600027998298174,0.5261664,12690,20,20,0.9673710108634372
33,0.1372591847740059,,,,0.0031647812575101852,0.039887040853500366,,1.560585618019104,12904160,40,12904160,12904160,0,3.721664550001151,3.7134486220056715,0.24060634999841568,0.005748278999817558,0.5261664,12690,20,20,0.9673710108634372
34,0.12192554062135585,,,,0.0031981375068426132,0.04027412459254265,,1.5166820287704468,12904160,40,12904160,12904160,0,3.7427193479998095,3.7346326619990577,0.24340655300329672,0.005607410999800777,0.5261664,12690,20,20,0.9673710108634372
35,0.13693596061123758,0.12734069887134192,0.9565932259125288,0.8896321070234113,0.003185246605426073,0.04009312763810158,0.033355263157894735,1.534401774406433,12904160,40,12904160,12904160,0,3.8590533940005116,3.8510419949961943,0.2380771369971626,0.005566904001170769,0.5261664,12690,20,20,0.9673710108634372
36,0.13376919620785882,,,,0.0032038225326687098,0.040306415408849716,,1.6131501197814941,12904160,40,12904160,12904160,0,3.8275310640019597,3.819645693998609,0.34480295199682587,0.005511116996785859,0.5261664,12690,20,20,0.9673710108634372
37,0.1344902563626246,,,,0.0032634963281452656,0.041029199957847595,,1.6469253301620483,12904160,40,12904160,12904160,0,4.358517225999094,4.3494388449908,0.28826956700140727,0.006252711998968152,0.5261664,12690,20,20,0.9673710108634372
38,0.13816611745819868,,,,0.003235881682485342,0.04067624732851982,,1.544174075126648,12904160,40,12904160,12904160,0,3.7183458620020247,3.7102950170046824,0.24758728199958568,0.005599747997621307,0.5261664,12690,20,20,0.9673710108634372
39,0.12775822186563682,,,,0.003224026644602418,0.04050428420305252,,1.5960404872894287,12904160,40,12904160,12904160,0,3.6602724669974123,3.652296098989609,0.23745022999719367,0.005595773996901698,0.5261664,12690,20,20,0.9673710108634372
40,0.13883245332480518,0.12301737062243602,0.95955277869122,0.893136403127715,0.0032397634349763393,0.040680643171072006,0.04065789473684211,1.5487982034683228,12904160,40,12904160,12904160,0,3.827990122998017,3.8200719260021287,0.23233723700104747,0.005543326002225513,0.5261664,12690,20,20,0.9673710108634372
41,0.1242126328992759,,,,0.0032711406238377094,0.041049614548683167,,1.462113857269287,12904160,40,12904160,12904160,0,3.7118398050006363,3.7038776240005973,0.24081500800093636,0.005524689997400856,0.5261664,12690,20,20,0.9673710108634372
42,0.12193976042535115,,,,0.0033193060662597418,0.041636016219854355,,1.627685546875,12904160,40,12904160,12904160,0,3.7188899110005877,3.7109573779962375,0.23328139600198483,0.005525471999135334,0.5261664,12690,20,20,0.9673710108634372
43,0.13754140449411884,,,,0.00328726670704782,0.04120655357837677,,1.5051562786102295,12904160,40,12904160,12904160,0,3.673543052998866,3.6655216660001315,0.22858494599859114,0.005614900997898076,0.5261664,12690,20,20,0.9673710108634372
44,0.129534864334151,,,,0.0032784719951450825,0.04107959195971489,,1.5440444946289062,12904160,40,12904160,12904160,0,3.8318931120011257,3.822343052001088,0.25224131000140915,0.0063836750014161225,0.5261664,12690,20,20,0.9673710108634372
45,0.11704003471467246,0.092597904999274,0.9644853666557054,0.9090909090909091,0.0033176541328430176,0.041553761810064316,0.030953947368421053,1.6156396865844727,12904160,40,12904160,12904160,0,3.7723299589997623,3.7644566319941077,0.2412703540030634,0.005449500000395346,0.5261664,12690,20,20,0.9673710108634372
46,0.13251913916686378,,,,0.003341029165312648,0.04183477163314819,,1.6133054494857788,12904160,40,12904160,12904160,0,3.6617960709991166,3.653768404998118,0.23109854699941934,0.0055661789992882404,0.5261664,12690,20,20,0.9673710108634372
47,0.12438429081614241,,,,0.003336864523589611,0.04175689071416855,,1.4760079383850098,12904160,40,12904160,12904160,0,3.7440653619996738,3.735973701997864,0.24297200100045302,0.005659282000124222,0.5261664,12690,20,20,0.9673710108634372
48,0.10540783879589495,,,,0.00336481723934412,0.04207810387015343,,1.5873757600784302,12904160,40,12904160,12904160,0,3.7171692150004674,3.708936333005113,0.24470891899909475,0.005626270001812372,0.5261664,12690,20,20,0.9673710108634372
49,0.12494202219322312,,,,0.0033635511063039303,0.042039066553115845,,1.5414975881576538,12904160,40,12904160,12904160,0,3.838054921998264,3.830054227993969,0.23439520700048888,0.005471532000228763,0.5261664,12690,20,20,0.9673710108634372
50,0.12451947785417736,0.11567921918145334,0.9602104570864847,0.8978902953586498,0.003362304763868451,0.042008694261312485,0.029177631578947368,1.5180772542953491,12904160,40,12904160,12904160,0,3.6074760720002814,3.599646127993765,0.22836371699668234,0.005354446999263018,0.5261664,12690,20,20,0.9673710108634372
