split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,719,1,8,116,0.9893364928909952,0.9914529914529915,0.9354838709677419,0.9626556016597511,0.001388888888888889,0.9670474910394264,844,124,0.5,0.9985999103942652,0.9930841938140405,0.011424216689598183,0.044388421936661204
train,fixed,1,534,19,14,110,0.9512555391432792,0.8527131782945736,0.8870967741935484,0.8695652173913043,0.034358047016274866,0.9263693635886368,677,124,0.5,0.9893980050166248,0.9523247628727781,0.03468410365507955,0.11287773486943435
train,fixed,2,564,2,6,118,0.9884057971014493,0.9833333333333333,0.9516129032258065,0.9672131147540983,0.0035335689045936395,0.9740396671606064,690,124,0.5,0.9995155591017896,0.9977723870895925,0.01352734185876685,0.0560047920778097
train,fixed,3,469,31,1,123,0.9487179487179487,0.7987012987012987,0.9919354838709677,0.8848920863309353,0.062,0.9649677419354838,624,124,0.5,0.9968225806451613,0.988172007876792,0.036220191818983005,0.11565784635117173
train,fixed,4,619,26,0,124,0.9661898569570871,0.8266666666666667,1.0,0.9051094890510949,0.040310077519379844,0.9798449612403101,769,124,0.5,0.9989747436859214,0.9943315235111874,0.022901235303054063,0.07911602138433634
train,fixed,5,367,15,4,120,0.9624505928853755,0.8888888888888888,0.967741935483871,0.9266409266409267,0.03926701570680628,0.9642374598885324,506,124,0.5,0.9949121769971289,0.9851275271792561,0.02817904911901021,0.09495732932962125
train,fixed,6,397,2,8,116,0.9808795411089866,0.9830508474576272,0.9354838709677419,0.9586776859504132,0.005012531328320802,0.9652356698197105,523,124,0.5,0.9989085617268979,0.9965595956543406,0.01831277725444971,0.07448339547861271
train,fixed,7,395,47,4,120,0.9098939929328622,0.718562874251497,0.967741935483871,0.8247422680412371,0.10633484162895927,0.9307035469274558,566,124,0.5,0.9855495548095168,0.9545511627682854,0.06155074807406445,0.19371923554903944
train,fixed,8,494,18,5,119,0.9638364779874213,0.8686131386861314,0.9596774193548387,0.9118773946360154,0.03515625,0.9622605846774194,636,124,0.5,0.9966765372983871,0.9874835012786558,0.023844559582734553,0.08246046689236401
train,fixed,9,388,15,0,124,0.9715370018975332,0.8920863309352518,1.0,0.9429657794676806,0.03722084367245657,0.9813895781637717,527,124,0.5,0.9994797086368366,0.9983875763216206,0.019623088252291268,0.0727903788183988
train,fixed,10,458,12,4,120,0.9730639730639731,0.9090909090909091,0.967741935483871,0.9375,0.02553191489361702,0.971105010295127,594,124,0.5,0.9966026080988333,0.9875633530441776,0.021309306673039912,0.07400340263201129
train,fixed,11,415,3,7,117,0.981549815498155,0.975,0.9435483870967742,0.9590163934426229,0.007177033492822967,0.9681856768019756,542,124,0.5,0.9988810001543448,0.9963196327465026,0.01700899541309643,0.06642403730124624
train,fixed,12,523,12,4,120,0.9757207890743551,0.9090909090909091,0.967741935483871,0.9375,0.022429906542056073,0.9726560144709074,659,124,0.5,0.9978444377449502,0.9909988008600862,0.017865908117563355,0.06334448612033015
train,fixed,13,324,1,19,105,0.955456570155902,0.9905660377358491,0.8467741935483871,0.9130434782608695,0.003076923076923077,0.921848635235732,449,124,0.5,0.9879652605459057,0.9758288715169823,0.03889985282088584,0.14560016344838353
train,fixed,14,546,31,9,115,0.9429386590584878,0.7876712328767124,0.9274193548387096,0.8518518518518519,0.053726169844020795,0.9368465924973444,701,124,0.5,0.9915301615698553,0.9661386042697742,0.03446788087910114,0.10169001085492109
train,fixed,15,532,6,1,123,0.9894259818731118,0.9534883720930233,0.9919354838709677,0.9723320158102767,0.011152416356877323,0.9903915337570453,662,124,0.5,0.9996102650197866,0.9983548630431227,0.01017560442416776,0.04277145236701452
train,fixed,16,518,2,10,114,0.9813664596273292,0.9827586206896551,0.9193548387096774,0.95,0.0038461538461538464,0.9577543424317618,644,124,0.5,0.9971774193548387,0.9900492781668957,0.016206868877560114,0.06012444024760196
train,fixed,17,512,7,13,111,0.968895800933126,0.940677966101695,0.8951612903225806,0.9173553719008265,0.01348747591522158,0.9408369072036795,643,124,0.5,0.9967213624215302,0.9872391685644565,0.019577765114987242,0.06616011315224456
train,fixed,18,491,11,4,120,0.9760383386581469,0.916030534351145,0.967741935483871,0.9411764705882353,0.021912350597609563,0.9729147924431307,626,124,0.5,0.9978633851690014,0.9919921162518405,0.016777781247552786,0.05605757539149343
train,fixed,19,680,4,9,115,0.9839108910891089,0.9663865546218487,0.9274193548387096,0.9465020576131687,0.005847953216374269,0.9607857008111677,808,124,0.5,0.9984083191850593,0.9923042490697191,0.01171175885012511,0.043280192420648435
train,val_f1,0,716,4,6,118,0.9881516587677726,0.9672131147540983,0.9516129032258065,0.959349593495935,0.005555555555555556,0.9730286738351255,844,124,0.41000000000000003,0.9985999103942652,0.9930841938140405,0.011424216689598183,0.044388421936661204
train,val_f1,1,530,23,12,112,0.948301329394387,0.8296296296296296,0.9032258064516129,0.8648648648648649,0.04159132007233273,0.9308172431896401,677,124,0.41000000000000003,0.9893980050166248,0.9523247628727781,0.03468410365507955,0.11287773486943435
train,val_f1,2,560,6,0,124,0.991304347826087,0.9538461538461539,1.0,0.9763779527559056,0.01060070671378092,0.9946996466431095,690,124,0.41000000000000003,0.9995155591017896,0.9977723870895925,0.01352734185876685,0.0560047920778097
train,val_f1,3,464,36,0,124,0.9423076923076923,0.775,1.0,0.8732394366197183,0.072,0.964,624,124,0.41000000000000003,0.9968225806451613,0.988172007876792,0.036220191818983005,0.11565784635117173
train,val_f1,4,615,30,0,124,0.9609882964889467,0.8051948051948052,1.0,0.8920863309352518,0.046511627906976744,0.9767441860465116,769,124,0.41000000000000003,0.9989747436859214,0.9943315235111874,0.022901235303054063,0.07911602138433634
train,val_f1,5,363,19,3,121,0.9565217391304348,0.8642857142857143,0.9758064516129032,0.9166666666666666,0.049738219895287955,0.9630341158588076,506,124,0.41000000000000003,0.9949121769971289,0.9851275271792561,0.02817904911901021,0.09495732932962125
train,val_f1,6,393,6,4,120,0.9808795411089866,0.9523809523809523,0.967741935483871,0.96,0.015037593984962405,0.9763521707494542,523,124,0.41000000000000003,0.9989085617268979,0.9965595956543406,0.01831277725444971,0.07448339547861271
