epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.6068421411793279,,,,0.0004286357725504786,0.005541485268622637,,1.0249054431915283,25808320,80,25808320,25808320,0,4.009912827001244,3.9913626779962215,0.14057571300145355,0.013650297998538008,0.5261664,12690,40,40,0.9917922270634246
2,0.503447895601435,,,,0.0007137162028811872,0.009219714440405369,,1.3487591743469238,25808320,80,25808320,25808320,0,3.915647360001458,3.899451291985315,0.14810534799835295,0.011300396003207425,0.5261664,12690,40,40,0.9917922270634246
3,0.4650246907484631,,,,0.0008905084105208516,0.011497639119625092,,1.5486345291137695,25808320,80,25808320,25808320,0,3.978557288999582,3.9584414399978414,0.1484945170013816,0.015372118999948725,0.5261664,12690,40,40,0.9917922270634246
4,0.4192765381772028,,,,0.0010223404970020056,0.013184783048927784,,1.2783362865447998,25808320,80,25808320,25808320,0,3.8658303449992673,3.8490819659964473,0.14668716799860704,0.012037262000376359,0.5261664,12690,40,40,0.9917922270634246
5,0.3605805489193212,0.31088037154470594,0.8714238737257481,0.5521191294387171,0.0011960453120991588,0.015408928506076336,0.045120192307692306,1.405907154083252,25808320,80,25808320,25808320,0,4.12298864100012,4.10643824699946,0.14676670700282557,0.011873930001456756,0.5261664,12690,40,40,0.9917922270634246
6,0.3116516818279248,,,,0.0013120645890012383,0.016887018457055092,,1.3674211502075195,25808320,80,25808320,25808320,0,3.958419821999996,3.9416635999878054,0.15243469100096263,0.012201109999296023,0.5261664,12690,40,40,0.9917922270634246
7,0.30628393874138177,,,,0.0014067437732592225,0.018098263069987297,,1.6311776638031006,25808320,80,25808320,25808320,0,4.105595089997223,4.088722457985568,0.15033305699762423,0.01222150200192118,0.5261664,12690,40,40,0.9917922270634246
8,0.303735271430348,,,,0.0014640669105574489,0.0188309233635664,,1.6122403144836426,25808320,80,25808320,25808320,0,3.7748106340004597,3.757988799981831,0.14896893100012676,0.012334397997619817,0.5261664,12690,40,40,0.9917922270634246
9,0.30150654349694694,,,,0.0015315875643864274,0.019697094336152077,,1.682617425918579,25808320,80,25808320,25808320,0,4.004484729000978,3.9874848880208447,0.14676700300333323,0.012084478003089316,0.5261664,12690,40,40,0.9917922270634246
10,0.2842261708713655,0.3249675030531672,0.8852351200263071,0.6218851570964247,0.0016275944653898478,0.02092539519071579,0.04640224358974359,1.6194630861282349,25808320,80,25808320,25808320,0,3.7273679460013227,3.7103878059933777,0.1394585959969845,0.01231162599651725,0.5261664,12690,40,40,0.9917922270634246
11,0.2819063306563009,,,,0.0017234660917893052,0.022153658792376518,,1.66933274269104,25808320,80,25808320,25808320,0,4.087590777999139,4.071058255005482,0.15330028599782963,0.012164371000835672,0.5261664,12690,40,40,0.9917922270634246
12,0.269590171781492,,,,0.0017791276331990957,0.022861214354634285,,1.673140048980713,25808320,80,25808320,25808320,0,3.90032245600014,3.8832637739942584,0.1433828250010265,0.012106603000574978,0.5261664,12690,40,40,0.9917922270634246
13,0.2606816282849592,,,,0.001899390248581767,0.0243988074362278,,1.6936085224151611,25808320,80,25808320,25808320,0,4.078907101000368,4.061743614023726,0.15139960500164307,0.01242742099930183,0.5261664,12690,40,40,0.9917922270634246
14,0.25363628822710993,,,,0.0019812234677374363,0.02543860673904419,,1.6493362188339233,25808320,80,25808320,25808320,0,3.733521362002648,3.71602244099995,0.14211812400026247,0.011880861999088665,0.5261664,12690,40,40,0.9917922270634246
15,0.24600194821997454,0.23657353873202952,0.9075961854653075,0.7541557305336833,0.002079867757856846,0.026697343215346336,0.06301282051282052,1.816808819770813,25808320,80,25808320,25808320,0,4.127663457999006,4.110906573012471,0.17115600199758774,0.012041167999996105,0.5261664,12690,40,40,0.9917922270634246
16,0.24274528106914123,,,,0.002144941594451666,0.02752150408923626,,1.6690101623535156,25808320,80,25808320,25808320,0,3.8281915100014885,3.812109116995998,0.14199024200206622,0.011423302999901352,0.5261664,12690,40,40,0.9917922270634246
17,0.22977175523749951,,,,0.0022523265797644854,0.028887933120131493,,1.8329837322235107,25808320,80,25808320,25808320,0,4.1256786470003135,4.108416040013253,0.17165379599828157,0.0123816640007135,0.5261664,12690,40,40,0.9917922270634246
18,0.2231707524590159,,,,0.0023197452537715435,0.029736611992120743,,1.7063393592834473,25808320,80,25808320,25808320,0,3.946414387002733,3.9298212800131296,0.14761237400307436,0.011880117999680806,0.5261664,12690,40,40,0.9917922270634246
19,0.23512777979310012,,,,0.002446817234158516,0.03135411813855171,,1.8177876472473145,25808320,80,25808320,25808320,0,4.04389873800028,4.026667387013731,0.15621981900039827,0.012336448999121785,0.5261664,12690,40,40,0.9917922270634246
20,0.21880050060045897,0.25508777555721807,0.9131864518250575,0.75,0.002487239195033908,0.03185713663697243,0.053822115384615385,1.7412856817245483,25808320,80,25808320,25808320,0,3.961058675999084,3.944640400000935,0.15111984300165204,0.011398364000342553,0.5261664,12690,40,40,0.9917922270634246
