split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,393,1,4,58,0.9890350877192983,0.9830508474576272,0.9354838709677419,0.9586776859504132,0.0025380710659898475,0.966472899950876,456,62,0.5,0.9989356476174881,0.9939300496344945,0.00953743468347535,0.03479143412527827
train,fixed,1,325,1,9,53,0.9742268041237113,0.9814814814814815,0.8548387096774194,0.9137931034482759,0.003067484662576687,0.9258856125074213,388,62,0.5,0.9961409063922422,0.9819318559633583,0.021033915889866035,0.0724775406499808
train,fixed,2,222,0,13,49,0.954225352112676,1.0,0.7903225806451613,0.8828828828828829,0.0,0.8951612903225806,284,62,0.5,0.9948416158093577,0.9827457878914143,0.03958965585905837,0.14952678119263296
train,fixed,3,318,13,9,53,0.9440203562340967,0.803030303030303,0.8548387096774194,0.828125,0.03927492447129909,0.9077818926030601,393,62,0.5,0.9885001461845825,0.9488421247130339,0.039916881921420046,0.1263308537227937
train,fixed,4,288,6,0,62,0.9831460674157303,0.9117647058823529,1.0,0.9538461538461539,0.02040816326530612,0.9897959183673469,356,62,0.5,0.999835418038183,0.9992358220603538,0.014939838754288778,0.06009132598359888
train,fixed,5,272,0,11,51,0.9670658682634731,1.0,0.8225806451612904,0.9026548672566371,0.0,0.9112903225806452,334,62,0.5,0.9989919354838709,0.9956911939884074,0.02138636041383594,0.07049958452327967
train,fixed,6,278,25,0,62,0.9315068493150684,0.7126436781609196,1.0,0.8322147651006712,0.08250825082508251,0.9587458745874587,365,62,0.5,0.9999467688704354,0.9997439836149513,0.04031023518694662,0.12850860108801235
train,fixed,7,196,1,5,57,0.9768339768339769,0.9827586206896551,0.9193548387096774,0.95,0.005076142131979695,0.9571393482888488,259,62,0.5,0.9971344358932372,0.9918279107095609,0.020957919370156265,0.07814734103718589
train,fixed,8,264,5,0,62,0.9848942598187311,0.9253731343283582,1.0,0.9612403100775194,0.01858736059479554,0.9907063197026023,331,62,0.5,0.9998201223168245,0.9992358220603538,0.011339920173030137,0.04703910748598751
train,fixed,9,374,2,3,59,0.9885844748858448,0.9672131147540983,0.9516129032258065,0.959349593495935,0.005319148936170213,0.9731468771448182,438,62,0.5,0.999356554564173,0.9963737758267912,0.008367344388487121,0.034458714406796945
