epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.4718879854197053,,,,0.0006728894077241421,0.008666342124342918,,0.9609804153442383,3226040,10,3226040,3226040,0,3.6735062090010615,3.670555536999018,0.902523654000106,0.00218572100129677,0.5261664,12690,5,5,0.539344662916632
2,0.26859096651121583,,,,0.0007926414837129414,0.01016775518655777,,0.9534928798675537,3226040,10,3226040,3226040,0,3.724284620002436,3.721676689998276,0.8936178820003988,0.0018289450017618947,0.5261664,12690,5,5,0.539344662916632
3,0.21234406192036975,,,,0.0009444163297303021,0.012072849087417126,,1.0325647592544556,3226040,10,3226040,3226040,0,3.79962584399982,3.797062055004062,0.8963752899981046,0.0018595720030134544,0.5261664,12690,5,5,0.539344662916632
4,0.1763286111622922,,,,0.0010476114694029093,0.013337330892682076,,1.2265244722366333,3226040,10,3226040,3226040,0,3.654198271000496,3.651677729005314,0.8832030650009983,0.0018966729985550046,0.5261664,12690,5,5,0.539344662916632
5,0.1535342590811472,0.10333944440375231,0.9625123314699112,0.9043624161073825,0.0009314908529631793,0.011825169436633587,0.0325,1.0945022106170654,3226040,10,3226040,3226040,0,3.7576262629991106,3.754937718000292,0.8578654289995029,0.0019443700002739206,0.5261664,12690,5,5,0.539344662916632
6,0.15094253113959788,,,,0.0009456529514864087,0.011980694718658924,,1.0333508253097534,3226040,10,3226040,3226040,0,3.745028427998477,3.7424989939972875,0.9024276240015752,0.0017931420006789267,0.5261664,12690,5,5,0.539344662916632
7,0.1312075196496524,,,,0.0008563996525481343,0.010822818614542484,,1.0910110473632812,3226040,10,3226040,3226040,0,3.7719734819984296,3.769413791003899,0.8938225909987523,0.0018696749975788407,0.5261664,12690,5,5,0.539344662916632
8,0.11533270932023612,,,,0.0009117575245909393,0.01150203961879015,,1.1719266176223755,3226040,10,3226040,3226040,0,3.7233060679973278,3.720861589004926,0.8985780210023222,0.0017413440000382252,0.5261664,12690,5,5,0.539344662916632
9,0.11570983722225632,,,,0.0010214196518063545,0.012852099724113941,,1.1766573190689087,3226040,10,3226040,3226040,0,3.8959450510010356,3.8934973050018016,0.8953505640020012,0.0017163660013466142,0.5261664,12690,5,5,0.539344662916632
10,0.12723266463857774,0.09686476551327666,0.9625123314699112,0.9025641025641026,0.0009917326970025897,0.012464156374335289,0.02125,1.2193011045455933,3226040,10,3226040,3226040,0,4.242933723999158,4.239478214003611,0.9745726979999745,0.0027419350008131005,0.5261664,12690,5,5,0.539344662916632
11,0.11088001669351133,,,,0.0009595921146683395,0.012031525373458862,,1.148422360420227,3226040,10,3226040,3226040,0,3.9558288440020988,3.9532666630002495,1.0582159789992147,0.0018309079969185404,0.5261664,12690,5,5,0.539344662916632
12,0.1133280425780081,,,,0.001044312841258943,0.013071360997855663,,1.1928672790527344,3226040,10,3226040,3226040,0,3.782559023999056,3.7798894099905738,0.8955745299972477,0.0019432549997873139,0.5261664,12690,5,5,0.539344662916632
13,0.10465947921668725,,,,0.0009831424104049802,0.012277278117835522,,1.1694813966751099,3226040,10,3226040,3226040,0,3.8172091570013436,3.8147459120009444,0.920727065000392,0.0017615010001463816,0.5261664,12690,5,5,0.539344662916632
14,0.09282950777101043,,,,0.0009987525409087539,0.012442915700376034,,1.209567666053772,3226040,10,3226040,3226040,0,3.8014997329992184,3.7991059980049613,0.9185815190030553,0.0017359570010739844,0.5261664,12690,5,5,0.539344662916632
15,0.10800418535333316,0.07381547445741395,0.9704044722130878,0.9285714285714286,0.000930965761654079,0.011580436490476131,0.0075,1.1172022819519043,3226040,10,3226040,3226040,0,3.6616942809996544,3.659239611002704,0.8666565700004867,0.001787418997992063,0.5261664,12690,5,5,0.539344662916632
16,0.09119166545379405,,,,0.0010290872305631638,0.012759780511260033,,1.1868051290512085,3226040,10,3226040,3226040,0,3.6937735300016357,3.691115951005486,0.8975962210024591,0.0018990990029124077,0.5261664,12690,5,5,0.539344662916632
17,0.09790504688236043,,,,0.0011687607038766146,0.014467529952526093,,1.3478593826293945,3226040,10,3226040,3226040,0,3.940176681000594,3.9375649810026516,0.923712339001213,0.0018556900031398982,0.5261664,12690,5,5,0.539344662916632
18,0.09827298115263908,,,,0.001079073641449213,0.013335741125047207,,1.1529465913772583,3226040,10,3226040,3226040,0,3.799038467997889,3.796485962000588,0.9458739190013148,0.0018677410007512663,0.5261664,12690,5,5,0.539344662916632
19,0.09009770204851297,,,,0.0010382655309513211,0.012801820412278175,,1.1639429330825806,3226040,10,3226040,3226040,0,3.6259342929988634,3.6234197200028575,0.8598733310027455,0.0018045789984171279,0.5261664,12690,5,5,0.539344662916632
20,0.09346197353196914,0.07071277179345876,0.968760276224926,0.921681780708986,0.0009759803651832044,0.012013865634799004,0.01375,1.253243088722229,3226040,10,3226040,3226040,0,3.8960030039997946,3.893442861000949,0.8877502499999537,0.0018346030010434333,0.5261664,12690,5,5,0.539344662916632
21,0.08636777863701643,,,,0.0010466253152117133,0.01284855417907238,,1.2516738176345825,3226040,10,3226040,3226040,0,3.820327573001123,3.81750586400085,0.8954647409991594,0.0021047800000815187,0.5261664,12690,5,5,0.539344662916632
22,0.08365997876788249,,,,0.0010219994001090527,0.012519541196525097,,1.2242159843444824,3226040,10,3226040,3226040,0,3.8845837480002956,3.8821236609983316,0.9710955679984181,0.0017883940017782152,0.5261664,12690,5,5,0.539344662916632
23,0.0840449932319769,,,,0.0010126408888027072,0.012379434891045094,,1.2305787801742554,3226040,10,3226040,3226040,0,3.770245576000889,3.7676677429990377,0.8958750010024232,0.001869351999630453,0.5261664,12690,5,5,0.539344662916632
24,0.0832646252463314,,,,0.0010576057247817516,0.012900825589895248,,1.2268270254135132,3226040,10,3226040,3226040,0,3.8522830010006146,3.8495692479991703,0.8655419950009673,0.0019113519992970396,0.5261664,12690,5,5,0.539344662916632
25,0.08934726076001405,0.0632699098203127,0.973364024991779,0.93255620316403,0.0011140126734972,0.01356594730168581,0.0175,1.3562216758728027,3226040,10,3226040,3226040,0,3.8441199409971887,3.841313030996389,0.9916064060016652,0.0019159549992764369,0.5261664,12690,5,5,0.539344662916632
26,0.07397283164150574,,,,0.0011574899544939399,0.014056382700800896,,1.345648169517517,3226040,10,3226040,3226040,0,3.811343941000814,3.8086447629975737,0.9511223759982386,0.0018674570019356906,0.5261664,12690,5,5,0.539344662916632
27,0.07736834449964648,,,,0.0011365915415808558,0.013769018463790417,,1.2972478866577148,3226040,10,3226040,3226040,0,3.982406404997164,3.9789470819996495,0.9717411019992142,0.002496101998985978,0.5261664,12690,5,5,0.539344662916632
28,0.08283158940412819,,,,0.0012375377118587494,0.014964689500629902,,1.380837321281433,3226040,10,3226040,3226040,0,3.8193828229996143,3.816883568004414,0.9226062369998544,0.0017729870014591143,0.5261664,12690,5,5,0.539344662916632
29,0.07647793554732647,,,,0.0012987650698050857,0.015658827498555183,,1.3827041387557983,3226040,10,3226040,3226040,0,4.084346447001735,4.081828687005327,0.9489931010029977,0.001783745003194781,0.5261664,12690,5,5,0.539344662916632
30,0.07683387125250904,0.05974077540946512,0.9746793817823084,0.9377526273241714,0.0011876511853188276,0.014295089058578014,0.00875,1.2725605964660645,3226040,10,3226040,3226040,0,3.9081723159979447,3.905468214004941,0.9219121320020349,0.001946983000379987,0.5261664,12690,5,5,0.539344662916632
31,0.072814403476572,,,,0.0011637212010100484,0.013972415588796139,,1.4209743738174438,3226040,10,3226040,3226040,0,4.324694737002574,4.321963917001995,1.0064308750006603,0.0019764809985645115,0.5261664,12690,5,5,0.539344662916632
32,0.07608155213266757,,,,0.0012442856095731258,0.0149191590026021,,1.3974957466125488,3226040,10,3226040,3226040,0,4.057172380002157,4.0546265929951915,0.954099894999672,0.0018193110008724034,0.5261664,12690,5,5,0.539344662916632
33,0.07159030999376252,,,,0.0011202895548194647,0.013395249843597412,,1.3055875301361084,3226040,10,3226040,3226040,0,3.823308207000082,3.8206713870058593,0.9267818830012402,0.0019202860021323431,0.5261664,12690,5,5,0.539344662916632
34,0.07012713804954807,,,,0.0012362719280645251,0.014749495312571526,,1.4699996709823608,3226040,10,3226040,3226040,0,3.807223531002819,3.8046164920051524,0.9185139540022647,0.001890022998850327,0.5261664,12690,5,5,0.539344662916632
35,0.06536768255805722,0.05678440694013748,0.9746793817823084,0.9360995850622407,0.0012848450569435954,0.015281658619642258,0.00875,1.3276124000549316,3226040,10,3226040,3226040,0,3.974967206999281,3.972425399999338,0.9497636939995573,0.0017722820011840668,0.5261664,12690,5,5,0.539344662916632
36,0.07290939975192734,,,,0.0011780367931351066,0.013997776433825493,,1.410582423210144,3226040,10,3226040,3226040,0,3.752193480999267,3.7497168660011084,0.9099131269977079,0.0017689080013951752,0.5261664,12690,5,5,0.539344662916632
37,0.07245874926965615,,,,0.0011886092834174633,0.014084877446293831,,1.2905035018920898,3226040,10,3226040,3226040,0,3.827497062000475,3.825001044995588,0.9137841289993958,0.0018238709999423008,0.5261664,12690,5,5,0.539344662916632
38,0.06877082827859647,,,,0.0011866799322888255,0.014029860496520996,,1.3238611221313477,3226040,10,3226040,3226040,0,3.8798249719984597,3.877276366991282,0.8789710709970677,0.0018757329999061767,0.5261664,12690,5,5,0.539344662916632
39,0.07383374157192485,,,,0.0011600860161706805,0.013693653978407383,,1.342265248298645,3226040,10,3226040,3226040,0,3.8091946269996697,3.806802131995937,0.9497071320001851,0.001775857999746222,0.5261664,12690,5,5,0.539344662916632
