split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,2312,27,36,460,0.9777777777777777,0.944558521560575,0.9274193548387096,0.9359104781281791,0.011543394613082514,0.9579379801128136,2835,496,0.5,0.9974322153112027,0.9881184857380354,0.015956523914379427,0.05279737074234504
train,fixed,1,1865,3,56,440,0.9750423011844331,0.9932279909706546,0.8870967741935484,0.9371671991480298,0.0016059957173447537,0.9427453892381018,2364,496,0.5,0.9985289165572977,0.9947722999975798,0.018177833738754107,0.059805263597238936
train,fixed,2,1798,5,48,448,0.976946498477599,0.9889624724061811,0.9032258064516129,0.9441517386722866,0.0027731558513588465,0.9502263253001271,2299,496,0.5,0.9983528796092535,0.9944287879104972,0.01643234044682496,0.05598357949777628
train,fixed,3,1969,6,47,449,0.9785511938486443,0.9868131868131869,0.905241935483871,0.9442691903259727,0.0030379746835443038,0.9511019804001634,2471,496,0.5,0.9977133523887302,0.9918056854720593,0.017469351839851537,0.05866505419926233
train,fixed,4,2197,28,30,466,0.9786843072399853,0.9433198380566802,0.9395161290322581,0.9414141414141414,0.012584269662921348,0.9634659296846684,2721,496,0.5,0.9975797390358826,0.9892350511587837,0.015343040622709778,0.052503304305769605
train,val_f1,0,2291,48,18,478,0.9767195767195768,0.908745247148289,0.9637096774193549,0.9354207436399217,0.020521590423257803,0.9715940434980486,2835,496,0.32,0.9974322153112027,0.9881184857380354,0.015956523914379427,0.05279737074234504
train,val_f1,1,1855,13,29,467,0.9822335025380711,0.9729166666666667,0.9415322580645161,0.9569672131147541,0.006959314775160599,0.9672864716446777,2364,496,0.32,0.9985289165572977,0.9947722999975798,0.018177833738754107,0.059805263597238936
train,val_f1,2,1774,29,23,473,0.9773814702044367,0.9422310756972112,0.9536290322580645,0.9478957915831663,0.01608430393788131,0.9687723641600916,2299,496,0.32,0.9983528796092535,0.9944287879104972,0.01643234044682496,0.05598357949777628
train,val_f1,3,1947,28,27,469,0.9777418049372724,0.9436619718309859,0.9455645161290323,0.9446122860020141,0.014177215189873417,0.9656936504695794,2471,496,0.32,0.9977133523887302,0.9918056854720593,0.017469351839851537,0.05866505419926233
train,val_f1,4,2174,51,13,483,0.9764792355751561,0.9044943820224719,0.9737903225806451,0.9378640776699029,0.02292134831460674,0.9754344871330192,2721,496,0.32,0.9975797390358826,0.9892350511587837,0.015343040622709778,0.052503304305769605
train,val_fpr02,0,2265,74,5,491,0.9721340388007055,0.8690265486725663,0.9899193548387096,0.9255419415645617,0.03163745190252244,0.9791409514680935,2835,496,0.19,0.9974322153112027,0.9881184857380354,0.015956523914379427,0.05279737074234504
train,val_fpr02,1,1838,30,12,484,0.9822335025380711,0.9416342412451362,0.9758064516129032,0.9584158415841584,0.016059957173447537,0.9798732472197278,2364,496,0.19,0.9985289165572977,0.9947722999975798,0.018177833738754107,0.059805263597238936
train,val_fpr02,2,1749,54,9,487,0.9725967812092214,0.9001848428835489,0.9818548387096774,0.9392478302796529,0.029950083194675542,0.975952377757501,2299,496,0.19,0.9983528796092535,0.9944287879104972,0.01643234044682496,0.05598357949777628
train,val_fpr02,3,1918,57,15,481,0.9708619991906111,0.8940520446096655,0.969758064516129,0.9303675048355899,0.028860759493670885,0.970448652511229,2471,496,0.19,0.9977133523887302,0.9918056854720593,0.017469351839851537,0.05866505419926233
train,val_fpr02,4,2143,82,4,492,0.9683939728041161,0.8571428571428571,0.9919354838709677,0.9196261682242991,0.036853932584269666,0.9775407756433491,2721,496,0.19,0.9975797390358826,0.9892350511587837,0.015343040622709778,0.052503304305769605
validation,fixed,0,402,2,16,108,0.9659090909090909,0.9818181818181818,0.8709677419354839,0.9230769230769231,0.0049504950495049506,0.9330086234429895,528,124,0.5,0.9973450974129671,0.9918199698684904,0.023006353923614012,0.07339991376052496
validation,fixed,1,519,0,13,111,0.9797822706065319,1.0,0.8951612903225806,0.9446808510638298,0.0,0.9475806451612903,643,124,0.5,0.999487227298154,0.9979201499179112,0.01475385451693006,0.04816586323963817
validation,fixed,2,495,0,20,104,0.9676898222940227,1.0,0.8387096774193549,0.9122807017543859,0.0,0.9193548387096775,619,124,0.5,0.996692733789508,0.9885722238492669,0.02356852784800175,0.07659721353193152
validation,fixed,3,548,6,9,115,0.9778761061946902,0.9504132231404959,0.9274193548387096,0.9387755102040817,0.010830324909747292,0.9582945149644811,678,124,0.5,0.9973360894375218,0.9890811028160746,0.016384869018571835,0.05375739977851585
validation,fixed,4,448,1,9,115,0.9825479930191972,0.9913793103448276,0.9274193548387096,0.9583333333333334,0.0022271714922048997,0.9625960916732523,573,124,0.5,0.9994072850061068,0.9978818044014816,0.012306439487493947,0.04164343915841265
validation,val_f1,0,400,4,11,113,0.9715909090909091,0.9658119658119658,0.9112903225806451,0.9377593360995851,0.009900990099009901,0.9506946662408176,528,124,0.32,0.9973450974129671,0.9918199698684904,0.023006353923614012,0.07339991376052496
validation,val_f1,1,518,1,7,117,0.9875583203732504,0.9915254237288136,0.9435483870967742,0.9669421487603306,0.0019267822736030828,0.9708108024115856,643,124,0.32,0.999487227298154,0.9979201499179112,0.01475385451693006,0.04816586323963817
validation,val_f1,2,492,3,10,114,0.9789983844911146,0.9743589743589743,0.9193548387096774,0.946058091286307,0.006060606060606061,0.9566471163245356,619,124,0.32,0.996692733789508,0.9885722238492669,0.02356852784800175,0.07659721353193152
validation,val_f1,3,545,9,7,117,0.976401179941003,0.9285714285714286,0.9435483870967742,0.936,0.016245487364620937,0.9636514498660766,678,124,0.32,0.9973360894375218,0.9890811028160746,0.016384869018571835,0.05375739977851585
validation,val_f1,4,446,3,3,121,0.9895287958115183,0.9758064516129032,0.9758064516129032,0.9758064516129032,0.0066815144766146995,0.9845624685681442,573,124,0.32,0.9994072850061068,0.9978818044014816,0.012306439487493947,0.04164343915841265
validation,val_fpr02,0,395,9,6,118,0.9715909090909091,0.9291338582677166,0.9516129032258065,0.9402390438247012,0.022277227722772276,0.9646678377515171,528,124,0.19,0.9973450974129671,0.9918199698684904,0.023006353923614012,0.07339991376052496
validation,val_fpr02,1,513,6,3,121,0.9860031104199067,0.952755905511811,0.9758064516129032,0.9641434262948207,0.011560693641618497,0.9821228789856424,643,124,0.19,0.999487227298154,0.9979201499179112,0.01475385451693006,0.04816586323963817
validation,val_fpr02,2,482,13,6,118,0.9693053311793215,0.9007633587786259,0.9516129032258065,0.9254901960784314,0.026262626262626262,0.9626751384815901,619,124,0.19,0.996692733789508,0.9885722238492669,0.02356852784800175,0.07659721353193152
validation,val_fpr02,3,540,14,4,120,0.9734513274336283,0.8955223880597015,0.967741935483871,0.9302325581395349,0.02527075812274368,0.9712355886805637,678,124,0.19,0.9973360894375218,0.9890811028160746,0.016384869018571835,0.05375739977851585
validation,val_fpr02,4,443,6,1,123,0.987783595113438,0.9534883720930233,0.9919354838709677,0.9723320158102767,0.013363028953229399,0.9892862274588692,573,124,0.19,0.9994072850061068,0.9978818044014816,0.012306439487493947,0.04164343915841265
test_all,fixed,0,1859,2,17,46,0.9901247401247402,0.9583333333333334,0.7301587301587301,0.8288288288288288,0.0010746910263299302,0.8645420195662001,1924,63,0.5,0.9990106019122676,0.971916531339696,0.006014336928053354,0.020059725233474456
test_all,fixed,1,1133,0,16,17,0.9862778730703259,1.0,0.5151515151515151,0.68,0.0,0.7575757575757576,1166,33,0.5,1.0,0.9999999999999998,0.009909499682063172,0.029990798188588297
test_all,fixed,2,1908,0,24,64,0.9879759519038076,1.0,0.7272727272727273,0.8421052631578947,0.0,0.8636363636363636,1996,88,0.5,0.9980643701162569,0.9666554815857578,0.008570207318100338,0.028856237612702482
test_all,fixed,3,1527,0,33,81,0.979890310786106,1.0,0.7105263157894737,0.8307692307692308,0.0,0.8552631578947368,1641,114,0.5,0.9977079240340537,0.9719261127692509,0.015064891592193963,0.04709637886973656
test_all,fixed,4,1494,0,16,18,0.9895287958115183,1.0,0.5294117647058824,0.6923076923076923,0.0,0.7647058823529411,1528,34,0.5,0.9968107725017717,0.9055314680733672,0.007770314848280041,0.025635968599887322
test_all,val_f1,0,1854,7,9,54,0.9916839916839917,0.8852459016393442,0.8571428571428571,0.8709677419354839,0.0037614185921547557,0.9266907192753512,1924,63,0.32,0.9990106019122676,0.971916531339696,0.006014336928053354,0.020059725233474456
test_all,val_f1,1,1133,0,12,21,0.9897084048027445,1.0,0.6363636363636364,0.7777777777777778,0.0,0.8181818181818181,1166,33,0.32,1.0,0.9999999999999998,0.009909499682063172,0.029990798188588297
test_all,val_f1,2,1896,12,10,78,0.9889779559118237,0.8666666666666667,0.8863636363636364,0.8764044943820225,0.006289308176100629,0.9400371640937679,1996,88,0.32,0.9980643701162569,0.9666554815857578,0.008570207318100338,0.028856237612702482
test_all,val_f1,3,1522,5,23,91,0.9829372333942717,0.9479166666666666,0.7982456140350878,0.8666666666666667,0.0032743942370661427,0.8974856098990108,1641,114,0.32,0.9977079240340537,0.9719261127692509,0.015064891592193963,0.04709637886973656
test_all,val_f1,4,1492,2,11,23,0.9914921465968587,0.92,0.6764705882352942,0.7796610169491526,0.0013386880856760374,0.837565950074809,1528,34,0.32,0.9968107725017717,0.9055314680733672,0.007770314848280041,0.025635968599887322
test_all,val_fpr02,0,1848,13,1,62,0.9927234927234927,0.8266666666666667,0.9841269841269841,0.8985507246376812,0.006985491671144546,0.9885707462279197,1924,63,0.19,0.9990106019122676,0.971916531339696,0.006014336928053354,0.020059725233474456
test_all,val_fpr02,1,1133,0,10,23,0.9914236706689536,1.0,0.696969696969697,0.8214285714285714,0.0,0.8484848484848485,1166,33,0.19,1.0,0.9999999999999998,0.009909499682063172,0.029990798188588297
test_all,val_fpr02,2,1877,31,4,84,0.9824649298597194,0.7304347826086957,0.9545454545454546,0.8275862068965517,0.016247379454926623,0.969149037545264,1996,88,0.19,0.9980643701162569,0.9666554815857578,0.008570207318100338,0.028856237612702482
test_all,val_fpr02,3,1518,9,16,98,0.9847653869591713,0.9158878504672897,0.8596491228070176,0.8868778280542986,0.005893909626719057,0.9268776065901492,1641,114,0.19,0.9977079240340537,0.9719261127692509,0.015064891592193963,0.04709637886973656
test_all,val_fpr02,4,1488,6,7,27,0.9914921465968587,0.8181818181818182,0.7941176470588235,0.8059701492537313,0.004016064257028112,0.8950507914008976,1528,34,0.19,0.9968107725017717,0.9055314680733672,0.007770314848280041,0.025635968599887322
test_terminal,fixed,0,13,0,2,4,0.8947368421052632,1.0,0.6666666666666666,0.8,0.0,0.8333333333333333,19,6,0.5,1.0,1.0,0.038309771397356425,0.11643628642710367
test_terminal,fixed,1,17,0,0,2,1.0,1.0,1.0,1.0,0.0,1.0,19,2,0.5,1.0,1.0,0.004773435340241564,0.019103723890495514
test_terminal,fixed,2,11,0,2,6,0.8947368421052632,1.0,0.75,0.8571428571428571,0.0,0.875,19,8,0.5,1.0,1.0,0.06866156745952262,0.19959445025773703
test_terminal,fixed,3,12,0,0,6,1.0,1.0,1.0,1.0,0.0,1.0,18,6,0.5,1.0,1.0,0.0017256077072885204,0.014302053232626724
test_terminal,fixed,4,15,0,0,3,1.0,1.0,1.0,1.0,0.0,1.0,18,3,0.5,1.0,1.0,0.010799752104412521,0.055563276919384084
test_terminal,val_f1,0,13,0,0,6,1.0,1.0,1.0,1.0,0.0,1.0,19,6,0.32,1.0,1.0,0.038309771397356425,0.11643628642710367
test_terminal,val_f1,1,17,0,0,2,1.0,1.0,1.0,1.0,0.0,1.0,19,2,0.32,1.0,1.0,0.004773435340241564,0.019103723890495514
test_terminal,val_f1,2,11,0,1,7,0.9473684210526315,1.0,0.875,0.9333333333333333,0.0,0.9375,19,8,0.32,1.0,1.0,0.06866156745952262,0.19959445025773703
test_terminal,val_f1,3,12,0,0,6,1.0,1.0,1.0,1.0,0.0,1.0,18,6,0.32,1.0,1.0,0.0017256077072885204,0.014302053232626724
