epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5312112030914353,,,,0.0005440376698970795,0.0070179784670472145,,0.828641414642334,6452080,20,6452080,6452080,0,3.8647413459993913,3.860030180998365,0.45212428299964813,0.003415420999772323,0.5261664,12628,10,10,0.8726779962499653
2,0.3941119124724498,,,,0.0008904921705834568,0.01144767552614212,,1.2306931018829346,6452080,20,6452080,6452080,0,3.479788161000215,3.4754807979998077,0.39829311899939057,0.003127953000330308,0.5261664,12628,10,10,0.8726779962499653
3,0.2872466381912395,,,,0.0009679639479145408,0.012422826141119003,,0.9225390553474426,6452080,20,6452080,6452080,0,3.3941949250001926,3.390055378001307,0.3833006920003754,0.00300255699949048,0.5261664,12628,10,10,0.8726779962499653
4,0.26067888151512947,,,,0.0011239581508561969,0.014402830973267555,,1.0691369771957397,6452080,20,6452080,6452080,0,3.782790236999972,3.7784369159980997,0.4338937319998877,0.003134448999844608,0.5261664,12628,10,10,0.8726779962499653
5,0.2266033733766763,0.1659942729561631,0.9455365775056397,0.8613617719442166,0.0013332132948562503,0.017040416598320007,0.04375,1.078290581703186,6452080,20,6452080,6452080,0,3.8014572769998267,3.7969315589998587,0.4609319700002743,0.003275149000728561,0.5261664,12628,10,10,0.8726779962499653
6,0.21718412700428963,,,,0.0014158214908093214,0.018060175701975822,,1.067822813987732,6452080,20,6452080,6452080,0,4.021836182999323,4.017271363998589,0.45962675400005537,0.003251539999837405,0.5261664,12628,10,10,0.8726779962499653
7,0.1801137932926375,,,,0.0015488381031900644,0.019695617258548737,,1.1974726915359497,6452080,20,6452080,6452080,0,3.6567528010000387,3.652550531000088,0.45126935500047693,0.0029664760004379787,0.5261664,12628,10,10,0.8726779962499653
8,0.18045916084874375,,,,0.0015074326656758785,0.019147414714097977,,1.0639281272888184,6452080,20,6452080,6452080,0,3.8243212600000334,3.8200163739993513,0.439804071999788,0.0031036529999255436,0.5261664,12628,10,10,0.8726779962499653
9,0.15592606057326716,,,,0.001599922077730298,0.020279159769415855,,1.1462863683700562,6452080,20,6452080,6452080,0,3.216001892999884,3.2119062049987406,0.37031045599997015,0.002946335000160616,0.5261664,12628,10,10,0.8726779962499653
10,0.1575611810801172,0.1287400357372285,0.9545601031260071,0.8922841864018335,0.0015946448547765613,0.020191678777337074,0.0125,1.1532220840454102,6452080,20,6452080,6452080,0,3.6481997539995064,3.643900664999819,0.40785249500004284,0.0030355779999808874,0.5261664,12628,10,10,0.8726779962499653
11,0.14886922054527324,,,,0.0016402187757194042,0.020753175020217896,,1.1829017400741577,6452080,20,6452080,6452080,0,3.5292388520001623,3.5243988930014893,0.4213203489998705,0.0034455570003046887,0.5261664,12628,10,10,0.8726779962499653
12,0.14792623538552577,,,,0.0015997175360098481,0.02021617442369461,,1.148319959640503,6452080,20,6452080,6452080,0,3.859104854999714,3.8542183600011413,0.4562390350001806,0.0034496409998610034,0.5261664,12628,10,10,0.8726779962499653
13,0.14134822989119025,,,,0.0016046615783125162,0.02025664411485195,,1.137709140777588,6452080,20,6452080,6452080,0,3.984940745000131,3.9805538150021675,0.4714380909999818,0.003097642000284395,0.5261664,12628,10,10,0.8726779962499653
14,0.12759860098118286,,,,0.0016211963957175612,0.020438585430383682,,1.2359517812728882,6452080,20,6452080,6452080,0,3.8398805629994968,3.83574438100095,0.4405519669999194,0.0028786949997083866,0.5261664,12628,10,10,0.8726779962499653
15,0.1309962308724917,0.09781502886826209,0.9684176603287141,0.9216,0.00161369564011693,0.020327262580394745,0.01902777777777778,1.3251858949661255,6452080,20,6452080,6452080,0,3.7169078389997594,3.7125232960006542,0.4233174400005737,0.003089398999691184,0.5261664,12628,10,10,0.8726779962499653
16,0.13093921753409649,,,,0.001614130917005241,0.02031807228922844,,1.2637137174606323,6452080,20,6452080,6452080,0,3.8288110209996375,3.8244299589996444,0.4436608750002051,0.0031095029999050894,0.5261664,12628,10,10,0.8726779962499653
17,0.11663990411141598,,,,0.0016899937763810158,0.021244874224066734,,1.3340924978256226,6452080,20,6452080,6452080,0,3.794545224999638,3.7902377870004784,0.4576466030002848,0.0030319690004034783,0.5261664,12628,10,10,0.8726779962499653
18,0.11989001041138925,,,,0.0016691074706614017,0.020967381075024605,,1.2303305864334106,6452080,20,6452080,6452080,0,3.641218509999817,3.6370045190014935,0.43162725399997726,0.0030082800003583543,0.5261664,12628,10,10,0.8726779962499653
19,0.10798059343370774,,,,0.0017836804036051035,0.022375617176294327,,1.1554131507873535,6452080,20,6452080,6452080,0,3.846408687000803,3.842050296997513,0.4743367510000098,0.0030936999992263736,0.5261664,12628,10,10,0.8726779962499653
20,0.11302390551060422,0.10737819846195581,0.9532710280373832,0.8792672772689425,0.0017385068349540234,0.021785732358694077,0.019583333333333335,1.2550280094146729,6452080,20,6452080,6452080,0,3.802436863999901,3.7981739879996894,0.44092354900021746,0.003062808999857225,0.5261664,12628,10,10,0.8726779962499653
21,0.10863798640894307,,,,0.001764952321536839,0.02209848165512085,,1.3925955295562744,6452080,20,6452080,6452080,0,4.003562810999938,3.9992186900008164,0.48512100700008887,0.0031326839998655487,0.5261664,12628,10,10,0.8726779962499653
22,0.10724498093179646,,,,0.0017720353789627552,0.022164741531014442,,1.1825649738311768,6452080,20,6452080,6452080,0,3.852243515999362,3.847729459997936,0.4687717540000449,0.003192967999893881,0.5261664,12628,10,10,0.8726779962499653
23,0.10899787782717874,,,,0.0018456244142726064,0.023050270974636078,,1.2920875549316406,6452080,20,6452080,6452080,0,3.7308189529994706,3.7263631629984957,0.43122154499997123,0.003202126999894972,0.5261664,12628,10,10,0.8726779962499653
24,0.10153911711114642,,,,0.0018658024491742253,0.023282546550035477,,1.3367621898651123,6452080,20,6452080,6452080,0,3.831146627000635,3.826569536002353,0.4315113399998154,0.0032898359995670035,0.5261664,12628,10,10,0.8726779962499653
25,0.10767170882360577,0.09813755120109376,0.9564937157589429,0.8922585794094174,0.0019002372864633799,0.023700645193457603,0.025,1.1645890474319458,6452080,20,6452080,6452080,0,3.891996071999529,3.8877849409982446,0.44365243899937923,0.003061320000597334,0.5261664,12628,10,10,0.8726779962499653
26,0.09795073252579359,,,,0.0019495346350595355,0.02428831160068512,,1.359502911567688,6452080,20,6452080,6452080,0,3.9473231530000703,3.942527794003581,0.4509179650003716,0.0034524899992902647,0.5261664,12628,10,10,0.8726779962499653
27,0.09813179704190386,,,,0.0020191939547657967,0.02513544075191021,,1.3235913515090942,6452080,20,6452080,6452080,0,3.833851936999963,3.8291727909991096,0.46365973699994356,0.0032642569995005033,0.5261664,12628,10,10,0.8726779962499653
