split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,1098,12,5,243,0.9874815905743741,0.9529411764705882,0.9798387096774194,0.9662027833001988,0.010810810810810811,0.9845139494333043,1358,248,0.5,0.9994333042720139,0.9975607427452088,0.008364445322186014,0.030353350467360592
train,fixed,1,968,13,8,240,0.9829129373474369,0.9486166007905138,0.967741935483871,0.9580838323353293,0.013251783893985729,0.9772450757949427,1229,248,0.5,0.9984503962382032,0.9942105721305996,0.013605748299700463,0.048381465553542564
train,fixed,2,990,30,5,243,0.972397476340694,0.8901098901098901,0.9798387096774194,0.9328214971209213,0.029411764705882353,0.9752134724857685,1268,248,0.5,0.9980866540164454,0.9925760204563274,0.018790091200975002,0.06431023404338326
train,fixed,3,938,28,6,242,0.9719934102141681,0.8962962962962963,0.9758064516129032,0.9343629343629344,0.028985507246376812,0.9734104721832633,1214,248,0.5,0.9976833299939892,0.9914898198500431,0.01946385640817405,0.06891192686427779
train,fixed,4,927,29,6,242,0.9709302325581395,0.8929889298892989,0.9758064516129032,0.9325626204238922,0.030334728033472803,0.9727358617897153,1204,248,0.5,0.9972837090025645,0.9899917737919702,0.021869628837067383,0.07519398196616853
train,fixed,5,1122,14,5,243,0.986271676300578,0.9455252918287937,0.9798387096774194,0.9623762376237623,0.01232394366197183,0.9837573830077238,1384,248,0.5,0.9992829963652885,0.9968979165875078,0.011889440320508763,0.04546920514819584
train,fixed,6,837,5,17,231,0.9798165137614679,0.9788135593220338,0.9314516129032258,0.9545454545454546,0.0059382422802850355,0.9627566853114704,1090,248,0.5,0.9979024595816413,0.9936736308770301,0.015957718479449896,0.05653305242049164
train,fixed,7,1157,17,10,238,0.9810126582278481,0.9333333333333333,0.9596774193548387,0.9463220675944334,0.014480408858603067,0.9725985052481179,1422,248,0.5,0.9983994614496896,0.9928123449336157,0.013151248701638769,0.04300174927458296
train,fixed,8,1041,10,24,224,0.9738260200153964,0.9572649572649573,0.9032258064516129,0.9294605809128631,0.009514747859181731,0.9468555292962155,1299,248,0.5,0.9958986832816672,0.9854938137310271,0.018670507896404828,0.06489754174135497
train,fixed,9,901,11,12,236,0.9801724137931035,0.9554655870445344,0.9516129032258065,0.9535353535353536,0.01206140350877193,0.9697757498585173,1160,248,0.5,0.998293364459536,0.9939517878113812,0.014095699996204195,0.04672281433905448
train,val_f1,0,1108,2,18,230,0.9852724594992637,0.9913793103448276,0.9274193548387096,0.9583333333333334,0.0018018018018018018,0.9628087765184539,1358,248,0.78,0.9994333042720139,0.9975607427452088,0.008364445322186014,0.030353350467360592
train,val_f1,1,976,5,20,228,0.9796582587469488,0.9785407725321889,0.9193548387096774,0.9480249480249481,0.0050968399592252805,0.9571289993752261,1229,248,0.78,0.9984503962382032,0.9942105721305996,0.013605748299700463,0.048381465553542564
train,val_f1,2,1009,11,15,233,0.9794952681388013,0.9549180327868853,0.9395161290322581,0.9471544715447154,0.010784313725490196,0.9643659076533839,1268,248,0.78,0.9980866540164454,0.9925760204563274,0.018790091200975002,0.06431023404338326
train,val_f1,3,960,6,21,227,0.9777594728171335,0.9742489270386266,0.9153225806451613,0.9438669438669439,0.006211180124223602,0.9545557002604688,1214,248,0.78,0.9976833299939892,0.9914898198500431,0.01946385640817405,0.06891192686427779
train,val_f1,4,947,9,24,224,0.9725913621262459,0.9613733905579399,0.9032258064516129,0.9313929313929314,0.009414225941422594,0.9469057902550951,1204,248,0.78,0.9972837090025645,0.9899917737919702,0.021869628837067383,0.07519398196616853
train,val_f1,5,1136,0,34,214,0.9754335260115607,1.0,0.8629032258064516,0.9264069264069265,0.0,0.9314516129032258,1384,248,0.78,0.9992829963652885,0.9968979165875078,0.011889440320508763,0.04546920514819584
train,val_f1,6,842,0,41,207,0.9623853211009175,1.0,0.8346774193548387,0.9098901098901099,0.0,0.9173387096774194,1090,248,0.78,0.9979024595816413,0.9936736308770301,0.015957718479449896,0.05653305242049164
train,val_f1,7,1168,6,24,224,0.9789029535864979,0.9739130434782609,0.9032258064516129,0.9372384937238494,0.005110732538330494,0.9490575369566412,1422,248,0.78,0.9983994614496896,0.9928123449336157,0.013151248701638769,0.04300174927458296
train,val_f1,8,1051,0,36,212,0.9722863741339491,1.0,0.8548387096774194,0.9217391304347826,0.0,0.9274193548387097,1299,248,0.78,0.9958986832816672,0.9854938137310271,0.018670507896404828,0.06489754174135497
train,val_f1,9,909,3,26,222,0.975,0.9866666666666667,0.8951612903225806,0.9386892177589852,0.003289473684210526,0.9459359083191851,1160,248,0.78,0.998293364459536,0.9939517878113812,0.014095699996204195,0.04672281433905448
train,val_fpr02,0,1107,3,13,235,0.9882179675994109,0.9873949579831933,0.9475806451612904,0.9670781893004116,0.002702702702702703,0.9724389712292938,1358,248,0.7100000000000001,0.9994333042720139,0.9975607427452088,0.008364445322186014,0.030353350467360592
train,val_fpr02,1,973,8,16,232,0.9804719283970708,0.9666666666666667,0.9354838709677419,0.9508196721311475,0.00815494393476045,0.9636644635164907,1229,248,0.7100000000000001,0.9984503962382032,0.9942105721305996,0.013605748299700463,0.048381465553542564
train,val_fpr02,2,1005,15,10,238,0.9802839116719243,0.9407114624505929,0.9596774193548387,0.9500998003992016,0.014705882352941176,0.9724857685009488,1268,248,0.7100000000000001,0.9980866540164454,0.9925760204563274,0.018790091200975002,0.06431023404338326
train,val_fpr02,3,953,13,17,231,0.9752883031301482,0.9467213114754098,0.9314516129032258,0.9390243902439024,0.013457556935817806,0.9589970279837039,1214,248,0.7100000000000001,0.9976833299939892,0.9914898198500431,0.01946385640817405,0.06891192686427779
train,val_fpr02,4,941,15,18,230,0.9725913621262459,0.9387755102040817,0.9274193548387096,0.9330628803245437,0.015690376569037656,0.955864489134836,1204,248,0.7100000000000001,0.9972837090025645,0.9899917737919702,0.021869628837067383,0.07519398196616853
train,val_fpr02,5,1136,0,21,227,0.9848265895953757,1.0,0.9153225806451613,0.9557894736842105,0.0,0.9576612903225806,1384,248,0.7100000000000001,0.9992829963652885,0.9968979165875078,0.011889440320508763,0.04546920514819584
train,val_fpr02,6,842,0,34,214,0.9688073394495413,1.0,0.8629032258064516,0.9264069264069265,0.0,0.9314516129032258,1090,248,0.7100000000000001,0.9979024595816413,0.9936736308770301,0.015957718479449896,0.05653305242049164
train,val_fpr02,7,1164,10,20,228,0.9789029535864979,0.957983193277311,0.9193548387096774,0.9382716049382716,0.008517887563884156,0.9554184755728966,1422,248,0.7100000000000001,0.9983994614496896,0.9928123449336157,0.013151248701638769,0.04300174927458296
train,val_fpr02,8,1050,1,33,215,0.9738260200153964,0.9953703703703703,0.8669354838709677,0.9267241379310345,0.0009514747859181732,0.9329920045425248,1299,248,0.7100000000000001,0.9958986832816672,0.9854938137310271,0.018670507896404828,0.06489754174135497
train,val_fpr02,9,907,5,22,226,0.9767241379310345,0.9783549783549783,0.9112903225806451,0.9436325678496869,0.005482456140350877,0.9529039332201471,1160,248,0.7100000000000001,0.998293364459536,0.9939517878113812,0.014095699996204195,0.04672281433905448
validation,fixed,0,239,9,0,62,0.9709677419354839,0.8732394366197183,1.0,0.9323308270676691,0.036290322580645164,0.9818548387096775,310,62,0.5,0.9996097814776275,0.9984791399915671,0.019075798830695812,0.06009590642930897
validation,fixed,1,274,15,4,58,0.9458689458689459,0.7945205479452054,0.9354838709677419,0.8592592592592593,0.05190311418685121,0.9417903783904453,351,62,0.5,0.9856568813483647,0.9321781332757814,0.03986543107847797,0.12475931766483732
validation,fixed,2,237,11,0,62,0.964516129032258,0.8493150684931506,1.0,0.9185185185185185,0.04435483870967742,0.9778225806451613,310,62,0.5,0.9988293444328824,0.9958898239052516,0.023363097152963905,0.07378438214439476
validation,fixed,3,256,9,4,58,0.9602446483180428,0.8656716417910447,0.9354838709677419,0.8992248062015504,0.033962264150943396,0.9507608034083992,327,62,0.5,0.9961655508216677,0.9865137878297459,0.024781788208717067,0.09265394538224708
