split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,1083,34,10,238,0.9677655677655678,0.875,0.9596774193548387,0.9153846153846154,0.03043867502238138,0.9646193721662286,1365,248,0.5,0.9960868686285269,0.9863266180587619,0.022149923935684265,0.07669646427502202
train,fixed,1,1010,7,39,209,0.9636363636363636,0.9675925925925926,0.842741935483871,0.9008620689655172,0.00688298918387414,0.9179294731499985,1265,248,0.5,0.9957932882925746,0.9838658124308872,0.02355533946697707,0.07352788584841878
train,fixed,2,815,10,20,228,0.9720410065237651,0.957983193277311,0.9193548387096774,0.9382716049382716,0.012121212121212121,0.9536168132942326,1073,248,0.5,0.9967790811339199,0.9902633701067962,0.020695400581759185,0.07162527500723238
train,fixed,3,1289,13,23,225,0.9767741935483871,0.9453781512605042,0.907258064516129,0.9259259259259259,0.009984639016897081,0.948636712749616,1550,248,0.5,0.9973180219017888,0.9869940047901253,0.01567274905176743,0.050911139197233966
train,fixed,4,811,15,17,231,0.9702048417132216,0.9390243902439024,0.9314516129032258,0.9352226720647774,0.018159806295399514,0.9566459033039132,1074,248,0.5,0.995484456767945,0.9862537632250721,0.02214624162329255,0.07540571926578588
train,fixed,5,1208,18,6,242,0.9837177747625508,0.9307692307692308,0.9758064516129032,0.952755905511811,0.01468189233278956,0.9805622796400568,1474,248,0.5,0.9983917013103194,0.991817825782161,0.012308620387681614,0.04405819457409893
train,fixed,6,1083,22,6,242,0.9793052475979305,0.9166666666666666,0.9758064516129032,0.9453125,0.019909502262443438,0.9779484746752298,1353,248,0.5,0.9989600058385637,0.9956858950977912,0.013965608839654132,0.050858458080991216
train,fixed,7,783,28,8,240,0.9660056657223796,0.8955223880597015,0.967741935483871,0.9302325581395349,0.0345252774352651,0.9666083290243029,1059,248,0.5,0.9962561155085319,0.9882420148838497,0.023886396670380814,0.07879737530934243
train,fixed,8,998,21,13,235,0.9731649565903709,0.91796875,0.9475806451612904,0.9325396825396826,0.020608439646712464,0.963486102757289,1267,248,0.5,0.9957540599575802,0.9855200019606986,0.020461735910632623,0.0692598460163745
train,fixed,9,840,1,47,201,0.9559228650137741,0.995049504950495,0.8104838709677419,0.8933333333333333,0.0011890606420927466,0.9046474051628246,1089,248,0.5,0.9965862452533467,0.989552909316022,0.03006001675752595,0.09639465011707736
train,val_f1,0,1098,19,11,237,0.978021978021978,0.92578125,0.9556451612903226,0.9404761904761905,0.017009847806624886,0.9693176567418489,1365,248,0.54,0.9960868686285269,0.9863266180587619,0.022149923935684265,0.07669646427502202
train,val_f1,1,1012,5,40,208,0.9644268774703557,0.9765258215962441,0.8387096774193549,0.9023861171366594,0.004916420845624385,0.9168966282868652,1265,248,0.54,0.9957932882925746,0.9838658124308872,0.02355533946697707,0.07352788584841878
train,val_f1,2,819,6,22,226,0.9739049394221808,0.9741379310344828,0.9112903225806451,0.9416666666666667,0.007272727272727273,0.9520087976539588,1073,248,0.54,0.9967790811339199,0.9902633701067962,0.020695400581759185,0.07162527500723238
