epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,1.0149087428007024,,,,0.0010089779971167445,0.01302225049585104,,1.3711923360824585,6452080,20,6452080,6452080,0,4.132206382000049,4.127473008999914,0.4700591160001295,0.0035475189999942813,0.5261664,12681,10,10,0.8726779962499653
2,0.6476427954759214,,,,0.0012262144591659307,0.015759779140353203,,1.0835121870040894,6452080,20,6452080,6452080,0,3.9151290330000847,3.910952146999989,0.4714576860001216,0.002964479999945979,0.5261664,12681,10,10,0.8726779962499653
3,0.6306871803889389,,,,0.0012962361797690392,0.016666246578097343,,1.213355541229248,6452080,20,6452080,6452080,0,4.023013165999828,4.018786611999985,0.4571916570000667,0.003039446000002499,0.5261664,12681,10,10,0.8726779962499653
4,0.519604887090367,,,,0.0014120977139100432,0.018112830817699432,,1.1597819328308105,6452080,20,6452080,6452080,0,3.9807778940000844,3.9765406240001084,0.45532300100012435,0.002995096999939051,0.5261664,12681,10,10,0.8726779962499653
5,0.5253121007561806,0.22411151216610886,0.9157377049180327,0.8165596002855103,0.0015324384439736605,0.019622180610895157,0.04513888888888889,1.2132679224014282,6452080,20,6452080,6452080,0,3.8948781179999514,3.890141609999773,0.4565045720000853,0.0029805919998580066,0.5261664,12681,10,10,0.8726779962499653
6,0.4456704024655277,,,,0.0017315477598458529,0.02210582233965397,,1.2492440938949585,6452080,20,6452080,6452080,0,3.9177975620000325,3.913595118000103,0.45324457900005655,0.003011762999904022,0.5261664,12681,10,10,0.8726779962499653
7,0.41023952578224876,,,,0.0018117486033588648,0.02308100089430809,,1.2314198017120361,6452080,20,6452080,6452080,0,3.851883480999959,3.847680518000061,0.45407028800013904,0.002975330000026588,0.5261664,12681,10,10,0.8726779962499653
8,0.37094546265944833,,,,0.0018169436370953918,0.023102566599845886,,1.219967007637024,6452080,20,6452080,6452080,0,3.8533632680000665,3.8483430070004943,0.4608293200001299,0.0037028790000022127,0.5261664,12681,10,10,0.8726779962499653
9,0.3412737440750741,,,,0.0018973273690789938,0.02408253587782383,,1.2813923358917236,6452080,20,6452080,6452080,0,3.8560270469999978,3.851616663999721,0.4590112619998763,0.0031966560000000754,0.5261664,12681,10,10,0.8726779962499653
10,0.32080524586582027,0.21531792640880776,0.9108196721311476,0.8162162162162162,0.0018222661456093192,0.023093150928616524,0.04875,1.2022041082382202,6452080,20,6452080,6452080,0,4.094271901999946,4.089950626000245,0.47912564300008853,0.0031350770000244665,0.5261664,12681,10,10,0.8726779962499653
11,0.3197471205206358,,,,0.0017995183588936925,0.022790387272834778,,1.193760871887207,6452080,20,6452080,6452080,0,4.243788789000064,4.238192513000058,0.7292625680001947,0.004191074000118533,0.5261664,12681,10,10,0.8726779962499653
12,0.3011774293549312,,,,0.0017709261737763882,0.0224018432199955,,1.2632367610931396,6452080,20,6452080,6452080,0,3.8699961070001336,3.8657787160000225,0.47455006199993477,0.0029221810000308324,0.5261664,12681,10,10,0.8726779962499653
13,0.27211421276778436,,,,0.0017641407903283834,0.02228718064725399,,1.345557451248169,6452080,20,6452080,6452080,0,3.7925167299999885,3.7883127680004236,0.4150979680000546,0.0030118119998405746,0.5261664,12681,10,10,0.8726779962499653
14,0.27104570303269054,,,,0.0017730756662786007,0.02237742394208908,,1.2617155313491821,6452080,20,6452080,6452080,0,4.075341654000113,4.0712202019999495,0.5240959340001154,0.002921741999898586,0.5261664,12681,10,10,0.8726779962499653
15,0.2560221521203057,0.1145508440806518,0.9563934426229508,0.900374531835206,0.0017732735723257065,0.0223613940179348,0.012777777777777779,1.3997379541397095,6452080,20,6452080,6452080,0,3.857882213000039,3.853397778000044,0.43687754999996287,0.003284940000185088,0.5261664,12681,10,10,0.8726779962499653
16,0.26124986319107685,,,,0.0017596438992768526,0.022163093090057373,,1.2594963312149048,6452080,20,6452080,6452080,0,4.010381391999999,4.006064590000051,0.4480736900000011,0.003154137999899831,0.5261664,12681,10,10,0.8726779962499653
17,0.29270202903845977,,,,0.0017857482889667153,0.022477034479379654,,1.2816625833511353,6452080,20,6452080,6452080,0,3.9716258119999566,3.967728422999926,0.5560424200000398,0.002831675999914296,0.5261664,12681,10,10,0.8726779962499653
18,0.2913103610531574,,,,0.0017896639183163643,0.022513387724757195,,1.3051724433898926,6452080,20,6452080,6452080,0,3.746271016000037,3.7419630409992806,0.4292825739998989,0.0031210189999910654,0.5261664,12681,10,10,0.8726779962499653
19,0.25444284602800654,,,,0.0017794965533539653,0.02235998772084713,,1.4117984771728516,6452080,20,6452080,6452080,0,3.719932034000067,3.7156744660001095,0.42649766499994257,0.0031128600001011364,0.5261664,12681,10,10,0.8726779962499653
20,0.21482447301678875,0.135875383389672,0.9393442622950819,0.8673835125448028,0.001812905422411859,0.022759057581424713,0.025416666666666667,1.2791872024536133,6452080,20,6452080,6452080,0,3.689324544999863,3.685027132000414,0.420385713000087,0.0031363570001303742,0.5261664,12681,10,10,0.8726779962499653
21,0.2654951978280473,,,,0.0018065747572109103,0.022664446383714676,,1.4698337316513062,6452080,20,6452080,6452080,0,3.7226838110000244,3.7188774690000628,0.46642535599994517,0.0027455099998405785,0.5261664,12681,10,10,0.8726779962499653
22,0.20220016648078715,,,,0.0018215691670775414,0.022823231294751167,,1.3006436824798584,6452080,20,6452080,6452080,0,3.8192677350000395,3.8153111090000493,0.44537308500002837,0.002846705999900223,0.5261664,12681,10,10,0.8726779962499653
23,0.22014406487382443,,,,0.001823610276915133,0.022834327071905136,,1.457391619682312,6452080,20,6452080,6452080,0,3.769394166999973,3.765081235000025,0.41332144500006507,0.003086446999986947,0.5261664,12681,10,10,0.8726779962499653
24,0.2319609823987146,,,,0.001847845851443708,0.02312449738383293,,1.3511621952056885,6452080,20,6452080,6452080,0,3.755195603999937,3.750893526999562,0.4417886249998446,0.003087391999997635,0.5261664,12681,10,10,0.8726779962499653
25,0.2234269913335206,0.11397783302755436,0.9511475409836065,0.8903605592347315,0.0018182541243731976,0.02273787371814251,0.019583333333333335,1.3445509672164917,6452080,20,6452080,6452080,0,3.622956049999857,3.6188545260001774,0.4169105529999797,0.0028999470000599104,0.5261664,12681,10,10,0.8726779962499653
26,0.20121724383913658,,,,0.0018466266337782145,0.023062054067850113,,1.3029325008392334,6452080,20,6452080,6452080,0,3.6256481830000666,3.621430607000093,0.4101217719999113,0.003031488000033278,0.5261664,12681,10,10,0.8726779962499653
27,0.21325093266098158,,,,0.0018895495450124145,0.023570818826556206,,1.4520281553268433,6452080,20,6452080,6452080,0,3.7310486080000373,3.726972373000308,0.4593716740000673,0.002856891000192263,0.5261664,12681,10,10,0.8726779962499653
28,0.2176386394203756,,,,0.0019472503336146474,0.024274425581097603,,1.3143972158432007,6452080,20,6452080,6452080,0,3.6943331560000843,3.6895681930000137,0.4318317409999963,0.0035515469999154448,0.5261664,12681,10,10,0.8726779962499653
29,0.2106672521937524,,,,0.0019627821166068316,0.024444159120321274,,1.2814456224441528,6452080,20,6452080,6452080,0,3.9959411810000347,3.991676789999701,0.4500191080001059,0.003077511000128652,0.5261664,12681,10,10,0.8726779962499653
30,0.20295241033244413,0.11162848291494025,0.9511475409836065,0.8906823184152605,0.0019682259298861027,0.024494653567671776,0.01902777777777778,1.3689908981323242,6452080,20,6452080,6452080,0,4.104902594999885,4.100890211999513,0.5703020899998137,0.002914653999823713,0.5261664,12681,10,10,0.8726779962499653
31,0.20042576340920032,,,,0.0019607467111200094,0.024376370012760162,,1.4020997285842896,6452080,20,6452080,6452080,0,4.001966938000123,3.99772621399984,0.5299634360001164,0.003073216000075263,0.5261664,12681,10,10,0.8726779962499653
32,0.20307194189089697,,,,0.0019905087538063526,0.024727197363972664,,1.5754228830337524,6452080,20,6452080,6452080,0,3.508178901000065,3.503922255000134,0.4243214139999054,0.002942431000064971,0.5261664,12681,10,10,0.8726779962499653
33,0.18580627512123835,,,,0.002000565407797694,0.02482413686811924,,1.4667497873306274,6452080,20,6452080,6452080,0,3.9362873150000723,3.932261273000222,0.4671175470000435,0.002965630000062447,0.5261664,12681,10,10,0.8726779962499653
34,0.19590834561870712,,,,0.0020263795740902424,0.025120215490460396,,1.420629858970642,6452080,20,6452080,6452080,0,3.6834255960000064,3.678982841999641,0.4212255180000284,0.0031893109999145963,0.5261664,12681,10,10,0.8726779962499653
35,0.18419538570885133,0.10570692671758249,0.9531147540983607,0.8939955522609341,0.002062020357698202,0.025543801486492157,0.02,1.3736845254898071,6452080,20,6452080,6452080,0,3.9194015600000967,3.915237882999463,0.44821029499985343,0.003031256999975085,0.5261664,12681,10,10,0.8726779962499653
36,0.1905950840942264,,,,0.002125425497069955,0.026303226128220558,,1.327262043952942,6452080,20,6452080,6452080,0,3.9568080690000897,3.952691724000033,0.487990333000198,0.002962142000114909,0.5261664,12681,10,10,0.8726779962499653
37,0.18664554429273933,,,,0.002186375902965665,0.02703745849430561,,1.3269134759902954,6452080,20,6452080,6452080,0,3.6368474420000894,3.632811817999709,0.40823522599998796,0.0028448040000057517,0.5261664,12681,10,10,0.8726779962499653
38,0.16210884842276357,,,,0.0022183104883879423,0.027400624006986618,,1.3672804832458496,6452080,20,6452080,6452080,0,3.5997158400000444,3.595651781999777,0.41643266000005497,0.002936257999863301,0.5261664,12681,10,10,0.8726779962499653
39,0.1589895486747309,,,,0.002214394509792328,0.027316933497786522,,1.4712451696395874,6452080,20,6452080,6452080,0,3.7286175130000174,3.724393083999985,0.4223461869999028,0.0030137400001422066,0.5261664,12681,10,10,0.8726779962499653
40,0.18223826176500757,0.0917669908959658,0.959672131147541,0.906888720666162,0.0021503891330212355,0.026515746489167213,0.013888888888888888,1.4074242115020752,6452080,20,6452080,6452080,0,3.7071445569999923,3.7030430139998316,0.4038300489999074,0.002918841000109751,0.5261664,12681,10,10,0.8726779962499653
41,0.15482228421517216,,,,0.0021204932127147913,0.026119951158761978,,1.4199376106262207,6452080,20,6452080,6452080,0,3.851889058999859,3.847540597000034,0.44704512499993143,0.0031318540000029316,0.5261664,12681,10,10,0.8726779962499653
42,0.15621978750161086,,,,0.0021671096328645945,0.02666691318154335,,1.6074103116989136,6452080,20,6452080,6452080,0,3.587886841999989,3.583747350000067,0.4026037669998459,0.0029890240000440826,0.5261664,12681,10,10,0.8726779962499653
43,0.1732313156486325,,,,0.0021411392372101545,0.02632059156894684,,1.398914098739624,6452080,20,6452080,6452080,0,3.47379981600011,3.469728854000323,0.40032300400002896,0.002903396999954566,0.5261664,12681,10,10,0.8726779962499653
44,0.17459472060934128,,,,0.0022007611114531755,0.027040807530283928,,1.4402049779891968,6452080,20,6452080,6452080,0,3.664776343000085,3.6604468909999923,0.44475559299985434,0.0031368909999400785,0.5261664,12681,10,10,0.8726779962499653
45,0.1653768431328225,0.1031008066224801,0.9560655737704918,0.9010339734121122,0.0022083993535488844,0.027120212092995644,0.01902777777777778,1.437412142753601,6452080,20,6452080,6452080,0,3.564815569999837,3.5606259790001786,0.4020477100000335,0.0030266549999851122,0.5261664,12681,10,10,0.8726779962499653
46,0.1625634215738074,,,,0.002248584758490324,0.027584223076701164,,1.3704191446304321,6452080,20,6452080,6452080,0,3.721804906000216,3.717649260999906,0.4686355960000128,0.0029796950000218203,0.5261664,12681,10,10,0.8726779962499653
47,0.15077989410635945,,,,0.0022569806315004826,0.02764679677784443,,1.4728684425354004,6452080,20,6452080,6452080,0,3.6671007449999706,3.6632681180001327,0.40475463200004924,0.0027798039998288004,0.5261664,12681,10,10,0.8726779962499653
48,0.163178284364873,,,,0.0022321236319839954,0.027330132201313972,,1.4756897687911987,6452080,20,6452080,6452080,0,3.8335320090000096,3.829122514999881,0.49948610999990706,0.0031747470000027533,0.5261664,12681,10,10,0.8726779962499653
49,0.16307933382248882,,,,0.0023065023124217987,0.02821720391511917,,1.3718857765197754,6452080,20,6452080,6452080,0,3.758426843000052,3.7542781210001976,0.44748187899995173,0.002965658999983134,0.5261664,12681,10,10,0.8726779962499653
50,0.16024528098161572,0.12798317547854376,0.9422950819672131,0.875,0.0022993602324277163,0.028102073818445206,0.02625,1.522578239440918,6452080,20,6452080,6452080,0,3.7505499290000444,3.745636986000136,0.4418179980000332,0.0037036179999176966,0.5261664,12681,10,10,0.8726779962499653
