epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.9990898276749715,,,,0.0007701796712353826,0.009941576980054379,,1.2365716695785522,6452080,20,6452080,6452080,0,4.11340200099994,4.1086125620008715,0.5175072309998541,0.0035605699999905482,0.5261664,12434,10,10,0.8726779962499653
2,0.6237550018986117,,,,0.0009580706828273833,0.012317515909671783,,1.0748223066329956,6452080,20,6452080,6452080,0,3.8702769569999873,3.86614199899941,0.47794794199990065,0.003061648000311834,0.5261664,12434,10,10,0.8726779962499653
3,0.6005219698076201,,,,0.0010640457039698958,0.013682808727025986,,1.3581124544143677,6452080,20,6452080,6452080,0,3.8006783460000406,3.7961745970001175,0.48226457700002356,0.0032188550003411365,0.5261664,12434,10,10,0.8726779962499653
4,0.5024887411956152,,,,0.0011704075150191784,0.015018590725958347,,1.258608102798462,6452080,20,6452080,6452080,0,3.755253676999928,3.751242492000074,0.4651961019999362,0.0029505259999496047,0.5261664,12434,10,10,0.8726779962499653
5,0.4774719893946434,0.3283933917010331,0.8589626933575978,0.712430426716141,0.0012838788097724319,0.016444506123661995,0.07166666666666667,1.128072738647461,6452080,20,6452080,6452080,0,3.730779734999942,3.7264193849996445,0.46189569600028335,0.0031574849999742582,0.5261664,12434,10,10,0.8726779962499653
6,0.4106269927433159,,,,0.0014506848528981209,0.018527638167142868,,1.3045977354049683,6452080,20,6452080,6452080,0,4.377928808999968,4.3727427299995725,0.5212239110001065,0.0035560900000746187,0.5261664,12434,10,10,0.8726779962499653
7,0.40680309291798433,,,,0.001598327187821269,0.020364122465252876,,1.3139004707336426,6452080,20,6452080,6452080,0,4.213650529999995,4.209239289999914,0.5531276990000151,0.003238293000322301,0.5261664,12434,10,10,0.8726779962499653
8,0.3629441368346108,,,,0.0015782492700964212,0.020065372809767723,,1.3254755735397339,6452080,20,6452080,6452080,0,3.751958630000445,3.747657897000863,0.477519329000188,0.003159226000207127,0.5261664,12434,10,10,0.8726779962499653
9,0.3313369705135851,,,,0.0015426306053996086,0.019577641040086746,,1.2964491844177246,6452080,20,6452080,6452080,0,3.7533735059996616,3.7481427409998105,0.4604365659997711,0.003791852000176732,0.5261664,12434,10,10,0.8726779962499653
10,0.294812282877796,0.19150776097501235,0.9265999393387928,0.826647564469914,0.0015560322208330035,0.019718201830983162,0.02277777777777778,1.4317116737365723,6452080,20,6452080,6452080,0,3.8324315340000794,3.8278974010004276,0.4549087559998952,0.0033948820000659907,0.5261664,12434,10,10,0.8726779962499653
11,0.2746462700049561,,,,0.001606504898518324,0.020330050960183144,,1.3154066801071167,6452080,20,6452080,6452080,0,3.766009907999887,3.761748508000437,0.48196780200032663,0.0029869209997741564,0.5261664,12434,10,10,0.8726779962499653
12,0.26322450330390845,,,,0.0015718097565695643,0.019863000139594078,,1.4022102355957031,6452080,20,6452080,6452080,0,3.655306049000046,3.651331086000482,0.44843489599998065,0.0029123130002517428,0.5261664,12434,10,10,0.8726779962499653
13,0.3031775238025983,,,,0.0015362640842795372,0.01940637268126011,,1.3452783823013306,6452080,20,6452080,6452080,0,3.6416566719999537,3.6374380089991973,0.4595110149998618,0.0030865480002830736,0.5261664,12434,10,10,0.8726779962499653
14,0.2658523979972021,,,,0.0015934158582240343,0.020095834508538246,,1.2874469757080078,6452080,20,6452080,6452080,0,3.548161288999836,3.543931268999586,0.43191316299999016,0.003071501999784232,0.5261664,12434,10,10,0.8726779962499653
15,0.24132086727180893,0.1557149286504129,0.9344858962693358,0.8411764705882353,0.00160902738571167,0.02027639001607895,0.005694444444444445,1.3056787252426147,6452080,20,6452080,6452080,0,3.613231430000269,3.608671544999652,0.443547445999684,0.0033201420001205406,0.5261664,12434,10,10,0.8726779962499653
16,0.2536015813907586,,,,0.0016215905779972672,0.020417701452970505,,1.3033432960510254,6452080,20,6452080,6452080,0,3.7926350560001083,3.788233929999933,0.46597939899993435,0.0032330990002265025,0.5261664,12434,10,10,0.8726779962499653
17,0.2516023931158048,,,,0.0016275481320917606,0.02047327533364296,,1.3489711284637451,6452080,20,6452080,6452080,0,3.6456748400000833,3.6414703719997306,0.45072287899984076,0.0031621960001757543,0.5261664,12434,10,10,0.8726779962499653
18,0.21964391208829265,,,,0.0017213149694725871,0.021626973524689674,,1.38491952419281,6452080,20,6452080,6452080,0,3.8367398319996937,3.832273492999775,0.44997073300010015,0.003267024000251695,0.5261664,12434,10,10,0.8726779962499653
19,0.23170216658676163,,,,0.001711099874228239,0.02148272655904293,,1.416828989982605,6452080,20,6452080,6452080,0,3.777975555000012,3.773777255999903,0.4589212719997704,0.0030551029999514867,0.5261664,12434,10,10,0.8726779962499653
20,0.2216488533364216,0.1704412859563971,0.9344858962693358,0.8454935622317596,0.001746774767525494,0.021905818954110146,0.020972222222222222,1.4462562799453735,6452080,20,6452080,6452080,0,3.786554455999976,3.782414249998965,0.44206276499971864,0.002987544000006892,0.5261664,12434,10,10,0.8726779962499653
21,0.20022732320050265,,,,0.001778131234459579,0.02227242849767208,,1.3151050806045532,6452080,20,6452080,6452080,0,3.7862732600001436,3.7815839940012665,0.45091932100012855,0.003457717999935994,0.5261664,12434,10,10,0.8726779962499653
22,0.21682998513110735,,,,0.0017987958854064345,0.022513538599014282,,1.4762663841247559,6452080,20,6452080,6452080,0,3.842421476000254,3.8374058100002912,0.4745607549998567,0.003573919000245951,0.5261664,12434,10,10,0.8726779962499653
23,0.21824422173539165,,,,0.0017815018072724342,0.022287853062152863,,1.3812592029571533,6452080,20,6452080,6452080,0,3.886828678999791,3.882011803000296,0.4783237320002627,0.003569876000256045,0.5261664,12434,10,10,0.8726779962499653
24,0.1968680991869704,,,,0.0018035543616861105,0.022543897852301598,,1.4395875930786133,6452080,20,6452080,6452080,0,3.8021326719999706,3.7978572230008467,0.45142115999988164,0.0031087549996300368,0.5261664,12434,10,10,0.8726779962499653
25,0.20785913076505094,0.13487369515473038,0.9441916894146194,0.8658892128279884,0.0018054550746455789,0.02253890596330166,0.03027777777777778,1.4416509866714478,6452080,20,6452080,6452080,0,3.806982172000062,3.8024223450001955,0.44271789200001876,0.003273398000146699,0.5261664,12434,10,10,0.8726779962499653
26,0.2145590275739008,,,,0.001836305600591004,0.02291824482381344,,1.3641308546066284,6452080,20,6452080,6452080,0,3.718836660999841,3.7146937009988505,0.4296028510002543,0.003057589000036387,0.5261664,12434,10,10,0.8726779962499653
27,0.19493797354139097,,,,0.0018704109825193882,0.023318583145737648,,1.4515669345855713,6452080,20,6452080,6452080,0,3.5882528879997153,3.5837426690009124,0.45080848699990383,0.0033899850000125298,0.5261664,12434,10,10,0.8726779962499653
28,0.17294678266172597,,,,0.0018627394456416368,0.023194853216409683,,1.4445098638534546,6452080,20,6452080,6452080,0,3.72181388800027,3.7176555710002503,0.43794958300031794,0.003022075999979279,0.5261664,12434,10,10,0.8726779962499653
29,0.1927163999738259,,,,0.0018049725331366062,0.022457560524344444,,1.5467078685760498,6452080,20,6452080,6452080,0,3.6503300260001197,3.6461590210001305,0.42677342499973747,0.00304321700014043,0.5261664,12434,10,10,0.8726779962499653
30,0.17659745479056435,0.12044714963375751,0.9505611161662118,0.8784489187173751,0.0018113389378413558,0.022515051066875458,0.022083333333333333,1.3936073780059814,6452080,20,6452080,6452080,0,3.810201980000329,3.798416920999898,0.4750602459998845,0.003915386000244325,0.5261664,12434,10,10,0.8726779962499653
31,0.18162548337255532,,,,0.001838020863942802,0.022833120077848434,,1.4919270277023315,6452080,20,6452080,6452080,0,3.731432834000316,3.7273064989994964,0.456790632999855,0.002875597999718593,0.5261664,12434,10,10,0.8726779962499653
32,0.18938653300979857,,,,0.0018140211468562484,0.02251739613711834,,1.4913383722305298,6452080,20,6452080,6452080,0,3.6772039930001483,3.672945367000466,0.42902259399988907,0.003102097999999387,0.5261664,12434,10,10,0.8726779962499653
33,0.18379914825279028,,,,0.0018073349492624402,0.02242138981819153,,1.492192029953003,6452080,20,6452080,6452080,0,3.64324914000008,3.639026109999577,0.45015967199969964,0.0030831750000288594,0.5261664,12434,10,10,0.8726779962499653
34,0.18043896223991213,,,,0.0018035611137747765,0.022356802597641945,,1.518689513206482,6452080,20,6452080,6452080,0,3.6467131049998898,3.6422865509994153,0.43183020099968417,0.003214484000181983,0.5261664,12434,10,10,0.8726779962499653
35,0.16923274841786612,0.14630417260370507,0.9408553230209281,0.8579752367079388,0.0018648337572813034,0.023102905601263046,0.02666666666666667,1.464270830154419,6452080,20,6452080,6452080,0,3.6375718909998795,3.6333829179998247,0.44381976099975873,0.002793459999793413,0.5261664,12434,10,10,0.8726779962499653
36,0.16689528424946576,,,,0.0018498834688216448,0.02288062684237957,,1.4742083549499512,6452080,20,6452080,6452080,0,3.7422915050001393,3.737895910000134,0.45468974599998546,0.0032081590002235316,0.5261664,12434,10,10,0.8726779962499653
37,0.16855282825500711,,,,0.0018664587987586856,0.02308402769267559,,1.5589910745620728,6452080,20,6452080,6452080,0,4.0172145930000625,4.012295253000502,0.4996614490000866,0.0037003679999543237,0.5261664,12434,10,10,0.8726779962499653
38,0.15899385983091435,,,,0.0018648680998012424,0.0230339914560318,,1.4981869459152222,6452080,20,6452080,6452080,0,4.050620498000171,4.0461734770001385,0.5023081499998625,0.003280430000359047,0.5261664,12434,10,10,0.8726779962499653
39,0.204261347552975,,,,0.0018825740553438663,0.023244541138410568,,1.488921046257019,6452080,20,6452080,6452080,0,3.93494268700033,3.9305572220000613,0.4829791419997491,0.0031615440002497053,0.5261664,12434,10,10,0.8726779962499653
40,0.16871482643092034,0.1406285430455965,0.9447983014861996,0.8669590643274854,0.0019149086438119411,0.023610243573784828,0.03986111111111111,1.5271236896514893,6452080,20,6452080,6452080,0,4.015219874000195,4.01091352100002,0.47669687200004773,0.003119658999821695,0.5261664,12434,10,10,0.8726779962499653
41,0.16603380430316556,,,,0.0019209097372367978,0.023673418909311295,,1.630383849143982,6452080,20,6452080,6452080,0,3.884148333000212,3.879814773000817,0.4671148920001542,0.0031601200003024132,0.5261664,12434,10,10,0.8726779962499653
42,0.16647141216559325,,,,0.001916180015541613,0.0235917791724205,,1.5181207656860352,6452080,20,6452080,6452080,0,3.9740987129998757,3.9697470509995583,0.502884620000259,0.0031998459999158513,0.5261664,12434,10,10,0.8726779962499653
43,0.1688317473858267,,,,0.0019613883923739195,0.024133093655109406,,1.6367907524108887,6452080,20,6452080,6452080,0,4.0751429310003005,4.070566271000189,0.510317791000034,0.003316149000056612,0.5261664,12434,10,10,0.8726779962499653
44,0.15680728646463196,,,,0.001988782314583659,0.024457847699522972,,1.4126380681991577,6452080,20,6452080,6452080,0,3.8822140110000873,3.877797269999519,0.47942238399991766,0.0031872229997134127,0.5261664,12434,10,10,0.8726779962499653
45,0.1539537289943998,0.09195793459889921,0.9587503791325447,0.8964992389649924,0.00209159217774868,0.02568119578063488,0.03347222222222222,1.5230646133422852,6452080,20,6452080,6452080,0,3.8701992259998406,3.8657740390008257,0.45309424000015497,0.003264534000209096,0.5261664,12434,10,10,0.8726779962499653
46,0.16945310832400934,,,,0.0020250119268894196,0.024852221831679344,,1.6287699937820435,6452080,20,6452080,6452080,0,3.773819341000035,3.768857061001654,0.4404797250003867,0.003719079999882524,0.5261664,12434,10,10,0.8726779962499653
47,0.1635190100626769,,,,0.002031246665865183,0.024918602779507637,,1.4911494255065918,6452080,20,6452080,6452080,0,3.973565781999696,3.9691056189994924,0.48383483299994623,0.0032329919999938284,0.5261664,12434,10,10,0.8726779962499653
48,0.16010293015126828,,,,0.0020110812038183212,0.024640195071697235,,1.3918607234954834,6452080,20,6452080,6452080,0,4.094361559999925,4.0891433299998425,0.48175116900029025,0.003532049000114057,0.5261664,12434,10,10,0.8726779962499653
49,0.1608331196276364,,,,0.0020951293408870697,0.02566538192331791,,1.5253902673721313,6452080,20,6452080,6452080,0,3.9582374139999956,3.9539265290000003,0.47326869199969224,0.0031143410001277516,0.5261664,12434,10,10,0.8726779962499653
50,0.14814953819614432,0.1542120455940522,0.9417652411282984,0.8626609442060086,0.0020220645237714052,0.0247382503002882,0.021388888888888888,1.6440958976745605,6452080,20,6452080,6452080,0,3.9902620560001196,3.985903708000478,0.498173634000068,0.003198441000222374,0.5261664,12434,10,10,0.8726779962499653
