split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,968,61,0,248,0.9522317932654659,0.8025889967637541,1.0,0.8904847396768402,0.05928085519922255,0.9703595724003887,1277,248,0.5,0.9968220006896769,0.9867402260767504,0.033596366330172545,0.10827213553650816
train,fixed,1,834,40,10,238,0.9554367201426025,0.8561151079136691,0.9596774193548387,0.9049429657794676,0.04576659038901602,0.9569554144829113,1122,248,0.5,0.994639034472577,0.9833979820804157,0.032983292838503785,0.10423433423134339
train,fixed,2,855,19,5,243,0.9786096256684492,0.9274809160305344,0.9798387096774194,0.9529411764705882,0.021739130434782608,0.9790497896213184,1122,248,0.5,0.9985282719421275,0.995101350006443,0.014862039931787818,0.052993195097585676
train,fixed,3,1232,43,3,245,0.9697964543663822,0.8506944444444444,0.9879032258064516,0.914179104477612,0.03372549019607843,0.9770888678051866,1523,248,0.5,0.9987760910815939,0.9943376930575576,0.020133489830272227,0.06467886028111491
train,fixed,4,984,26,0,248,0.9793322734499205,0.9051094890510949,1.0,0.9501915708812261,0.02574257425742574,0.9871287128712871,1258,248,0.5,0.9992214947301181,0.9968185895771644,0.015050757207837115,0.05097027252579596
train,fixed,5,853,45,4,244,0.9572425828970331,0.8442906574394463,0.9838709677419355,0.9087523277467412,0.05011135857461024,0.9668798045836626,1146,248,0.5,0.9961114304188519,0.9868789264231801,0.03316523030627225,0.11650627024954494
train,fixed,6,950,54,1,247,0.9560702875399361,0.8205980066445183,0.9959677419354839,0.8998178506375227,0.053784860557768925,0.9710914406888576,1252,248,0.5,0.9980923081866084,0.9928614614228832,0.031146600496389728,0.09736679181848838
train,fixed,7,963,69,3,245,0.94375,0.7802547770700637,0.9879032258064516,0.8718861209964412,0.06686046511627906,0.9605213803450863,1280,248,0.5,0.9930295073768441,0.9713244097144428,0.04326253955209143,0.15544348512132689
train,fixed,8,969,12,5,243,0.9861676159479251,0.9529411764705882,0.9798387096774194,0.9662027833001988,0.012232415902140673,0.9838031468876394,1229,248,0.5,0.9989970734273783,0.9961402527016132,0.011920742579706971,0.04308586829318829
train,fixed,9,895,82,1,247,0.9322448979591836,0.7507598784194529,0.9959677419354839,0.8561525129982669,0.08393039918116683,0.9560186713771586,1225,248,0.5,0.9958150361541255,0.985595772388369,0.047585138219776314,0.14741044584316484
train,val_f1,0,1021,8,34,214,0.9671104150352389,0.963963963963964,0.8629032258064516,0.9106382978723404,0.007774538386783284,0.9275643437098342,1277,248,0.92,0.9968220006896769,0.9867402260767504,0.033596366330172545,0.10827213553650816
train,val_f1,1,863,11,28,220,0.9652406417112299,0.9523809523809523,0.8870967741935484,0.918580375782881,0.012585812356979404,0.9372554809182845,1122,248,0.92,0.994639034472577,0.9833979820804157,0.032983292838503785,0.10423433423134339
train,val_f1,2,874,0,37,211,0.9670231729055259,1.0,0.8508064516129032,0.9193899782135077,0.0,0.9254032258064516,1122,248,0.92,0.9985282719421275,0.995101350006443,0.014862039931787818,0.052993195097585676
train,val_f1,3,1272,3,24,224,0.9822718319107026,0.986784140969163,0.9032258064516129,0.9431578947368421,0.002352941176470588,0.9504364326375712,1523,248,0.92,0.9987760910815939,0.9943376930575576,0.020133489830272227,0.06467886028111491
