epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.9954882556385101,,,,0.0010815082350745797,0.013958546333014965,,1.220396637916565,6452080,20,6452080,6452080,0,3.9593485959994723,3.954531928999131,0.48972962199968606,0.003524503000335244,0.5261664,12690,10,10,0.8726779962499653
2,0.6357373316146258,,,,0.0013563934480771422,0.017439305782318115,,1.0490007400512695,6452080,20,6452080,6452080,0,3.8713956439996764,3.867118555998786,0.4699535330000799,0.0030716049996044603,0.5261664,12690,10,10,0.8726779962499653
3,0.6100666110868425,,,,0.001546891639009118,0.019891057163476944,,1.185617446899414,6452080,20,6452080,6452080,0,4.049378243000319,4.044954721999602,0.45262974300021597,0.003198194000106014,0.5261664,12690,10,10,0.8726779962499653
4,0.47388542918787113,,,,0.001799552934244275,0.023083103820681572,,1.1872315406799316,6452080,20,6452080,6452080,0,3.698629217999951,3.6946455139996033,0.46606935300042096,0.0028755800003636978,0.5261664,12690,10,10,0.8726779962499653
5,0.45998550869481347,0.1685300445004235,0.9358763564616902,0.8456057007125891,0.0019367021741345525,0.024799441918730736,0.042083333333333334,1.3885425329208374,6452080,20,6452080,6452080,0,3.851805450000029,3.8474139589989136,0.45555264500035264,0.0032342369995603804,0.5261664,12690,10,10,0.8726779962499653
6,0.40796752839782996,,,,0.0020037018693983555,0.02558569237589836,,1.3211987018585205,6452080,20,6452080,6452080,0,3.957554746999449,3.953347469003347,0.44288948600024014,0.003048458000193932,0.5261664,12690,10,10,0.8726779962499653
7,0.3589175414801589,,,,0.001980280503630638,0.025234775617718697,,1.1673405170440674,6452080,20,6452080,6452080,0,3.981203899999855,3.9769719990026715,0.44063881400052196,0.0031699310002295533,0.5261664,12690,10,10,0.8726779962499653
8,0.35349739661537777,,,,0.0019241153495386243,0.02447592467069626,,1.33250093460083,6452080,20,6452080,6452080,0,3.9045933509996757,3.9002891609998187,0.4650460379998549,0.0031416000001627253,0.5261664,12690,10,10,0.8726779962499653
9,0.2977058956459654,,,,0.0019192167092114687,0.02438046596944332,,1.2188016176223755,6452080,20,6452080,6452080,0,3.8448441569998977,3.839923156000623,0.4584503030000633,0.00347544500073127,0.5261664,12690,10,10,0.8726779962499653
10,0.2911076240044079,0.11343409175296142,0.9539625123314699,0.8931297709923665,0.0018252622103318572,0.023154709488153458,0.02236111111111111,1.300821304321289,6452080,20,6452080,6452080,0,3.969875943000261,3.965679321000607,0.4842892289998417,0.0030422009995163535,0.5261664,12690,10,10,0.8726779962499653
