epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.9825569975958093,,,,0.0007447773823514581,0.009603786282241344,,1.2868201732635498,6452080,20,6452080,6452080,0,3.916288008000265,3.9100253909991807,0.4636642440000287,0.004954984000505647,0.5261664,12628,10,10,0.8726779962499653
2,0.615120050729162,,,,0.0009988464880734682,0.01283158641308546,,0.9264316558837891,6452080,20,6452080,6452080,0,3.431697900000472,3.4274223439997513,0.38647634999961156,0.0030819350004094304,0.5261664,12628,10,10,0.8726779962499653
3,0.6023697013641687,,,,0.0011993632651865482,0.01540384441614151,,1.0753860473632812,6452080,20,6452080,6452080,0,3.2663883010000063,3.262411146998602,0.3644073629993727,0.0028153690000181086,0.5261664,12628,10,10,0.8726779962499653
4,0.4921623263845422,,,,0.0012700797524303198,0.01626310497522354,,1.1110661029815674,6452080,20,6452080,6452080,0,3.5978686210000888,3.5936822179992305,0.40902473099959025,0.0029591940001409966,0.5261664,12628,10,10,0.8726779962499653
5,0.4374852188797954,0.24029430842798546,0.8949403802771512,0.7846763540290621,0.001421215827576816,0.018141111359000206,0.01861111111111111,1.0787440538406372,6452080,20,6452080,6452080,0,3.616081048000524,3.6118108280015804,0.4376678560001892,0.0029962549997435417,0.5261664,12628,10,10,0.8726779962499653
6,0.40063013205673814,,,,0.001573203015141189,0.020016105845570564,,1.2013709545135498,6452080,20,6452080,6452080,0,3.9361722430003283,3.931728498000666,0.4410150200001226,0.0032175120004467317,0.5261664,12628,10,10,0.8726779962499653
7,0.36432885689472383,,,,0.0015964459162205458,0.020259950309991837,,1.2483794689178467,6452080,20,6452080,6452080,0,3.737968434999857,3.733716232000006,0.4252763510003206,0.003042826000637433,0.5261664,12628,10,10,0.8726779962499653
8,0.333242261027906,,,,0.0016366278287023306,0.02073601447045803,,1.2873990535736084,6452080,20,6452080,6452080,0,3.7830301379999582,3.778873339000711,0.46028231299987965,0.0029672959999516024,0.5261664,12628,10,10,0.8726779962499653
9,0.31132395764854903,,,,0.0016939585329964757,0.02143177203834057,,1.264047384262085,6452080,20,6452080,6452080,0,3.954158259999531,3.9499870039999223,0.46486305500002345,0.002971693000290543,0.5261664,12628,10,10,0.8726779962499653
10,0.3053280396464486,0.17235081232440047,0.9255559136319691,0.8385744234800838,0.001665217918343842,0.02103908732533455,0.035,1.1821832656860352,6452080,20,6452080,6452080,0,3.73528661400087,3.7291161400025885,0.44844537300014053,0.0031259329998647445,0.5261664,12628,10,10,0.8726779962499653
