split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,1071,39,1,247,0.9705449189985272,0.8636363636363636,0.9959677419354839,0.9250936329588015,0.03513513513513514,0.9804163034001744,1358,248,0.5,0.9986668119732636,0.9943607075461574,0.020706088038868756,0.06548226110232752
train,fixed,1,963,18,11,237,0.9764035801464606,0.9294117647058824,0.9556451612903226,0.9423459244532804,0.01834862385321101,0.9686482687185558,1229,248,0.5,0.9972707244089309,0.9898991706197009,0.017289501476785773,0.058825555517296166
train,fixed,2,997,23,3,245,0.9794952681388013,0.914179104477612,0.9879032258064516,0.9496124031007752,0.022549019607843137,0.9826771030993042,1268,248,0.5,0.996469797596458,0.9846391140321149,0.019067883565201945,0.07245147218164949
train,fixed,3,929,37,4,244,0.9662273476112027,0.8683274021352313,0.9838709677419355,0.9224952741020794,0.038302277432712216,0.9727843451546117,1214,248,0.5,0.997649936552461,0.9914449840564453,0.02350128145369514,0.07915330370225332
train,fixed,4,921,35,1,247,0.9700996677740864,0.875886524822695,0.9959677419354839,0.9320754716981132,0.036610878661087864,0.979678431637198,1204,248,0.5,0.9979332568497773,0.992306553774171,0.025316574615903472,0.08340329691678115
train,fixed,5,1081,55,0,248,0.9602601156069365,0.8184818481848185,1.0,0.9001814882032668,0.04841549295774648,0.9757922535211268,1384,248,0.5,0.9990345297592004,0.9956996886596274,0.02496950158329748,0.07959375305418027
train,fixed,6,811,31,4,244,0.9678899082568807,0.8872727272727273,0.9838709677419355,0.9330783938814532,0.03681710213776722,0.9735269328020841,1090,248,0.5,0.9979168262968355,0.9932944181522949,0.021011726462854402,0.0695987036154333
train,fixed,7,1118,56,0,248,0.960618846694796,0.8157894736842105,1.0,0.8985507246376812,0.04770017035775128,0.9761499148211243,1422,248,0.5,0.9990932571302963,0.9958087350740843,0.025568480229469472,0.08281702908930838
train,fixed,8,1025,26,6,242,0.9753656658968437,0.9029850746268657,0.9758064516129032,0.937984496124031,0.024738344433872503,0.9755340535895154,1299,248,0.5,0.9978169792210184,0.9914352210446857,0.019490816368135367,0.06903443422739286
train,fixed,9,881,31,4,244,0.9698275862068966,0.8872727272727273,0.9838709677419355,0.9330783938814532,0.03399122807017544,0.97493986983588,1160,248,0.5,0.9987354980192417,0.9957047260614256,0.01932403172018827,0.06633334726325198
