epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,1.0584066676549349,,,,0.0008502072305418551,0.01095946878194809,,1.4957289695739746,6452080,20,6452080,6452080,0,4.211737448000349,4.207134655999653,0.5535075420002613,0.003441441000177292,0.5261664,12569,10,10,0.8726779962499653
2,0.6930654135247702,,,,0.00124367605894804,0.01595577411353588,,1.2021653652191162,6452080,20,6452080,6452080,0,3.939952849999827,3.9349512139997387,0.4949628419999499,0.003522340999552398,0.5261664,12569,10,10,0.8726779962499653
3,0.6700599516836383,,,,0.0013244227739050984,0.01699703000485897,,1.1141787767410278,6452080,20,6452080,6452080,0,4.099609500000042,4.095132707999255,0.5082364010004312,0.0032926640005825902,0.5261664,12569,10,10,0.8726779962499653
4,0.47436628008715476,,,,0.001532502006739378,0.019621387124061584,,1.3126620054244995,6452080,20,6452080,6452080,0,3.8590645479998784,3.8549463950002973,0.46562036399973294,0.0030177320004440844,0.5261664,12569,10,10,0.8726779962499653
5,0.4598720736954315,0.23995828467026029,0.8994307400379506,0.7718794835007173,0.001704231952317059,0.021785927936434746,0.05513888888888889,1.383192539215088,6452080,20,6452080,6452080,0,3.735354236000603,3.7309285890014507,0.4681495750000977,0.0030800260001342394,0.5261664,12569,10,10,0.8726779962499653
6,0.41753575228587936,,,,0.0017821519868448377,0.022723812609910965,,1.3010343313217163,6452080,20,6452080,6452080,0,3.5993510340003922,3.595020156000828,0.44791499899929477,0.003196842000761535,0.5261664,12569,10,10,0.8726779962499653
7,0.3650896580458075,,,,0.0019337813137099147,0.0245966874063015,,1.308847427368164,6452080,20,6452080,6452080,0,4.06774550999944,4.063299557000391,0.5217300780004734,0.003270349000558781,0.5261664,12569,10,10,0.8726779962499653
8,0.32601430600544906,,,,0.0019527977565303445,0.024790294468402863,,1.3956503868103027,6452080,20,6452080,6452080,0,4.041357706000781,4.0369068799982415,0.5364551760003451,0.003253136999774142,0.5261664,12569,10,10,0.8726779962499653
9,0.2962761272009772,,,,0.0019012714037671685,0.024103641510009766,,1.3971388339996338,6452080,20,6452080,6452080,0,3.8072616800000105,3.8029568269994343,0.45649115499963955,0.003172414000800927,0.5261664,12569,10,10,0.8726779962499653
10,0.3014940518595936,0.1623311781355203,0.92662871600253,0.8306569343065694,0.001889572013169527,0.023923205211758614,0.05319444444444445,1.4096970558166504,6452080,20,6452080,6452080,0,3.8883814090004307,3.8840329309996378,0.49001623500043934,0.0031906759995763423,0.5261664,12569,10,10,0.8726779962499653
11,0.3027179674303456,,,,0.0018439502455294132,0.023334134370088577,,1.2977782487869263,6452080,20,6452080,6452080,0,4.0701104889994895,4.065083972996945,0.4921692019997863,0.003743695000594016,0.5261664,12569,10,10,0.8726779962499653
12,0.25886972967903804,,,,0.0018319850787520409,0.023145634680986404,,1.3639986515045166,6452080,20,6452080,6452080,0,4.133282746999612,4.12859751799806,0.5144182269996236,0.0033861920001072576,0.5261664,12569,10,10,0.8726779962499653
13,0.25462714848259943,,,,0.001845757127739489,0.02330368384718895,,1.446638584136963,6452080,20,6452080,6452080,0,3.864353933999155,3.8599030619971018,0.4938254499993491,0.0031641379991924623,0.5261664,12569,10,10,0.8726779962499653
14,0.2643315565730169,,,,0.0018374277278780937,0.02317630499601364,,1.297805905342102,6452080,20,6452080,6452080,0,3.9091162770000665,3.9047555799988913,0.49572931900002004,0.003178072000082466,0.5261664,12569,10,10,0.8726779962499653
15,0.26132881006566067,0.11626878684596807,0.9554079696394687,0.8890637293469709,0.0018716935301199555,0.023586351424455643,0.02236111111111111,1.3574930429458618,6452080,20,6452080,6452080,0,3.960099125000852,3.955677979001848,0.5025578490003682,0.00317980099862325,0.5261664,12569,10,10,0.8726779962499653
16,0.22612531885170278,,,,0.001849732710979879,0.02328760363161564,,1.389033317565918,6452080,20,6452080,6452080,0,4.18474525000056,4.180235726998944,0.5667917240007228,0.003186136000294937,0.5261664,12569,10,10,0.8726779962499653
17,0.25209412150970134,,,,0.001869599218480289,0.023516427725553513,,1.2986255884170532,6452080,20,6452080,6452080,0,4.062785773001451,4.0584100389987725,0.5108394409999164,0.0032014290009101387,0.5261664,12569,10,10,0.8726779962499653
18,0.2231742425466011,,,,0.0018346643773838878,0.023058902472257614,,1.450980544090271,6452080,20,6452080,6452080,0,3.964566257000115,3.9599009420016955,0.4986316459999216,0.0035282089993415866,0.5261664,12569,10,10,0.8726779962499653
19,0.22867415020556722,,,,0.0019178680377081037,0.02408105507493019,,1.4553874731063843,6452080,20,6452080,6452080,0,4.042355389001386,4.038010098003724,0.6048830719992111,0.003200649000064004,0.5261664,12569,10,10,0.8726779962499653
20,0.22174928859636006,0.11289954740504725,0.9550917141049968,0.8916030534351145,0.0019558954518288374,0.024540070444345474,0.01611111111111111,1.416600227355957,6452080,20,6452080,6452080,0,3.8663927620000322,3.86203678000129,0.49122625299969513,0.003162028999213362,0.5261664,12569,10,10,0.8726779962499653
21,0.20281399452356555,,,,0.0019604626577347517,0.024569926783442497,,1.3491414785385132,6452080,20,6452080,6452080,0,4.093653619998804,4.089206761000241,0.5196991119992163,0.0032264539986499585,0.5261664,12569,10,10,0.8726779962499653
22,0.23487960862115448,,,,0.0019721193239092827,0.024712035432457924,,1.3333461284637451,6452080,20,6452080,6452080,0,4.085337926999273,4.080943336002747,0.48970582299989474,0.003164141000524978,0.5261664,12569,10,10,0.8726779962499653
23,0.21253647459595518,,,,0.002033485798165202,0.025443049147725105,,1.3926453590393066,6452080,20,6452080,6452080,0,3.8940006160009943,3.889667682995423,0.46875328499845637,0.0030901549998816336,0.5261664,12569,10,10,0.8726779962499653
