split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,642,0,17,231,0.9808988764044944,1.0,0.9314516129032258,0.964509394572025,0.0,0.9657258064516129,890,248,0.5,0.9997738920711486,0.9994262427801701,0.012759077008516148,0.04259650858902512
train,fixed,1,1456,2,24,224,0.984759671746776,0.9911504424778761,0.9032258064516129,0.9451476793248945,0.0013717421124828531,0.9509270321695651,1706,248,0.5,0.9994966591442099,0.9971373972126161,0.009121081067318307,0.0301343700272715
train,fixed,2,508,6,5,243,0.9855643044619422,0.9759036144578314,0.9798387096774194,0.9778672032193159,0.011673151750972763,0.9840827789632234,762,248,0.5,0.9994273252165182,0.9988426573941509,0.010136355311811061,0.04139755781302535
train,fixed,3,1843,0,9,239,0.9956958393113343,1.0,0.9637096774193549,0.9815195071868583,0.0,0.9818548387096775,2091,248,0.5,0.9999168606584636,0.9994014071783415,0.003651604731501772,0.01383074296881769
train,fixed,4,1185,12,1,247,0.9910034602076124,0.9536679536679536,0.9959677419354839,0.9743589743589743,0.010025062656641603,0.9929713396394211,1445,248,0.5,0.9998281995310858,0.9991945225998222,0.006397675938004326,0.023849173309847052
train,fixed,5,961,1,4,244,0.9958677685950413,0.9959183673469387,0.9838709677419355,0.9898580121703854,0.0010395010395010396,0.9914157333512172,1210,248,0.5,0.9998239554691167,0.9993372519824889,0.004749817943375496,0.018373322988034457
train,fixed,6,884,35,0,248,0.9700085689802913,0.8763250883392226,1.0,0.9340866290018832,0.03808487486398259,0.9809575625680087,1167,248,0.5,0.9998464319561936,0.9994455984733823,0.0194463074999016,0.06291483341797352
train,fixed,7,1045,8,2,246,0.9923136049192929,0.968503937007874,0.9919354838709677,0.9800796812749004,0.007597340930674264,0.9921690714701468,1301,248,0.5,0.9997625830959164,0.9989913160983508,0.007106613539278814,0.030322219730352217
train,fixed,8,737,24,3,245,0.9732408325074331,0.9107806691449815,0.9879032258064516,0.9477756286266924,0.03153745072273324,0.9781828875418592,1009,248,0.5,0.9986170573523802,0.9960331756924291,0.01887782760015644,0.06450046670346435
train,fixed,9,828,24,3,245,0.9754545454545455,0.9107806691449815,0.9879032258064516,0.9477756286266924,0.028169014084507043,0.9798671058609723,1100,248,0.5,0.9989777373920945,0.9967442722171018,0.01569096317931782,0.051155558960109204
train,val_f1,0,642,0,24,224,0.9730337078651685,1.0,0.9032258064516129,0.9491525423728814,0.0,0.9516129032258065,890,248,0.59,0.9997738920711486,0.9994262427801701,0.012759077008516148,0.04259650858902512
train,val_f1,1,1457,1,27,221,0.9835873388042204,0.9954954954954955,0.8911290322580645,0.9404255319148936,0.0006858710562414266,0.9452215806009115,1706,248,0.59,0.9994966591442099,0.9971373972126161,0.009121081067318307,0.0301343700272715
train,val_f1,2,510,4,8,240,0.984251968503937,0.9836065573770492,0.967741935483871,0.975609756097561,0.007782101167315175,0.9799799171582779,762,248,0.59,0.9994273252165182,0.9988426573941509,0.010136355311811061,0.04139755781302535
train,val_f1,3,1843,0,14,234,0.9933046389287422,1.0,0.9435483870967742,0.970954356846473,0.0,0.9717741935483871,2091,248,0.59,0.9999168606584636,0.9994014071783415,0.003651604731501772,0.01383074296881769
train,val_f1,4,1188,9,3,245,0.9916955017301038,0.9645669291338582,0.9879032258064516,0.9760956175298805,0.007518796992481203,0.9901922144069852,1445,248,0.59,0.9998281995310858,0.9991945225998222,0.006397675938004326,0.023849173309847052
train,val_f1,5,961,1,7,241,0.9933884297520661,0.9958677685950413,0.9717741935483871,0.9836734693877551,0.0010395010395010396,0.985367346254443,1210,248,0.59,0.9998239554691167,0.9993372519824889,0.004749817943375496,0.018373322988034457
train,val_f1,6,892,27,0,248,0.9768637532133676,0.9018181818181819,1.0,0.9483747609942639,0.029379760609358,0.985310119695321,1167,248,0.59,0.9998464319561936,0.9994455984733823,0.0194463074999016,0.06291483341797352
train,val_f1,7,1048,5,3,245,0.9938508839354343,0.98,0.9879032258064516,0.9839357429718876,0.004748338081671415,0.9915774438623901,1301,248,0.59,0.9997625830959164,0.9989913160983508,0.007106613539278814,0.030322219730352217
train,val_f1,8,743,18,4,244,0.9781962338949455,0.9312977099236641,0.9838709677419355,0.9568627450980393,0.023653088042049936,0.9801089398499427,1009,248,0.59,0.9986170573523802,0.9960331756924291,0.01887782760015644,0.06450046670346435
