epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5534364554729443,,,,0.0009832829236984253,0.012691225856542587,,0.0,0,0,0,0,0,4.215828993999992,4.2133319020000215,0.48425821000000724,0.0011149930000158292,0.0,12681,0,10,1.0
2,0.45302978474996686,,,,0.0020176908001303673,0.02599637396633625,,0.0,0,0,0,0,0,4.122488234000002,4.120288421000026,0.4684352840000088,0.0010384219999934885,0.0,12681,0,10,1.0
3,0.3151068498107615,,,,0.0026114489883184433,0.03353872150182724,,0.0,0,0,0,0,0,3.9385997979999843,3.936282635999987,0.47470279300000584,0.0010251299999879393,0.0,12681,0,10,1.0
4,0.28982914995242826,,,,0.003120802342891693,0.04007762670516968,,0.0,0,0,0,0,0,4.1505140280000035,4.1482905069999845,0.5047472839999898,0.0009790780000002997,0.0,12681,0,10,1.0
5,0.25927059994539403,0.21388085337662127,0.9377049180327869,0.8350694444444444,0.003585960017517209,0.045985739678144455,0.07041666666666667,0.0,0,0,0,0,0,4.205104812999991,4.20302051500002,0.5097172600000022,0.0009404890000155319,0.0,12681,0,10,1.0
6,0.23377229799984156,,,,0.0041677081026136875,0.053355872631073,,0.0,0,0,0,0,0,4.15964145800001,4.157810133999988,0.5069761519999929,0.0008215639999775703,0.0,12681,0,10,1.0
7,0.21293051443107616,,,,0.0048055038787424564,0.061410605907440186,,0.0,0,0,0,0,0,4.226184687999989,4.223964434999999,0.499080929999991,0.0009939910000014152,0.0,12681,0,10,1.0
8,0.20288734634548114,,,,0.005210316739976406,0.06646909564733505,,0.0,0,0,0,0,0,4.091876687000024,4.089611642999984,0.4727812189999838,0.0010119000000088363,0.0,12681,0,10,1.0
9,0.18069317464183143,,,,0.005709240213036537,0.07270365953445435,,0.0,0,0,0,0,0,4.050405825000013,4.048275491999959,0.5892368089999991,0.0009297729999957483,0.0,12681,0,10,1.0
10,0.17372312054763567,0.15963302161580106,0.9363934426229508,0.829225352112676,0.0060569047927856445,0.07703308761119843,0.06652777777777778,0.0,0,0,0,0,0,4.211123851999986,4.209029580999953,0.5186915649999833,0.0009159930000066652,0.0,12681,0,10,1.0
11,0.16044524637228902,,,,0.006450391840189695,0.081934854388237,,0.0,0,0,0,0,0,4.19887424700002,4.196542466999944,0.5131884500000012,0.0009677729999850726,0.0,12681,0,10,1.0
12,0.1465281681170373,,,,0.006796096917241812,0.08619236201047897,,0.0,0,0,0,0,0,4.216920968999972,4.214803832000001,0.57159365199999,0.0009036870000045383,0.0,12681,0,10,1.0
13,0.14729002066114233,,,,0.0071528395637869835,0.09061089903116226,,0.0,0,0,0,0,0,4.328503527000009,4.326152953000076,0.5371067599999719,0.0009383119999597511,0.0,12681,0,10,1.0
14,0.1308057150555509,,,,0.007567103020846844,0.09571366012096405,,0.0,0,0,0,0,0,4.178576811000028,4.176223069999878,0.4764761499999963,0.0009473019999859389,0.0,12681,0,10,1.0
15,0.12926529805129444,0.13441334383038275,0.9485245901639344,0.8635968722849696,0.007935796864330769,0.10027080774307251,0.050416666666666665,0.0,0,0,0,0,0,4.136390060999986,4.134413553000002,0.47621859800000266,0.0008512760000485287,0.0,12681,0,10,1.0
16,0.13692118262256386,,,,0.008241197094321251,0.10406647622585297,,0.0,0,0,0,0,0,4.065426607000006,4.063235048000024,0.4827270210000165,0.0009355429999686748,0.0,12681,0,10,1.0
17,0.12389512596088674,,,,0.008531714789569378,0.10765829682350159,,0.0,0,0,0,0,0,4.0747761690000175,4.072661129000039,0.49177659100001847,0.0009311869999919509,0.0,12681,0,10,1.0
18,0.12236145816481707,,,,0.008910545147955418,0.11230481415987015,,0.0,0,0,0,0,0,4.161983696999982,4.159417699000073,0.5135519190000082,0.0010373110000045926,0.0,12681,0,10,1.0
19,0.1203155764802801,,,,0.009253788739442825,0.11652902513742447,,0.0,0,0,0,0,0,4.135919170000022,4.13398572899996,0.4877509780000082,0.0008880190000013499,0.0,12681,0,10,1.0
20,0.11825725817270002,0.10151108199197915,0.9583606557377049,0.8930075821398483,0.009661121293902397,0.12158282101154327,0.05347222222222222,0.0,0,0,0,0,0,3.9346503950000056,3.9324274809999906,0.4704126220000262,0.0009614919999876292,0.0,12681,0,10,1.0
21,0.12172789221192162,,,,0.00999736413359642,0.12576361000537872,,0.0,0,0,0,0,0,4.223475069000017,4.221076023999899,0.508754544999988,0.0009843530000352985,0.0,12681,0,10,1.0
22,0.10568150651294612,,,,0.01041686162352562,0.130872443318367,,0.0,0,0,0,0,0,4.0978570789999935,4.095695510000098,0.4862805960000287,0.0009534920000078273,0.0,12681,0,10,1.0
23,0.10180480814244489,,,,0.010746828280389309,0.13491290807724,,0.0,0,0,0,0,0,4.032033781999985,4.0299028320001185,0.4777255289999971,0.0009138550000216128,0.0,12681,0,10,1.0
24,0.10129556629211649,,,,0.011040645651519299,0.13852165639400482,,0.0,0,0,0,0,0,4.110241107000036,4.1080726159999585,0.5149424539999927,0.0009268969999993715,0.0,12681,0,10,1.0
25,0.10604758606307589,0.11152448471834299,0.9521311475409836,0.8799342105263158,0.01138144452124834,0.14268432557582855,0.07361111111111111,0.0,0,0,0,0,0,4.1236527019999585,4.12148918999992,0.4917552740000133,0.0009919999999965512,0.0,12681,0,10,1.0
26,0.10291714081399776,,,,0.011690721847116947,0.14643098413944244,,0.0,0,0,0,0,0,4.196695732999956,4.1944993490000115,0.5174852199999691,0.0009847530000115512,0.0,12681,0,10,1.0
27,0.0979282819720854,,,,0.011961426585912704,0.14976660907268524,,0.0,0,0,0,0,0,4.366745499999979,4.364431109000009,0.5472208609999711,0.0009519200000340788,0.0,12681,0,10,1.0
28,0.09307210337602563,,,,0.012394086457788944,0.15501192212104797,,0.0,0,0,0,0,0,4.181287539000039,4.17028709899995,0.4956734840000081,0.0009722850000457584,0.0,12681,0,10,1.0
29,0.09426634311311063,,,,0.0126881655305624,0.15860244631767273,,0.0,0,0,0,0,0,4.318044214999986,4.316075638000029,0.517206079999994,0.0008838250000167136,0.0,12681,0,10,1.0
30,0.09218034696309178,0.15382626276331565,0.939016393442623,0.8562596599690881,0.012993482872843742,0.16234822571277618,0.06930555555555555,0.0,0,0,0,0,0,3.999350348000007,3.9972352099999284,0.47284346200001437,0.0009512180000115222,0.0,12681,0,10,1.0
31,0.0926218124816726,,,,0.013294080272316933,0.1659795343875885,,0.0,0,0,0,0,0,3.939167944000019,3.9370513349999783,0.4970135170000276,0.0008439439999960996,0.0,12681,0,10,1.0
32,0.08164089777284857,,,,0.013574288226664066,0.1693715900182724,,0.0,0,0,0,0,0,3.9639909470000134,3.961913387999914,0.46830733499996313,0.00088945700002796,0.0,12681,0,10,1.0
33,0.08658934601352072,,,,0.013848783448338509,0.1726376861333847,,0.0,0,0,0,0,0,3.9519674389999864,3.9498546840000586,0.48064682900002254,0.0009112200000345183,0.0,12681,0,10,1.0
34,0.08046794162783852,,,,0.014178242534399033,0.17660200595855713,,0.0,0,0,0,0,0,4.103415949999999,4.101347242999964,0.5022494659999666,0.0009216999999921427,0.0,12681,0,10,1.0
35,0.08336322585643989,0.13585283672009865,0.9449180327868852,0.8701700154559505,0.014512013643980026,0.18061138689517975,0.05430555555555556,0.0,0,0,0,0,0,4.098128980999945,4.095782126999893,0.48475431800000024,0.0010079959999984567,0.0,12681,0,10,1.0
36,0.07956534814311084,,,,0.014775065705180168,0.1837688833475113,,0.0,0,0,0,0,0,3.973995386000013,3.9719032579999407,0.4873389310000107,0.0008888680000040949,0.0,12681,0,10,1.0
37,0.07510614491781437,,,,0.015126748010516167,0.18797814846038818,,0.0,0,0,0,0,0,4.106058921999988,4.103893193999852,0.4918394509999757,0.0009181779999494211,0.0,12681,0,10,1.0
38,0.07776296252050478,,,,0.015378601849079132,0.19105741381645203,,0.0,0,0,0,0,0,4.002025467999999,3.999940343999981,0.46755808000000343,0.0009474710000176856,0.0,12681,0,10,1.0
39,0.07563036964646783,,,,0.015665175393223763,0.1944926232099533,,0.0,0,0,0,0,0,3.991403015000003,3.98938049700007,0.4703402810000057,0.0008811539999555862,0.0,12681,0,10,1.0
40,0.07286457876931005,0.10872178073064692,0.9514754098360656,0.880064829821718,0.015887629240751266,0.1972300112247467,0.06416666666666666,0.0,0,0,0,0,0,4.040044088000002,4.0379243670000164,0.507894814999986,0.0008941090000007534,0.0,12681,0,10,1.0
