split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,874,9,3,245,0.9893899204244032,0.9645669291338582,0.9879032258064516,0.9760956175298805,0.010192525481313703,0.988855350162569,1131,248,0.5,0.9993880831476273,0.9978811843247246,0.009978653409306384,0.039455161019944514
train,fixed,1,1160,0,36,212,0.9744318181818182,1.0,0.8548387096774194,0.9217391304347826,0.0,0.9274193548387097,1408,248,0.5,0.999454254727475,0.9975796028229393,0.020800563962923416,0.07526336772620575
train,fixed,2,1087,2,9,239,0.9917726252804787,0.991701244813278,0.9637096774193549,0.9775051124744376,0.0018365472910927456,0.9809365650641311,1337,248,0.5,0.9996297283687313,0.9984825208616344,0.007435072856511216,0.03160957098406796
train,fixed,3,993,6,2,246,0.9935846030473136,0.9761904761904762,0.9919354838709677,0.984,0.006006006006006006,0.9929647389324809,1247,248,0.5,0.9996932416287255,0.9987911927507609,0.007428793392490165,0.03088866762292419
train,fixed,4,922,11,8,240,0.9839119390347163,0.9561752988047809,0.967741935483871,0.9619238476953907,0.011789924973204717,0.9779760052553331,1181,248,0.5,0.9990405559589255,0.9964779906804075,0.010979962506051604,0.040025157810508985
train,fixed,5,816,19,0,248,0.9824561403508771,0.9288389513108615,1.0,0.9631067961165048,0.022754491017964073,0.988622754491018,1083,248,0.5,0.9996764535445238,0.9989295786325663,0.012069609780087058,0.04276213570352293
train,fixed,6,935,8,4,244,0.9899244332493703,0.9682539682539683,0.9838709677419355,0.976,0.008483563096500531,0.9876937023227175,1191,248,0.5,0.9995339171484281,0.9983156608576006,0.007399774614282666,0.026456626146104993
train,fixed,7,945,6,3,245,0.9924937447873228,0.9760956175298805,0.9879032258064516,0.9819639278557114,0.006309148264984227,0.9907970387707337,1199,248,0.5,0.9996989586513347,0.998910628983293,0.006707889513431508,0.027777652657868277
train,fixed,8,1127,10,10,238,0.9855595667870036,0.9596774193548387,0.9596774193548387,0.9596774193548387,0.008795074758135445,0.9754411722983516,1385,248,0.5,0.9989325332652425,0.9952990723260308,0.0110599654579066,0.04005357962450872
train,fixed,9,1255,16,2,246,0.9881500987491771,0.9389312977099237,0.9919354838709677,0.9647058823529412,0.012588512981904013,0.9896734854445319,1519,248,0.5,0.9996224715108755,0.998260775831576,0.008895094543626041,0.0315443223583042
train,val_f1,0,874,9,3,245,0.9893899204244032,0.9645669291338582,0.9879032258064516,0.9760956175298805,0.010192525481313703,0.988855350162569,1131,248,0.5,0.9993880831476273,0.9978811843247246,0.009978653409306384,0.039455161019944514
train,val_f1,1,1160,0,36,212,0.9744318181818182,1.0,0.8548387096774194,0.9217391304347826,0.0,0.9274193548387097,1408,248,0.5,0.999454254727475,0.9975796028229393,0.020800563962923416,0.07526336772620575
train,val_f1,2,1087,2,9,239,0.9917726252804787,0.991701244813278,0.9637096774193549,0.9775051124744376,0.0018365472910927456,0.9809365650641311,1337,248,0.5,0.9996297283687313,0.9984825208616344,0.007435072856511216,0.03160957098406796
train,val_f1,3,993,6,2,246,0.9935846030473136,0.9761904761904762,0.9919354838709677,0.984,0.006006006006006006,0.9929647389324809,1247,248,0.5,0.9996932416287255,0.9987911927507609,0.007428793392490165,0.03088866762292419
train,val_f1,4,922,11,8,240,0.9839119390347163,0.9561752988047809,0.967741935483871,0.9619238476953907,0.011789924973204717,0.9779760052553331,1181,248,0.5,0.9990405559589255,0.9964779906804075,0.010979962506051604,0.040025157810508985
train,val_f1,5,816,19,0,248,0.9824561403508771,0.9288389513108615,1.0,0.9631067961165048,0.022754491017964073,0.988622754491018,1083,248,0.5,0.9996764535445238,0.9989295786325663,0.012069609780087058,0.04276213570352293
train,val_f1,6,935,8,4,244,0.9899244332493703,0.9682539682539683,0.9838709677419355,0.976,0.008483563096500531,0.9876937023227175,1191,248,0.5,0.9995339171484281,0.9983156608576006,0.007399774614282666,0.026456626146104993
train,val_f1,7,945,6,3,245,0.9924937447873228,0.9760956175298805,0.9879032258064516,0.9819639278557114,0.006309148264984227,0.9907970387707337,1199,248,0.5,0.9996989586513347,0.998910628983293,0.006707889513431508,0.027777652657868277
train,val_f1,8,1127,10,10,238,0.9855595667870036,0.9596774193548387,0.9596774193548387,0.9596774193548387,0.008795074758135445,0.9754411722983516,1385,248,0.5,0.9989325332652425,0.9952990723260308,0.0110599654579066,0.04005357962450872
train,val_f1,9,1255,16,2,246,0.9881500987491771,0.9389312977099237,0.9919354838709677,0.9647058823529412,0.012588512981904013,0.9896734854445319,1519,248,0.5,0.9996224715108755,0.998260775831576,0.008895094543626041,0.0315443223583042
