epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5283887964233841,,,,0.0009317595395259559,0.012030853889882565,,0.0,0,0,0,0,0,4.156000266999854,4.153699070999664,0.47759409000013875,0.0009803209998153761,0.0,12434,0,10,1.0
2,0.4128609869706798,,,,0.0017298490274697542,0.022279618307948112,,0.0,0,0,0,0,0,3.8670939630001158,3.8647826420005913,0.4788415180000811,0.001051941000014267,0.0,12434,0,10,1.0
3,0.2723684944961885,,,,0.002358483150601387,0.030304163694381714,,0.0,0,0,0,0,0,4.147499248000031,4.145449505999522,0.5258115950000501,0.0008755520000249817,0.0,12434,0,10,1.0
4,0.2745919764194167,,,,0.0028757741674780846,0.03693979233503342,,0.0,0,0,0,0,0,3.8949291049998465,3.892760321999731,0.483038482999973,0.0009832450000430981,0.0,12434,0,10,1.0
5,0.2322927883763592,0.27321115548636177,0.8835304822565969,0.7032457496136012,0.003423317102715373,0.04389264062047005,0.07125,0.0,0,0,0,0,0,3.9421018269999877,3.940114104000031,0.4737765920001493,0.0008765919999405014,0.0,12434,0,10,1.0
6,0.21325206286646572,,,,0.004095995333045721,0.05243327096104622,,0.0,0,0,0,0,0,4.014469303999931,4.012429129000566,0.5055453639999996,0.0009428999999272492,0.0,12434,0,10,1.0
7,0.18874998671316556,,,,0.0046586403623223305,0.059495121240615845,,0.0,0,0,0,0,0,3.764647105999984,3.762738091000301,0.4439228629998979,0.0008646969999972498,0.0,12434,0,10,1.0
8,0.19398406822555417,,,,0.005116310436278582,0.06523855775594711,,0.0,0,0,0,0,0,3.9716620169999715,3.969709698000088,0.46611316600001373,0.0008664950000820681,0.0,12434,0,10,1.0
9,0.1654593885988889,,,,0.00561384204775095,0.07143568992614746,,0.0,0,0,0,0,0,3.8222180780001054,3.8201472070002183,0.4628805810000358,0.0009185900000829861,0.0,12434,0,10,1.0
10,0.15240427597825118,0.20462866336065874,0.9265999393387928,0.8132716049382716,0.006060840096324682,0.07699836790561676,0.07888888888888888,0.0,0,0,0,0,0,3.7190162760000476,3.716951497000082,0.4754064670000844,0.0009184640000512445,0.0,12434,0,10,1.0
11,0.14832772853492962,,,,0.0064810276962816715,0.08223553001880646,,0.0,0,0,0,0,0,4.02110191099996,4.018712102000563,0.4912429319999774,0.0009941680000338238,0.0,12434,0,10,1.0
12,0.14727628527222617,,,,0.006789811421185732,0.08603592962026596,,0.0,0,0,0,0,0,3.9553248599997914,3.952929590999929,0.4831079549999231,0.0010638139999628038,0.0,12434,0,10,1.0
13,0.1277965878054915,,,,0.0071554589085280895,0.09056518226861954,,0.0,0,0,0,0,0,3.795839189000162,3.7937304360000326,0.4724552860000131,0.0009485589998803334,0.0,12434,0,10,1.0
14,0.12301440571249878,,,,0.007531763520091772,0.09519946575164795,,0.0,0,0,0,0,0,3.7545698409999204,3.752473598000279,0.4557662440001877,0.0009097729998757131,0.0,12434,0,10,1.0
15,0.12651556603569708,0.2567013598455902,0.8993023961176827,0.7537091988130564,0.007870040833950043,0.09939853847026825,0.08555555555555555,0.0,0,0,0,0,0,3.7434263099999043,3.7406672690001415,0.46009802599996874,0.0013092069998492661,0.0,12434,0,10,1.0
16,0.11786380422638829,,,,0.008248274214565754,0.10405991971492767,,0.0,0,0,0,0,0,3.8034908259999156,3.801297674000125,0.45387110900014704,0.0009328549999736424,0.0,12434,0,10,1.0
17,0.12478411409805232,,,,0.008556706830859184,0.10787979513406754,,0.0,0,0,0,0,0,3.8255646710001656,3.823450536000337,0.4785787299999811,0.0009678480000729905,0.0,12434,0,10,1.0
18,0.10863912355573395,,,,0.008950438350439072,0.1127021387219429,,0.0,0,0,0,0,0,3.899340428999949,3.8971633560004193,0.46196890600003826,0.0009870840001440229,0.0,12434,0,10,1.0
19,0.11644567228559304,,,,0.009297695010900497,0.11699255555868149,,0.0,0,0,0,0,0,3.933139368999946,3.931146389000105,0.470572772000196,0.0008909030000268103,0.0,12434,0,10,1.0
20,0.10646807975903701,0.19886524802757696,0.924476797088262,0.8103579588728104,0.009613925591111183,0.12083324044942856,0.0675,0.0,0,0,0,0,0,3.9780406769998535,3.975737740999648,0.48991947199988317,0.0010971879999033263,0.0,12434,0,10,1.0
21,0.10175040784617102,,,,0.009916936978697777,0.12453658133745193,,0.0,0,0,0,0,0,4.067830275999995,4.057628738999938,0.48649563200001467,0.008671166999874913,0.0,12434,0,10,1.0
22,0.09806421102141352,,,,0.01023554615676403,0.12841418385505676,,0.0,0,0,0,0,0,4.098028900999907,4.095679689000008,0.47994365099998504,0.000993929000060234,0.0,12434,0,10,1.0
23,0.09661922311719806,,,,0.010580935515463352,0.13264550268650055,,0.0,0,0,0,0,0,3.956426081000018,3.954330942000297,0.47411076699995647,0.0009495699998751661,0.0,12434,0,10,1.0
24,0.09572910438761147,,,,0.010965272784233093,0.13729383051395416,,0.0,0,0,0,0,0,3.8422571379999226,3.839796390000174,0.473549180999953,0.0010084069999720668,0.0,12434,0,10,1.0
25,0.10080889239604152,0.20496688420716075,0.9265999393387928,0.8135593220338984,0.011194697581231594,0.14013542234897614,0.06638888888888889,0.0,0,0,0,0,0,4.097457178999775,4.094937994999782,0.48100156600003174,0.0009916599999542086,0.0,12434,0,10,1.0
26,0.09618683208624233,,,,0.01151394285261631,0.1440165787935257,,0.0,0,0,0,0,0,3.9734948969999095,3.970927328999551,0.49401669099984247,0.0010061200000563986,0.0,12434,0,10,1.0
27,0.09753356878077817,,,,0.01179877296090126,0.14749863743782043,,0.0,0,0,0,0,0,3.860115437999866,3.8579642270005934,0.4923464190001141,0.0009824040002968104,0.0,12434,0,10,1.0
28,0.08151577758899405,,,,0.012206229381263256,0.15240906178951263,,0.0,0,0,0,0,0,3.894056119999732,3.891545634999602,0.45618051700012074,0.0010460839998813753,0.0,12434,0,10,1.0
29,0.08401870104290829,,,,0.012470087967813015,0.1556563526391983,,0.0,0,0,0,0,0,3.843329566000193,3.8412308299998585,0.45775077799999053,0.0009497579999333539,0.0,12434,0,10,1.0
30,0.09073728026167555,0.17433284372526744,0.9308462238398544,0.8204724409448819,0.012802550569176674,0.15968647599220276,0.06097222222222222,0.0,0,0,0,0,0,3.7078958809997857,3.7058036370012815,0.42600315700019564,0.0009535539998068998,0.0,12434,0,10,1.0
31,0.0793808327356298,,,,0.01314148586243391,0.16374608874320984,,0.0,0,0,0,0,0,3.646023679999871,3.6438745720010957,0.467206527000144,0.0009566070002620108,0.0,12434,0,10,1.0
32,0.08068302653104002,,,,0.013500061817467213,0.16806292533874512,,0.0,0,0,0,0,0,3.7575803409999935,3.7556408069999634,0.47003011099968717,0.0008680610003466427,0.0,12434,0,10,1.0
33,0.08121404276471175,,,,0.013865036889910698,0.1724737584590912,,0.0,0,0,0,0,0,3.8369582549998995,3.8345991350001896,0.4801456139998663,0.0010346559997742588,0.0,12434,0,10,1.0
34,0.07561509938574516,,,,0.014214148744940758,0.17660851776599884,,0.0,0,0,0,0,0,3.6440075000000434,3.642067185000542,0.44316483100010373,0.00087588099995628,0.0,12434,0,10,1.0
35,0.08238241686848861,0.27325984227778427,0.9084015771913861,0.7729323308270677,0.014504540711641312,0.18015821278095245,0.08013888888888888,0.0,0,0,0,0,0,3.7962429090002843,3.794060548998914,0.4807101309997961,0.0009778650000953348,0.0,12434,0,10,1.0
36,0.07168969915842405,,,,0.014893410727381706,0.18477484583854675,,0.0,0,0,0,0,0,4.067691720999846,4.065152974000284,0.4930192840001837,0.001172079000298254,0.0,12434,0,10,1.0
37,0.07166632200913944,,,,0.015183700248599052,0.1882929801940918,,0.0,0,0,0,0,0,3.9249891649997153,3.922843147000094,0.5034135870000682,0.000975998999820149,0.0,12434,0,10,1.0
38,0.07071029241574257,,,,0.015437024645507336,0.19129931926727295,,0.0,0,0,0,0,0,3.8086500040003557,3.806510855000397,0.4474569399999382,0.0009420819997103536,0.0,12434,0,10,1.0
39,0.07664241398021399,,,,0.01574675925076008,0.1949779987335205,,0.0,0,0,0,0,0,3.6939908790000118,3.6915369220000684,0.45949093199988056,0.0009843509997153888,0.0,12434,0,10,1.0
40,0.06584294842242104,0.22633934462018432,0.9287230815893236,0.8162627052384676,0.016089795157313347,0.1990426480770111,0.07041666666666667,0.0,0,0,0,0,0,4.071639376999883,4.069548281999687,0.5260369719999289,0.0009445870000490686,0.0,12434,0,10,1.0
41,0.06451216754023727,,,,0.016383908689022064,0.20251193642616272,,0.0,0,0,0,0,0,3.9777408790000663,3.9755100499996843,0.4711598439998852,0.0009612059998289624,0.0,12434,0,10,1.0
42,0.06848254061477556,,,,0.01662801206111908,0.20547284185886383,,0.0,0,0,0,0,0,3.7852297269996598,3.783098857999903,0.45994587199993475,0.0009597700000085752,0.0,12434,0,10,1.0
43,0.07252731017035605,,,,0.01692129671573639,0.2090301513671875,,0.0,0,0,0,0,0,3.695164226000088,3.693009904000064,0.44459994399994684,0.0009483200001341174,0.0,12434,0,10,1.0
44,0.06484474757964885,,,,0.017265774309635162,0.21310915052890778,,0.0,0,0,0,0,0,3.7449451469997257,3.7428046010004437,0.4380941759995949,0.0009529709996058955,0.0,12434,0,10,1.0
45,0.059596711511499756,0.22664975840140975,0.9329693660903852,0.8244638602065131,0.017545899376273155,0.21634723246097565,0.05986111111111111,0.0,0,0,0,0,0,3.767524921000131,3.765412782999647,0.45054976499977784,0.0009355520001008699,0.0,12434,0,10,1.0
46,0.06234836690717601,,,,0.017813201993703842,0.21956998109817505,,0.0,0,0,0,0,0,3.959923416000038,3.9573801999999887,0.49709401900008743,0.0010574519997135212,0.0,12434,0,10,1.0
47,0.06044937836726429,,,,0.0180400088429451,0.22226175665855408,,0.0,0,0,0,0,0,4.025236683000003,4.02299355400055,0.5023992080000426,0.0010045590001936944,0.0,12434,0,10,1.0
48,0.06198583794169321,,,,0.01838182471692562,0.22627973556518555,,0.0,0,0,0,0,0,3.825685520999741,3.8233875329997318,0.4767338449996714,0.0010031619999608665,0.0,12434,0,10,1.0
49,0.06024794589389665,,,,0.01866181753575802,0.22949601709842682,,0.0,0,0,0,0,0,3.8961683140000787,3.89378958899988,0.4511113120001937,0.0009835169998950732,0.0,12434,0,10,1.0
50,0.05816338013376182,0.19955699324199258,0.932362754018805,0.8223107569721115,0.018923303112387657,0.23263968527317047,0.06847222222222223,0.0,0,0,0,0,0,3.7270100079999793,3.7248990680000134,0.4528181460000269,0.000950786999965203,0.0,12434,0,10,1.0
