split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,982,47,0,248,0.9631949882537196,0.8406779661016949,1.0,0.9134438305709024,0.0456754130223518,0.9771622934888241,1277,248,0.5,0.9992711370262392,0.9969576296310656,0.026886914513792486,0.08466347538494355
train,fixed,1,873,1,24,224,0.9777183600713012,0.9955555555555555,0.9032258064516129,0.9471458773784355,0.0011441647597254005,0.9510408208459438,1122,248,0.5,0.9983944784823209,0.9948779053039156,0.01643118754390201,0.0569844708017829
train,fixed,2,874,0,14,234,0.9875222816399287,1.0,0.9435483870967742,0.970954356846473,0.0,0.9717741935483871,1122,248,0.5,0.999870820107773,0.9995517971163654,0.0075036294460313424,0.026576457653472364
train,fixed,3,1264,11,2,246,0.9914642153644123,0.9571984435797666,0.9919354838709677,0.9742574257425742,0.008627450980392156,0.9916540164452878,1523,248,0.5,0.9996552814674257,0.9982432586389796,0.006682540814869872,0.024749940410770097
train,fixed,4,974,36,0,248,0.9713831478537361,0.8732394366197183,1.0,0.9323308270676691,0.03564356435643564,0.9821782178217822,1258,248,0.5,0.9993652187799424,0.997419646985366,0.019751656085344065,0.06489139101082672
train,fixed,5,894,4,12,236,0.9860383944153578,0.9833333333333333,0.9516129032258065,0.9672131147540983,0.004454342984409799,0.9735792801206984,1146,248,0.5,0.9992635965227388,0.9973779248474229,0.010300077259082597,0.03623100598278601
train,fixed,6,1004,0,22,226,0.9824281150159745,1.0,0.9112903225806451,0.9535864978902954,0.0,0.9556451612903225,1252,248,0.5,0.9991485670222336,0.9967969369850385,0.012893592920780092,0.0429792576023461
train,fixed,7,1022,10,4,244,0.9890625,0.9606299212598425,0.9838709677419355,0.9721115537848606,0.009689922480620155,0.9870905226306577,1280,248,0.5,0.999593648412103,0.9983349811055285,0.006902847527269522,0.025440378909294747
train,fixed,8,973,8,19,229,0.9780309194467046,0.9662447257383966,0.9233870967741935,0.9443298969072165,0.00815494393476045,0.9576160764197166,1229,248,0.5,0.9978954983394166,0.9920224361589317,0.015856463539847078,0.05180578598540026
train,fixed,9,972,5,25,223,0.9755102040816327,0.9780701754385965,0.8991935483870968,0.9369747899159664,0.00511770726714432,0.9470379205599762,1225,248,0.5,0.997424637633308,0.9914057812325485,0.01643630877722547,0.05961934669550332
train,val_f1,0,996,33,0,248,0.9741581832419733,0.8825622775800712,1.0,0.9376181474480151,0.03206997084548105,0.9839650145772595,1277,248,0.7000000000000001,0.9992711370262392,0.9969576296310656,0.026886914513792486,0.08466347538494355
train,val_f1,1,874,0,39,209,0.9652406417112299,1.0,0.842741935483871,0.9146608315098468,0.0,0.9213709677419355,1122,248,0.7000000000000001,0.9983944784823209,0.9948779053039156,0.01643118754390201,0.0569844708017829
train,val_f1,2,874,0,22,226,0.9803921568627451,1.0,0.9112903225806451,0.9535864978902954,0.0,0.9556451612903225,1122,248,0.7000000000000001,0.999870820107773,0.9995517971163654,0.0075036294460313424,0.026576457653472364
train,val_f1,3,1268,7,7,241,0.9908076165462902,0.9717741935483871,0.9717741935483871,0.9717741935483871,0.005490196078431373,0.9831419987349779,1523,248,0.7000000000000001,0.9996552814674257,0.9982432586389796,0.006682540814869872,0.024749940410770097
train,val_f1,4,990,20,0,248,0.9841017488076311,0.9253731343283582,1.0,0.9612403100775194,0.019801980198019802,0.9900990099009901,1258,248,0.7000000000000001,0.9993652187799424,0.997419646985366,0.019751656085344065,0.06489139101082672
train,val_f1,5,897,1,24,224,0.9781849912739965,0.9955555555555555,0.9032258064516129,0.9471458773784355,0.0011135857461024498,0.9510561103527553,1146,248,0.7000000000000001,0.9992635965227388,0.9973779248474229,0.010300077259082597,0.03623100598278601
train,val_f1,6,1004,0,35,213,0.9720447284345048,1.0,0.8588709677419355,0.9240780911062907,0.0,0.9294354838709677,1252,248,0.7000000000000001,0.9991485670222336,0.9967969369850385,0.012893592920780092,0.0429792576023461
train,val_f1,7,1028,4,9,239,0.98984375,0.9835390946502057,0.9637096774193549,0.9735234215885947,0.003875968992248062,0.9799168542135535,1280,248,0.7000000000000001,0.999593648412103,0.9983349811055285,0.006902847527269522,0.025440378909294747
