split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,1025,15,5,243,0.984472049689441,0.9418604651162791,0.9798387096774194,0.9604743083003953,0.014423076923076924,0.9827078163771712,1288,248,0.5,0.9993214950372208,0.9972667278227183,0.010212714627830062,0.03426536250062893
train,fixed,1,911,15,10,238,0.9787052810902896,0.9407114624505929,0.9596774193548387,0.9500998003992016,0.016198704103671708,0.9717393576255835,1174,248,0.5,0.9981536960914095,0.9936450809432507,0.014895104035616401,0.04817963801568743
train,fixed,2,787,5,3,245,0.9923076923076923,0.98,0.9879032258064516,0.9839357429718876,0.006313131313131313,0.9907950472466602,1040,248,0.5,0.9997759856630825,0.9992886879401028,0.008359228868109773,0.03579028968025752
train,fixed,3,520,0,21,227,0.97265625,1.0,0.9153225806451613,0.9557894736842105,0.0,0.9576612903225806,768,248,0.5,0.9991392679900745,0.9983102261496611,0.019481254629042818,0.06857694830299062
train,fixed,4,1099,15,12,236,0.9801762114537445,0.9402390438247012,0.9516129032258065,0.9458917835671342,0.013464991023339317,0.9690739561012336,1362,248,0.5,0.9972599467191754,0.987114501389665,0.016043017910506028,0.05769828796997947
train,fixed,5,873,2,11,237,0.9884238646482636,0.9916317991631799,0.9556451612903226,0.973305954825462,0.002285714285714286,0.9766797235023041,1123,248,0.5,0.9995668202764977,0.9985261360531662,0.008213293267859354,0.03059910123830823
train,fixed,6,1782,11,1,247,0.9941205291523763,0.9573643410852714,0.9959677419354839,0.9762845849802372,0.006134969325153374,0.9949163863051653,2041,248,0.5,0.9998245866541928,0.9987575444596875,0.004895857046825978,0.017294470414738795
train,fixed,7,647,0,27,221,0.9698324022346368,1.0,0.8911290322580645,0.9424307036247335,0.0,0.9455645161290323,895,248,0.5,0.999470259759685,0.998662561834622,0.01844812801661506,0.061837084295223
train,fixed,8,963,2,6,242,0.9934047815333883,0.9918032786885246,0.9758064516129032,0.983739837398374,0.002072538860103627,0.9868669563763999,1213,248,0.5,0.9998830018385425,0.9995474240443383,0.004296365788199063,0.017135378026004254
train,fixed,9,1266,16,5,243,0.9862745098039216,0.9382239382239382,0.9798387096774194,0.9585798816568047,0.0124804992199688,0.9836791052287253,1530,248,0.5,0.9992734386794826,0.9965492773409418,0.009719478418218451,0.03208327629095473
train,val_f1,0,1038,2,15,233,0.9868012422360248,0.9914893617021276,0.9395161290322581,0.9648033126293996,0.0019230769230769232,0.9687965260545905,1288,248,0.91,0.9993214950372208,0.9972667278227183,0.010212714627830062,0.03426536250062893
train,val_f1,1,924,2,28,220,0.9744463373083475,0.990990990990991,0.8870967741935484,0.9361702127659575,0.0021598272138228943,0.9424684734898627,1174,248,0.91,0.9981536960914095,0.9936450809432507,0.014895104035616401,0.04817963801568743
train,val_f1,2,792,0,35,213,0.9663461538461539,1.0,0.8588709677419355,0.9240780911062907,0.0,0.9294354838709677,1040,248,0.91,0.9997759856630825,0.9992886879401028,0.008359228868109773,0.03579028968025752
train,val_f1,3,520,0,60,188,0.921875,1.0,0.7580645161290323,0.8623853211009175,0.0,0.8790322580645161,768,248,0.91,0.9991392679900745,0.9983102261496611,0.019481254629042818,0.06857694830299062
train,val_f1,4,1107,7,46,202,0.9610866372980911,0.9665071770334929,0.8145161290322581,0.8840262582056893,0.0062836624775583485,0.9041162332773499,1362,248,0.91,0.9972599467191754,0.987114501389665,0.016043017910506028,0.05769828796997947
train,val_f1,5,875,0,37,211,0.9670525378450578,1.0,0.8508064516129032,0.9193899782135077,0.0,0.9254032258064516,1123,248,0.91,0.9995668202764977,0.9985261360531662,0.008213293267859354,0.03059910123830823
train,val_f1,6,1792,1,11,237,0.9941205291523763,0.9957983193277311,0.9556451612903226,0.9753086419753086,0.0005577244841048522,0.9775437184031088,2041,248,0.91,0.9998245866541928,0.9987575444596875,0.004895857046825978,0.017294470414738795
train,val_f1,7,647,0,67,181,0.9251396648044693,1.0,0.7298387096774194,0.8438228438228438,0.0,0.8649193548387097,895,248,0.91,0.999470259759685,0.998662561834622,0.01844812801661506,0.061837084295223
train,val_f1,8,965,0,27,221,0.9777411376751854,1.0,0.8911290322580645,0.9424307036247335,0.0,0.9455645161290323,1213,248,0.91,0.9998830018385425,0.9995474240443383,0.004296365788199063,0.017135378026004254
train,val_f1,9,1281,1,17,231,0.9882352941176471,0.9956896551724138,0.9314516129032258,0.9625,0.00078003120124805,0.9653357908509889,1530,248,0.91,0.9992734386794826,0.9965492773409418,0.009719478418218451,0.03208327629095473
train,val_fpr02,0,1040,0,22,226,0.9829192546583851,1.0,0.9112903225806451,0.9535864978902954,0.0,0.9556451612903225,1288,248,0.9500000000000001,0.9993214950372208,0.9972667278227183,0.010212714627830062,0.03426536250062893
train,val_fpr02,1,926,0,36,212,0.969335604770017,1.0,0.8548387096774194,0.9217391304347826,0.0,0.9274193548387097,1174,248,0.9500000000000001,0.9981536960914095,0.9936450809432507,0.014895104035616401,0.04817963801568743
train,val_fpr02,2,792,0,47,201,0.9548076923076924,1.0,0.8104838709677419,0.8953229398663697,0.0,0.905241935483871,1040,248,0.9500000000000001,0.9997759856630825,0.9992886879401028,0.008359228868109773,0.03579028968025752
train,val_fpr02,3,520,0,76,172,0.9010416666666666,1.0,0.6935483870967742,0.819047619047619,0.0,0.8467741935483871,768,248,0.9500000000000001,0.9991392679900745,0.9983102261496611,0.019481254629042818,0.06857694830299062
train,val_fpr02,4,1107,7,51,197,0.9574155653450808,0.9656862745098039,0.7943548387096774,0.8716814159292036,0.0062836624775583485,0.8940355881160595,1362,248,0.9500000000000001,0.9972599467191754,0.987114501389665,0.016043017910506028,0.05769828796997947
train,val_fpr02,5,875,0,44,204,0.9608192341941229,1.0,0.8225806451612904,0.9026548672566371,0.0,0.9112903225806452,1123,248,0.9500000000000001,0.9995668202764977,0.9985261360531662,0.008213293267859354,0.03059910123830823
train,val_fpr02,6,1793,0,19,229,0.9906908378245958,1.0,0.9233870967741935,0.960167714884696,0.0,0.9616935483870968,2041,248,0.9500000000000001,0.9998245866541928,0.9987575444596875,0.004895857046825978,0.017294470414738795
train,val_fpr02,7,647,0,80,168,0.9106145251396648,1.0,0.6774193548387096,0.8076923076923077,0.0,0.8387096774193548,895,248,0.9500000000000001,0.999470259759685,0.998662561834622,0.01844812801661506,0.061837084295223
train,val_fpr02,8,965,0,36,212,0.9703215169002474,1.0,0.8548387096774194,0.9217391304347826,0.0,0.9274193548387097,1213,248,0.9500000000000001,0.9998830018385425,0.9995474240443383,0.004296365788199063,0.017135378026004254
train,val_fpr02,9,1282,0,26,222,0.9830065359477124,1.0,0.8951612903225806,0.9446808510638298,0.0,0.9475806451612903,1530,248,0.9500000000000001,0.9992734386794826,0.9965492773409418,0.009719478418218451,0.03208327629095473
validation,fixed,0,286,30,8,54,0.8994708994708994,0.6428571428571429,0.8709677419354839,0.7397260273972602,0.0949367088607595,0.8880155165373622,378,62,0.5,0.9809105757452021,0.9295031115826581,0.0782024621929738,0.2530824863904604
validation,fixed,1,239,41,9,53,0.8538011695906432,0.5638297872340425,0.8548387096774194,0.6794871794871795,0.14642857142857144,0.854205069124424,342,62,0.5,0.948905529953917,0.8533965438805173,0.13376907033648278,0.6184754822951961
validation,fixed,2,290,53,0,62,0.8691358024691358,0.5391304347826087,1.0,0.7005649717514124,0.15451895043731778,0.9227405247813412,405,62,0.5,0.9979309696228722,0.9906596463834858,0.08612283804687737,0.23210251790583702
validation,fixed,3,212,14,7,55,0.9270833333333334,0.7971014492753623,0.8870967741935484,0.8396946564885496,0.061946902654867256,0.9125749357693406,288,62,0.5,0.984941478732515,0.9535191783262402,0.05117726305567379,0.1566185014332212
validation,fixed,4,138,0,23,39,0.885,1.0,0.6290322580645161,0.7722772277227723,0.0,0.814516129032258,200,62,0.5,0.9976624590930342,0.994900719295629,0.10213624868515493,0.4049562344727145
validation,fixed,5,203,0,12,50,0.9547169811320755,1.0,0.8064516129032258,0.8928571428571429,0.0,0.9032258064516129,265,62,0.5,0.9903066899729859,0.9726622396691245,0.04107872846792641,0.16750372373450934
validation,fixed,6,380,3,2,60,0.9887640449438202,0.9523809523809523,0.967741935483871,0.96,0.007832898172323759,0.9799545186557737,445,62,0.5,0.9996209887981133,0.9977104261719896,0.005533296179224966,0.019714589936028884
validation,fixed,7,221,6,7,55,0.9550173010380623,0.9016393442622951,0.8870967741935484,0.8943089430894309,0.02643171806167401,0.9303325280659371,289,62,0.5,0.9945289185732556,0.981057561135938,0.030272516175178427,0.09379626958665445
validation,fixed,8,247,18,2,60,0.9388379204892966,0.7692307692307693,0.967741935483871,0.8571428571428571,0.06792452830188679,0.9499087035909921,327,62,0.5,0.9920876445526476,0.9710719654842915,0.049635042029776526,0.1680122738500292
