epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5267374976257251,,,,0.0016003880882635713,0.020659035071730614,,0.0,0,0,0,0,0,3.5876923489995534,3.585445806002099,0.5507566370033601,0.0009884899991448037,0.0,12690,0,10,1.0
2,0.39588843900377024,,,,0.0026520774699747562,0.034147392958402634,,0.0,0,0,0,0,0,3.5590665729978355,3.556992130015715,0.594988930002728,0.0008784870005911216,0.0,12690,0,10,1.0
3,0.27596473848384007,,,,0.0033073131926357746,0.04251999780535698,,0.0,0,0,0,0,0,3.567434153999784,3.5652123029940412,0.5639683059998788,0.0009820780032896437,0.0,12690,0,10,1.0
4,0.270510590991213,,,,0.003799615427851677,0.0488194078207016,,0.0,0,0,0,0,0,3.558642944000894,3.5563812120017246,0.5735261920017365,0.0010202529992966447,0.0,12690,0,10,1.0
5,0.22254328338884072,0.2402658213741409,0.8983886879316014,0.7414225941422594,0.004397048149257898,0.056405480951070786,0.085,0.0,0,0,0,0,0,3.630757058999734,3.6284433100008755,0.5969130269986636,0.0010021069974754937,0.0,12690,0,10,1.0
6,0.21474967551336072,,,,0.004951657261699438,0.06345079839229584,,0.0,0,0,0,0,0,3.658053609997296,3.655861549992551,0.5897513999989314,0.0009484639995207544,0.0,12690,0,10,1.0
7,0.18364185921486142,,,,0.005600337870419025,0.07161594182252884,,0.0,0,0,0,0,0,3.611162321998563,3.6088867689977633,0.5637895509971713,0.0009594959992682561,0.0,12690,0,10,1.0
8,0.19142918783187252,,,,0.006060678046196699,0.0774405226111412,,0.0,0,0,0,0,0,3.6227562239982944,3.620308918001683,0.5778234389981662,0.0011964830009674188,0.0,12690,0,10,1.0
9,0.16932076472590724,,,,0.00652221217751503,0.08320409804582596,,0.0,0,0,0,0,0,3.8118670799995016,3.8092529209934582,0.6275861299982353,0.0011705549986800179,0.0,12690,0,10,1.0
10,0.14996734462025857,0.21550748669368536,0.9125287734297929,0.7710843373493976,0.006994307041168213,0.08909609913825989,0.07222222222222222,0.0,0,0,0,0,0,3.712384861002647,3.7100890839974454,0.5918699970025045,0.001058172001648927,0.0,12690,0,10,1.0
11,0.15359958097928753,,,,0.007479719817638397,0.09515445679426193,,0.0,0,0,0,0,0,3.7421000840004126,3.7397712729980412,0.6163093809991551,0.0010261669995088596,0.0,12690,0,10,1.0
12,0.1452667385149351,,,,0.00787907000631094,0.10016006231307983,,0.0,0,0,0,0,0,3.7440241769982094,3.741811691001203,0.5916759530009585,0.0009879249992081895,0.0,12690,0,10,1.0
13,0.13031210893124806,,,,0.008384707383811474,0.10643208771944046,,0.0,0,0,0,0,0,3.5883305439965625,3.5858726690021285,0.5755823049985338,0.0010510760002944153,0.0,12690,0,10,1.0
14,0.14051594460721753,,,,0.008741077035665512,0.11090710759162903,,0.0,0,0,0,0,0,3.7953073199969367,3.7930897470032505,0.6767325379987597,0.0009667150006862357,0.0,12690,0,10,1.0
15,0.12612545631943864,0.20421342777597423,0.9230516277540283,0.8091353996737357,0.009244807064533234,0.11712688952684402,0.08333333333333333,0.0,0,0,0,0,0,3.641173631000129,3.638939233005658,0.5635824589990079,0.0009610969973437022,0.0,12690,0,10,1.0
16,0.12972761910031633,,,,0.009635898284614086,0.12200634181499481,,0.0,0,0,0,0,0,3.758174890997907,3.755865018003533,0.5848959579998336,0.001017266000417294,0.0,12690,0,10,1.0
17,0.118801757887644,,,,0.010038651525974274,0.12692402303218842,,0.0,0,0,0,0,0,3.6785448900009214,3.676214480990893,0.5855377279985987,0.0010068150004372,0.0,12690,0,10,1.0
18,0.11751435596101252,,,,0.0103630181401968,0.13094337284564972,,0.0,0,0,0,0,0,3.5269576649989176,3.524748316998739,0.5701506539990078,0.000945471998420544,0.0,12690,0,10,1.0
19,0.110173709578412,,,,0.010755854658782482,0.13579589128494263,,0.0,0,0,0,0,0,3.505717364998418,3.503458272996795,0.5537953579987516,0.0010109949980687816,0.0,12690,0,10,1.0
20,0.10949523646396313,0.2084571107761719,0.9325879644853666,0.8337388483373885,0.011165865696966648,0.14083141088485718,0.06472222222222222,0.0,0,0,0,0,0,3.5952016379997076,3.5925432889962394,0.5763667239989445,0.001253820999409072,0.0,12690,0,10,1.0
21,0.10056210290798691,,,,0.011516356840729713,0.14509613811969757,,0.0,0,0,0,0,0,3.7411063660001673,3.738856293999561,0.6595096419987385,0.0009538859994790982,0.0,12690,0,10,1.0
22,0.10292147782083068,,,,0.011868806555867195,0.14945022761821747,,0.0,0,0,0,0,0,3.631734973998391,3.628788286001509,0.5582151080016047,0.0010498960000404622,0.0,12690,0,10,1.0
23,0.11029948025819444,,,,0.012247649021446705,0.15409350395202637,,0.0,0,0,0,0,0,3.517421065000235,3.515041028000269,0.573469633996865,0.0010790259984787554,0.0,12690,0,10,1.0
24,0.08488470901472574,,,,0.012685908935964108,0.15938380360603333,,0.0,0,0,0,0,0,3.64704488300049,3.6448667969998496,0.6037434350000694,0.0009389619990542997,0.0,12690,0,10,1.0
25,0.10927607314394794,0.1974169790394736,0.9325879644853666,0.8209606986899564,0.012961461208760738,0.1627856343984604,0.06694444444444445,0.0,0,0,0,0,0,3.8415884069981985,3.838433208002243,0.5842110810008307,0.0019034639990422875,0.0,12690,0,10,1.0
26,0.09343712517697363,,,,0.013300370424985886,0.16694609820842743,,0.0,0,0,0,0,0,3.820082417998492,3.8179010519888834,0.5840615380002419,0.0009139059984590858,0.0,12690,0,10,1.0
27,0.08470870893228925,,,,0.013694817200303078,0.17174901068210602,,0.0,0,0,0,0,0,3.6503766120004,3.6481065489970206,0.6014724659980857,0.0010211299995717127,0.0,12690,0,10,1.0
28,0.09245702711706058,,,,0.013999389484524727,0.17548780143260956,,0.0,0,0,0,0,0,3.629041602998768,3.6264008679936524,0.5820041169972683,0.00112475200148765,0.0,12690,0,10,1.0
29,0.08592972773687337,,,,0.01432185247540474,0.17939777672290802,,0.0,0,0,0,0,0,3.7841754209985083,3.781484636994719,0.5738256160002493,0.0012505680024332833,0.0,12690,0,10,1.0
30,0.09199998797985567,0.18118226598362405,0.9348898388687932,0.828719723183391,0.014692598953843117,0.18392880260944366,0.058611111111111114,0.0,0,0,0,0,0,3.578592533001938,3.5763599920028355,0.5708735919979517,0.0009913869980664458,0.0,12690,0,10,1.0
31,0.09411830594245668,,,,0.015111858956515789,0.18895281851291656,,0.0,0,0,0,0,0,3.593088212997827,3.5907148840014997,0.5866002699985984,0.0010613229969749227,0.0,12690,0,10,1.0
32,0.07635113107175824,,,,0.015443078242242336,0.19293326139450073,,0.0,0,0,0,0,0,3.755346914000256,3.7532140369985427,0.579767687999265,0.0009556130025885068,0.0,12690,0,10,1.0
33,0.09665369769470605,,,,0.015794694423675537,0.19720090925693512,,0.0,0,0,0,0,0,3.6072180489973107,3.6049316839998937,0.5913434280009824,0.0010243129981972743,0.0,12690,0,10,1.0
34,0.07671201231325704,,,,0.01610473543405533,0.20094218850135803,,0.0,0,0,0,0,0,3.546922765999625,3.5447037300073134,0.5379185250021692,0.0009454869978071656,0.0,12690,0,10,1.0
35,0.06994145717131825,0.20318501801807748,0.9404801052285432,0.8459574468085106,0.016493340954184532,0.20557546615600586,0.06833333333333333,0.0,0,0,0,0,0,3.714400012999249,3.712072370999522,0.6024884069993277,0.0010258130023430567,0.0,12690,0,10,1.0
36,0.08035266744211453,,,,0.016670240089297295,0.207741379737854,,0.0,0,0,0,0,0,3.7637652789999265,3.7616358830055105,0.6142521260007925,0.000920643000426935,0.0,12690,0,10,1.0
37,0.07858050726718786,,,,0.017033105716109276,0.2120862454175949,,0.0,0,0,0,0,0,3.639286681998783,3.6371444589931343,0.5834091789984086,0.0009591879970685113,0.0,12690,0,10,1.0
38,0.06640893525339558,,,,0.017312318086624146,0.21540586650371552,,0.0,0,0,0,0,0,3.52270405499803,3.519885820998752,0.5672647049977968,0.0013816139980917796,0.0,12690,0,10,1.0
39,0.06534820842611802,,,,0.01769239641726017,0.22000670433044434,,0.0,0,0,0,0,0,3.683415463001438,3.6810703959963575,0.5649913760025811,0.0010244909972243477,0.0,12690,0,10,1.0
