split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,732,19,0,248,0.980980980980981,0.9288389513108615,1.0,0.9631067961165048,0.02529960053262317,0.9873501997336884,999,248,0.5,0.9995919419268932,0.9987955761961127,0.01431921155198778,0.055598262271248644
train,fixed,1,1455,22,1,247,0.9866666666666667,0.9182156133828996,0.9959677419354839,0.9555125725338491,0.014895057549085985,0.990536342193199,1725,248,0.5,0.9996587459322515,0.9980458690326922,0.008218348855935614,0.025928851814349705
train,fixed,2,636,1,8,240,0.9898305084745763,0.995850622406639,0.967741935483871,0.9815950920245399,0.0015698587127158557,0.9830860383855775,885,248,0.5,0.9992530510963691,0.9982432459684842,0.010479501766348131,0.039349475251034674
train,fixed,3,502,11,8,240,0.9750328515111695,0.9561752988047809,0.967741935483871,0.9619238476953907,0.021442495126705652,0.9731497201785826,761,248,0.5,0.9976340941960636,0.9956213323925508,0.019952999218174037,0.07286335129905584
train,fixed,4,1160,16,1,247,0.988061797752809,0.9391634980988594,0.9959677419354839,0.9667318982387475,0.013605442176870748,0.9911811498793066,1424,248,0.5,0.999598831468071,0.9981236078060352,0.01022912738663926,0.03841299968130777
train,fixed,5,1055,4,14,234,0.9862280030604438,0.9831932773109243,0.9435483870967742,0.9629629629629629,0.003777148253068933,0.9698856194218526,1307,248,0.5,0.9992917847025495,0.9971082789519249,0.009566291432270618,0.03210356074967819
train,fixed,6,1833,16,2,246,0.9914163090128756,0.9389312977099237,0.9919354838709677,0.9647058823529412,0.008653326122228232,0.9916410788743697,2097,248,0.5,0.9997775606692371,0.9983889442345889,0.006795651312622592,0.024900423055312038
train,fixed,7,894,28,0,248,0.976068376068376,0.8985507246376812,1.0,0.9465648854961832,0.03036876355748373,0.9848156182212582,1170,248,0.5,0.9993133790497516,0.9974892612992754,0.0181273399928722,0.06200447182164033
train,fixed,8,831,21,0,248,0.980909090909091,0.9219330855018587,1.0,0.9593810444874274,0.02464788732394366,0.9876760563380282,1100,248,0.5,0.9997207708617295,0.9990387880512889,0.013773162999069477,0.050097076905987664
train,fixed,9,949,25,0,248,0.9795417348608838,0.9084249084249084,1.0,0.9520153550863724,0.02566735112936345,0.9871663244353183,1222,248,0.5,0.9994121348612308,0.9977320962375682,0.014491617742657953,0.04779412265086668
train,val_f1,0,726,25,0,248,0.974974974974975,0.9084249084249084,1.0,0.9520153550863724,0.033288948069241014,0.9833555259653795,999,248,0.46,0.9995919419268932,0.9987955761961127,0.01431921155198778,0.055598262271248644
train,val_f1,1,1454,23,1,247,0.9860869565217392,0.9148148148148149,0.9959677419354839,0.9536679536679536,0.015572105619498984,0.9901978181579925,1725,248,0.46,0.9996587459322515,0.9980458690326922,0.008218348855935614,0.025928851814349705
train,val_f1,2,636,1,8,240,0.9898305084745763,0.995850622406639,0.967741935483871,0.9815950920245399,0.0015698587127158557,0.9830860383855775,885,248,0.46,0.9992530510963691,0.9982432459684842,0.010479501766348131,0.039349475251034674
train,val_f1,3,500,13,6,242,0.9750328515111695,0.9490196078431372,0.9758064516129032,0.9622266401590457,0.025341130604288498,0.9752326605043073,761,248,0.46,0.9976340941960636,0.9956213323925508,0.019952999218174037,0.07286335129905584
train,val_f1,4,1159,17,0,248,0.988061797752809,0.9358490566037736,1.0,0.9668615984405458,0.01445578231292517,0.9927721088435374,1424,248,0.46,0.999598831468071,0.9981236078060352,0.01022912738663926,0.03841299968130777
train,val_f1,5,1054,5,14,234,0.9854628921193573,0.9790794979079498,0.9435483870967742,0.9609856262833676,0.004721435316336166,0.9694134758902191,1307,248,0.46,0.9992917847025495,0.9971082789519249,0.009566291432270618,0.03210356074967819
train,val_f1,6,1832,17,1,247,0.9914163090128756,0.9356060606060606,0.9959677419354839,0.96484375,0.009194159004867496,0.9933867914653082,2097,248,0.46,0.9997775606692371,0.9983889442345889,0.006795651312622592,0.024900423055312038
train,val_f1,7,889,33,0,248,0.9717948717948718,0.8825622775800712,1.0,0.9376181474480151,0.03579175704989154,0.9821041214750542,1170,248,0.46,0.9993133790497516,0.9974892612992754,0.0181273399928722,0.06200447182164033
train,val_f1,8,827,25,0,248,0.9772727272727273,0.9084249084249084,1.0,0.9520153550863724,0.029342723004694836,0.9853286384976525,1100,248,0.46,0.9997207708617295,0.9990387880512889,0.013773162999069477,0.050097076905987664
train,val_f1,9,947,27,0,248,0.9779050736497545,0.9018181818181819,1.0,0.9483747609942639,0.027720739219712527,0.9861396303901437,1222,248,0.46,0.9994121348612308,0.9977320962375682,0.014491617742657953,0.04779412265086668
train,val_fpr02,0,750,1,19,229,0.97997997997998,0.9956521739130435,0.9233870967741935,0.9581589958158996,0.0013315579227696406,0.9610277694257119,999,248,0.8300000000000001,0.9995919419268932,0.9987955761961127,0.01431921155198778,0.055598262271248644
train,val_fpr02,1,1473,4,10,238,0.9918840579710145,0.9834710743801653,0.9596774193548387,0.9714285714285714,0.002708192281651997,0.9784846135365934,1725,248,0.8300000000000001,0.9996587459322515,0.9980458690326922,0.008218348855935614,0.025928851814349705
train,val_fpr02,2,637,0,29,219,0.9672316384180791,1.0,0.8830645161290323,0.9379014989293362,0.0,0.9415322580645161,885,248,0.8300000000000001,0.9992530510963691,0.9982432459684842,0.010479501766348131,0.039349475251034674
train,val_fpr02,3,513,0,21,227,0.9724047306176085,1.0,0.9153225806451613,0.9557894736842105,0.0,0.9576612903225806,761,248,0.8300000000000001,0.9976340941960636,0.9956213323925508,0.019952999218174037,0.07286335129905584
train,val_fpr02,4,1170,6,6,242,0.9915730337078652,0.9758064516129032,0.9758064516129032,0.9758064516129032,0.00510204081632653,0.9853522053982884,1424,248,0.8300000000000001,0.999598831468071,0.9981236078060352,0.01022912738663926,0.03841299968130777
train,val_fpr02,5,1059,0,27,221,0.9793420045906657,1.0,0.8911290322580645,0.9424307036247335,0.0,0.9455645161290323,1307,248,0.8300000000000001,0.9992917847025495,0.9971082789519249,0.009566291432270618,0.03210356074967819
train,val_fpr02,6,1845,4,7,241,0.994754411063424,0.9836734693877551,0.9717741935483871,0.9776876267748479,0.002163331530557058,0.984805431008915,2097,248,0.8300000000000001,0.9997775606692371,0.9983889442345889,0.006795651312622592,0.024900423055312038
train,val_fpr02,7,916,6,11,237,0.9854700854700855,0.9753086419753086,0.9556451612903226,0.9653767820773931,0.006507592190889371,0.9745687845497166,1170,248,0.8300000000000001,0.9993133790497516,0.9974892612992754,0.0181273399928722,0.06200447182164033
train,val_fpr02,8,848,4,6,242,0.990909090909091,0.983739837398374,0.9758064516129032,0.979757085020243,0.004694835680751174,0.985555807966076,1100,248,0.8300000000000001,0.9997207708617295,0.9990387880512889,0.013773162999069477,0.050097076905987664
train,val_fpr02,9,966,8,5,243,0.9893617021276596,0.9681274900398407,0.9798387096774194,0.9739478957915831,0.008213552361396304,0.9858125786580115,1222,248,0.8300000000000001,0.9994121348612308,0.9977320962375682,0.014491617742657953,0.04779412265086668
validation,fixed,0,193,4,0,62,0.9845559845559846,0.9393939393939394,1.0,0.96875,0.02030456852791878,0.9898477157360406,259,62,0.5,0.9995906336990339,0.9987025944911664,0.012505774591464378,0.053084385802730324
validation,fixed,1,274,0,19,43,0.9434523809523809,1.0,0.6935483870967742,0.819047619047619,0.0,0.8467741935483871,336,62,0.5,0.9785731104308923,0.9317657449210617,0.04924158655517474,0.2683686695669377
validation,fixed,2,259,19,0,62,0.9441176470588235,0.7654320987654321,1.0,0.8671328671328671,0.0683453237410072,0.9658273381294964,340,62,0.5,0.9969250406126712,0.9871822873010866,0.047064571050998594,0.18797721064120393
validation,fixed,3,284,17,5,57,0.9393939393939394,0.7702702702702703,0.9193548387096774,0.8382352941176471,0.05647840531561462,0.9314382166970314,363,62,0.5,0.9853713428357089,0.940739835036152,0.05342289522845185,0.21185368532873594
validation,fixed,4,169,0,20,42,0.9134199134199135,1.0,0.6774193548387096,0.8076923076923077,0.0,0.8387096774193548,231,62,0.5,0.9900744416873449,0.9723995485393232,0.07315282811993223,0.25773561572232184
validation,fixed,5,207,0,25,37,0.9070631970260223,1.0,0.5967741935483871,0.7474747474747475,0.0,0.7983870967741935,269,62,0.5,0.998831229546517,0.996118635763534,0.0826103284414638,0.3930085937253562
validation,fixed,6,245,0,9,53,0.9706840390879479,1.0,0.8548387096774194,0.9217391304347826,0.0,0.9274193548387097,307,62,0.5,0.9988808426596445,0.9960510553174546,0.020861623866632536,0.06401876121173587
validation,fixed,7,215,2,3,59,0.982078853046595,0.9672131147540983,0.9516129032258065,0.959349593495935,0.009216589861751152,0.9711981566820277,279,62,0.5,0.9991823992864576,0.9972408184947206,0.01495803045257478,0.05872859638606586
validation,fixed,8,231,22,0,62,0.9301587301587302,0.7380952380952381,1.0,0.8493150684931506,0.08695652173913043,0.9565217391304348,315,62,0.5,1.0,1.0,0.0491860973115283,0.1406956610597491
validation,fixed,9,262,18,10,52,0.9181286549707602,0.7428571428571429,0.8387096774193549,0.7878787878787878,0.06428571428571428,0.8872119815668202,342,62,0.5,0.9727534562211981,0.9112342367938593,0.07375764111618298,0.2982287726210379
validation,val_f1,0,193,4,0,62,0.9845559845559846,0.9393939393939394,1.0,0.96875,0.02030456852791878,0.9898477157360406,259,62,0.46,0.9995906336990339,0.9987025944911664,0.012505774591464378,0.053084385802730324
validation,val_f1,1,274,0,18,44,0.9464285714285714,1.0,0.7096774193548387,0.8301886792452831,0.0,0.8548387096774194,336,62,0.46,0.9785731104308923,0.9317657449210617,0.04924158655517474,0.2683686695669377
validation,val_f1,2,258,20,0,62,0.9411764705882353,0.7560975609756098,1.0,0.8611111111111112,0.07194244604316546,0.9640287769784173,340,62,0.46,0.9969250406126712,0.9871822873010866,0.047064571050998594,0.18797721064120393
validation,val_f1,3,284,17,5,57,0.9393939393939394,0.7702702702702703,0.9193548387096774,0.8382352941176471,0.05647840531561462,0.9314382166970314,363,62,0.46,0.9853713428357089,0.940739835036152,0.05342289522845185,0.21185368532873594
validation,val_f1,4,169,0,19,43,0.9177489177489178,1.0,0.6935483870967742,0.819047619047619,0.0,0.8467741935483871,231,62,0.46,0.9900744416873449,0.9723995485393232,0.07315282811993223,0.25773561572232184
validation,val_f1,5,207,0,24,38,0.9107806691449815,1.0,0.6129032258064516,0.76,0.0,0.8064516129032258,269,62,0.46,0.998831229546517,0.996118635763534,0.0826103284414638,0.3930085937253562
validation,val_f1,6,245,0,9,53,0.9706840390879479,1.0,0.8548387096774194,0.9217391304347826,0.0,0.9274193548387097,307,62,0.46,0.9988808426596445,0.9960510553174546,0.020861623866632536,0.06401876121173587
validation,val_f1,7,215,2,2,60,0.985663082437276,0.967741935483871,0.967741935483871,0.967741935483871,0.009216589861751152,0.9792626728110599,279,62,0.46,0.9991823992864576,0.9972408184947206,0.01495803045257478,0.05872859638606586
validation,val_f1,8,229,24,0,62,0.9238095238095239,0.7209302325581395,1.0,0.8378378378378378,0.09486166007905138,0.9525691699604744,315,62,0.46,1.0,1.0,0.0491860973115283,0.1406956610597491
validation,val_f1,9,262,18,10,52,0.9181286549707602,0.7428571428571429,0.8387096774193549,0.7878787878787878,0.06428571428571428,0.8872119815668202,342,62,0.46,0.9727534562211981,0.9112342367938593,0.07375764111618298,0.2982287726210379
validation,val_fpr02,0,197,0,6,56,0.9768339768339769,1.0,0.9032258064516129,0.9491525423728814,0.0,0.9516129032258065,259,62,0.8300000000000001,0.9995906336990339,0.9987025944911664,0.012505774591464378,0.053084385802730324
validation,val_fpr02,1,274,0,22,40,0.9345238095238095,1.0,0.6451612903225806,0.7843137254901961,0.0,0.8225806451612903,336,62,0.8300000000000001,0.9785731104308923,0.9317657449210617,0.04924158655517474,0.2683686695669377
validation,val_fpr02,2,265,13,0,62,0.961764705882353,0.8266666666666667,1.0,0.9051094890510949,0.046762589928057555,0.9766187050359711,340,62,0.8300000000000001,0.9969250406126712,0.9871822873010866,0.047064571050998594,0.18797721064120393
validation,val_fpr02,3,287,14,8,54,0.9393939393939394,0.7941176470588235,0.8709677419354839,0.8307692307692308,0.046511627906976744,0.9122280570142536,363,62,0.8300000000000001,0.9853713428357089,0.940739835036152,0.05342289522845185,0.21185368532873594
validation,val_fpr02,4,169,0,25,37,0.8917748917748918,1.0,0.5967741935483871,0.7474747474747475,0.0,0.7983870967741935,231,62,0.8300000000000001,0.9900744416873449,0.9723995485393232,0.07315282811993223,0.25773561572232184
validation,val_fpr02,5,207,0,30,32,0.8884758364312267,1.0,0.5161290322580645,0.6808510638297872,0.0,0.7580645161290323,269,62,0.8300000000000001,0.998831229546517,0.996118635763534,0.0826103284414638,0.3930085937253562
validation,val_fpr02,6,245,0,13,49,0.9576547231270358,1.0,0.7903225806451613,0.8828828828828829,0.0,0.8951612903225806,307,62,0.8300000000000001,0.9988808426596445,0.9960510553174546,0.020861623866632536,0.06401876121173587
validation,val_fpr02,7,217,0,12,50,0.956989247311828,1.0,0.8064516129032258,0.8928571428571429,0.0,0.9032258064516129,279,62,0.8300000000000001,0.9991823992864576,0.9972408184947206,0.01495803045257478,0.05872859638606586
validation,val_fpr02,8,247,6,0,62,0.9809523809523809,0.9117647058823529,1.0,0.9538461538461539,0.023715415019762844,0.9881422924901186,315,62,0.8300000000000001,1.0,1.0,0.0491860973115283,0.1406956610597491
validation,val_fpr02,9,265,15,12,50,0.9210526315789473,0.7692307692307693,0.8064516129032258,0.7874015748031497,0.05357142857142857,0.8764400921658986,342,62,0.8300000000000001,0.9727534562211981,0.9112342367938593,0.07375764111618298,0.2982287726210379
test_all,fixed,0,964,29,3,24,0.9686274509803922,0.4528301886792453,0.8888888888888888,0.6,0.02920443101711984,0.9298422289358845,1020,27,0.5,0.9931371452015963,0.8713020744211111,0.025393913136175006,0.08355964433395988
test_all,fixed,1,867,0,20,13,0.9777777777777777,1.0,0.3939393939393939,0.5652173913043478,0.0,0.696969696969697,900,33,0.5,0.9992310649750096,0.9820743991942497,0.021304327902111658,0.11129078149239882
test_all,fixed,2,965,32,0,57,0.969639468690702,0.6404494382022472,1.0,0.7808219178082192,0.0320962888665998,0.9839518555667002,1054,57,0.5,0.9964982667300146,0.9444561043239069,0.0268200532995336,0.10940947088502243
test_all,fixed,3,624,1,8,35,0.9865269461077845,0.9722222222222222,0.813953488372093,0.8860759493670886,0.0016,0.9061767441860464,668,43,0.5,0.995906976744186,0.9541136922814333,0.012299352242231382,0.048016327440346715
test_all,fixed,4,861,0,28,6,0.9687150837988827,1.0,0.17647058823529413,0.3,0.0,0.5882352941176471,895,34,0.5,0.9585639133702262,0.5470853091166026,0.029195425918405096,0.15487894100406527
test_all,fixed,5,861,7,13,23,0.9778761061946902,0.7666666666666667,0.6388888888888888,0.696969696969697,0.008064516129032258,0.8154121863799283,904,36,0.5,0.9841269841269841,0.8051881368468163,0.019446100509552307,0.08356944908741913
test_all,fixed,6,266,0,0,0,1.0,0.0,0.0,0.0,0.0,0.5,266,0,0.5,,,4.0431943233036696e-08,7.332314452614641e-05
test_all,fixed,7,852,59,3,28,0.9341825902335457,0.3218390804597701,0.9032258064516129,0.4745762711864407,0.06476399560922064,0.9192309054211961,942,31,0.5,0.9767005417655182,0.6823106801291431,0.0536126440110028,0.18241710819566365
test_all,fixed,8,881,21,10,61,0.9681397738951696,0.7439024390243902,0.8591549295774648,0.7973856209150327,0.02328159645232816,0.9179366665625683,973,71,0.5,0.9879922550826021,0.8990590561740104,0.024127281965018576,0.08531025427075445
test_all,fixed,9,633,0,0,0,1.0,0.0,0.0,0.0,0.0,0.5,633,0,0.5,,,0.00010983392337249846,0.00223737553698629
test_all,val_f1,0,962,31,3,24,0.9666666666666667,0.43636363636363634,0.8888888888888888,0.5853658536585366,0.03121852970795569,0.9288351795904666,1020,27,0.46,0.9931371452015963,0.8713020744211111,0.025393913136175006,0.08355964433395988
test_all,val_f1,1,867,0,20,13,0.9777777777777777,1.0,0.3939393939393939,0.5652173913043478,0.0,0.696969696969697,900,33,0.46,0.9992310649750096,0.9820743991942497,0.021304327902111658,0.11129078149239882
test_all,val_f1,2,962,35,0,57,0.9667931688804554,0.6195652173913043,1.0,0.7651006711409396,0.03510531594784353,0.9824473420260782,1054,57,0.46,0.9964982667300146,0.9444561043239069,0.0268200532995336,0.10940947088502243
test_all,val_f1,3,622,3,8,35,0.9835329341317365,0.9210526315789473,0.813953488372093,0.8641975308641975,0.0048,0.9045767441860465,668,43,0.46,0.995906976744186,0.9541136922814333,0.012299352242231382,0.048016327440346715
test_all,val_f1,4,861,0,28,6,0.9687150837988827,1.0,0.17647058823529413,0.3,0.0,0.5882352941176471,895,34,0.46,0.9585639133702262,0.5470853091166026,0.029195425918405096,0.15487894100406527
test_all,val_f1,5,860,8,13,23,0.9767699115044248,0.7419354838709677,0.6388888888888888,0.6865671641791045,0.009216589861751152,0.8148361495135689,904,36,0.46,0.9841269841269841,0.8051881368468163,0.019446100509552307,0.08356944908741913
test_all,val_f1,6,266,0,0,0,1.0,0.0,0.0,0.0,0.0,0.5,266,0,0.46,,,4.0431943233036696e-08,7.332314452614641e-05
test_all,val_f1,7,849,62,2,29,0.9320594479830149,0.31868131868131866,0.9354838709677419,0.47540983606557374,0.06805708013172337,0.9337133954180092,942,31,0.46,0.9767005417655182,0.6823106801291431,0.0536126440110028,0.18241710819566365
test_all,val_f1,8,881,21,10,61,0.9681397738951696,0.7439024390243902,0.8591549295774648,0.7973856209150327,0.02328159645232816,0.9179366665625683,973,71,0.46,0.9879922550826021,0.8990590561740104,0.024127281965018576,0.08531025427075445
test_all,val_f1,9,633,0,0,0,1.0,0.0,0.0,0.0,0.0,0.5,633,0,0.46,,,0.00010983392337249846,0.00223737553698629
test_all,val_fpr02,0,975,18,5,22,0.9774509803921568,0.55,0.8148148148148148,0.6567164179104478,0.01812688821752266,0.8983439632986461,1020,27,0.8300000000000001,0.9931371452015963,0.8713020744211111,0.025393913136175006,0.08355964433395988
