epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5227473591057111,,,,0.0010988571448251605,0.014182982966303825,,0.0,0,0,0,0,0,3.83103986299966,3.82890805299985,0.49577761499995177,0.0009500060000391386,0.0,12690,0,10,1.0
2,0.37873573414498257,,,,0.0020555336959660053,0.026449130848050117,,0.0,0,0,0,0,0,3.821895317000326,3.8199547639997036,0.4131565879997652,0.0009334480000688927,0.0,12690,0,10,1.0
3,0.2960088359969666,,,,0.0025623589754104614,0.03295237943530083,,0.0,0,0,0,0,0,3.721757827000147,3.7192779770002744,0.4269663960003527,0.0010419929999443411,0.0,12690,0,10,1.0
4,0.25699788072109275,,,,0.0030998804140836,0.03979937359690666,,0.0,0,0,0,0,0,3.8317418449996694,3.8293543360000513,0.4393901440002992,0.0010038139998869156,0.0,12690,0,10,1.0
5,0.22932323984344638,0.2482244229614674,0.9013482407102926,0.6975806451612904,0.003749789670109749,0.04807315021753311,0.03208333333333333,0.0,0,0,0,0,0,3.933218616999966,3.931103009000708,0.4385648470001797,0.0009374989999741956,0.0,12690,0,10,1.0
6,0.20307801223853789,,,,0.004372530151158571,0.055939819663763046,,0.0,0,0,0,0,0,3.983508491000066,3.981420968000293,0.4536838579997493,0.000957680999817967,0.0,12690,0,10,1.0
7,0.17743384045333616,,,,0.004891777411103249,0.06245816498994827,,0.0,0,0,0,0,0,3.6702808810000533,3.6681818490001206,0.41591702599998825,0.0009538350000184437,0.0,12690,0,10,1.0
8,0.17946933525775163,,,,0.005351013503968716,0.06822754442691803,,0.0,0,0,0,0,0,3.7725727070001085,3.77041997599963,0.4273380869999528,0.0009546399996906985,0.0,12690,0,10,1.0
9,0.16074009518177707,,,,0.005713826045393944,0.07274629175662994,,0.0,0,0,0,0,0,3.7035305740000695,3.701354199999969,0.43452055099987774,0.0009679930003585469,0.0,12690,0,10,1.0
10,0.15432636189256982,0.15808759953786872,0.9368628740545873,0.8282647584973166,0.006129549350589514,0.07793988287448883,0.0475,0.0,0,0,0,0,0,3.9525077640000745,3.950347392999902,0.4683777190002729,0.0009943459999703919,0.0,12690,0,10,1.0
11,0.13591673408070123,,,,0.006562610622495413,0.08332962542772293,,0.0,0,0,0,0,0,3.6463627759999326,3.6442421520005155,0.4105081880002217,0.0009661819999564614,0.0,12690,0,10,1.0
12,0.14397416739498783,,,,0.006914068944752216,0.08772019296884537,,0.0,0,0,0,0,0,3.505969237000045,3.503991348999989,0.382455666000169,0.0008893459998944309,0.0,12690,0,10,1.0
13,0.12737661956154242,,,,0.007310496177524328,0.09260217845439911,,0.0,0,0,0,0,0,3.4202722340000946,3.4182773139991696,0.3801629929998853,0.0008386899999095476,0.0,12690,0,10,1.0
14,0.13875440547638165,,,,0.007696244865655899,0.09742989391088486,,0.0,0,0,0,0,0,3.619016825000017,3.616921810000804,0.3932782799997767,0.0009569899998496112,0.0,12690,0,10,1.0
15,0.11577838584189741,0.1650402995379284,0.9322591252877342,0.8265993265993266,0.008040400221943855,0.10168793052434921,0.07097222222222223,0.0,0,0,0,0,0,3.70026129200005,3.6981258249993516,0.4372385189999477,0.0009414710002602078,0.0,12690,0,10,1.0
16,0.12179493137526749,,,,0.00846729427576065,0.10696921497583389,,0.0,0,0,0,0,0,3.6219762230002743,3.619815202001064,0.48142479599982835,0.0009735260000525159,0.0,12690,0,10,1.0
17,0.12252836893157118,,,,0.00884195789694786,0.11159449070692062,,0.0,0,0,0,0,0,3.756442977000006,3.754169344001184,0.420231798000259,0.0009724500000629632,0.0,12690,0,10,1.0
18,0.10531753979539109,,,,0.009305411018431187,0.11726196110248566,,0.0,0,0,0,0,0,3.8269800080001914,3.82487615700029,0.44818171099996107,0.0009976669998650323,0.0,12690,0,10,1.0
19,0.11386467223391303,,,,0.009575903415679932,0.12060553580522537,,0.0,0,0,0,0,0,3.634538722999878,3.632252539000092,0.4804953990001195,0.0009807389997149585,0.0,12690,0,10,1.0
20,0.10782445985981001,0.11405266452533643,0.9611969746793818,0.8984509466437177,0.009991315193474293,0.1256810575723648,0.05388888888888889,0.0,0,0,0,0,0,3.6865985940003156,3.684539699000652,0.40301647599972057,0.0009542269999656128,0.0,12690,0,10,1.0
21,0.10776267942513969,,,,0.01034900825470686,0.13006262481212616,,0.0,0,0,0,0,0,3.805947260999801,3.8037918019990684,0.46277051700008087,0.0009380379997310229,0.0,12690,0,10,1.0
