split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,1257,16,3,245,0.9875082182774491,0.9386973180076629,0.9879032258064516,0.962671905697446,0.012568735271013355,0.9876672452677191,1521,248,0.5,0.9994108405341713,0.9971323153327333,0.009204721519229277,0.03172699044630701
train,fixed,1,1035,31,0,248,0.9764079147640792,0.8888888888888888,1.0,0.9411764705882353,0.029080675422138838,0.9854596622889306,1314,248,0.5,0.9994174786661018,0.9975765038017059,0.02003575670390105,0.06646148274580362
train,fixed,2,1024,3,13,235,0.9874509803921568,0.9873949579831933,0.9475806451612904,0.9670781893004116,0.0029211295034079843,0.9723297578289412,1275,248,0.5,0.9994189150987844,0.9976207497822974,0.00914223220284921,0.03167813949498867
train,fixed,3,828,13,14,234,0.9752066115702479,0.9473684210526315,0.9435483870967742,0.9454545454545454,0.015457788347205707,0.9640452993747843,1089,248,0.5,0.9967588508304246,0.988839155893108,0.018881904076697525,0.06442042791016933
train,fixed,4,915,0,28,220,0.9759243336199485,1.0,0.8870967741935484,0.9401709401709402,0.0,0.9435483870967742,1163,248,0.5,0.9987969328397673,0.996027006790813,0.016589991271521037,0.05609654031749784
train,fixed,5,886,2,19,229,0.9815140845070423,0.9913419913419913,0.9233870967741935,0.9561586638830898,0.0022522522522522522,0.9605674222609706,1136,248,0.5,0.9994369369369369,0.9979962656099584,0.011209787349367208,0.03601323258560523
train,fixed,6,853,7,8,240,0.9864620938628159,0.97165991902834,0.967741935483871,0.9696969696969697,0.00813953488372093,0.9798012003000751,1108,248,0.5,0.9983542760690173,0.995226929431948,0.013447092625276996,0.05164152182085574
train,fixed,7,1094,21,5,243,0.9809244314013206,0.9204545454545454,0.9798387096774194,0.94921875,0.01883408071748879,0.9805023144799653,1363,248,0.5,0.998763199768552,0.9946561042114913,0.013239567464948192,0.04667818739344921
train,fixed,8,1026,13,11,237,0.9813519813519813,0.948,0.9556451612903226,0.9518072289156626,0.012512030798845043,0.9715665652457388,1287,248,0.5,0.9973842714769163,0.9878898630179983,0.014099754037631524,0.050753267003774354
train,fixed,9,1184,2,5,243,0.995118549511855,0.9918367346938776,0.9798387096774194,0.9858012170385395,0.0016863406408094434,0.9890761845183049,1434,248,0.5,0.9999456019148126,0.9997381534442378,0.0034198271280167195,0.014783398462774544
train,val_f1,0,1238,35,1,247,0.9763313609467456,0.875886524822695,0.9959677419354839,0.9320754716981132,0.02749410840534171,0.984236816765071,1521,248,0.25,0.9994108405341713,0.9971323153327333,0.009204721519229277,0.03172699044630701
train,val_f1,1,999,67,0,248,0.9490106544901066,0.7873015873015873,1.0,0.8809946714031972,0.06285178236397748,0.9685741088180113,1314,248,0.25,0.9994174786661018,0.9975765038017059,0.02003575670390105,0.06646148274580362
train,val_f1,2,1020,7,3,245,0.9921568627450981,0.9722222222222222,0.9879032258064516,0.98,0.006815968841285297,0.9905436284825831,1275,248,0.25,0.9994189150987844,0.9976207497822974,0.00914223220284921,0.03167813949498867
train,val_f1,3,818,23,5,243,0.9742883379247016,0.9135338345864662,0.9798387096774194,0.9455252918287937,0.027348394768133173,0.9762451574546431,1089,248,0.25,0.9967588508304246,0.988839155893108,0.018881904076697525,0.06442042791016933
