epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5312112030914353,,,,0.0010925187962129712,0.014093303121626377,,0.0,0,0,0,0,0,3.971701829000267,3.969319046998862,0.4628730730000825,0.0010177059994020965,0.0,12628,0,10,1.0
2,0.3903514647997158,,,,0.0020775513257831335,0.026708140969276428,,0.0,0,0,0,0,0,3.325702385999648,3.3237393489998794,0.390314625999963,0.0008666559997436707,0.0,12628,0,10,1.0
3,0.29563587065519775,,,,0.0025856420397758484,0.03319913521409035,,0.0,0,0,0,0,0,3.2362128690001555,3.2338112119987272,0.36438645500038547,0.0011241359998166445,0.0,12628,0,10,1.0
4,0.26091101441625364,,,,0.003089651232585311,0.03961576521396637,,0.0,0,0,0,0,0,3.5110237960007,3.5090798980008913,0.405001498999809,0.0008707970000614296,0.0,12628,0,10,1.0
5,0.23245589755363882,0.18385506119246725,0.9400580083789881,0.845514950166113,0.003691520309075713,0.04722732678055763,0.06569444444444444,0.0,0,0,0,0,0,3.3485187870001027,3.346294389000832,0.3858699920001527,0.0009941250000338187,0.0,12628,0,10,1.0
6,0.2100296754448833,,,,0.0043197921477258205,0.05513332411646843,,0.0,0,0,0,0,0,3.5847776809996503,3.582709149999573,0.40011065599992435,0.000971127999946475,0.0,12628,0,10,1.0
7,0.18802884054943395,,,,0.00489335460588336,0.062315795570611954,,0.0,0,0,0,0,0,3.5213877770002,3.5189867790013523,0.39382744500017,0.0010745029994723154,0.0,12628,0,10,1.0
8,0.16758011395155303,,,,0.005287319887429476,0.06720831245183945,,0.0,0,0,0,0,0,3.4223234439996304,3.4202941229978023,0.3994195019995459,0.0008897400002751965,0.0,12628,0,10,1.0
9,0.1730025267695004,,,,0.005663146730512381,0.07189200073480606,,0.0,0,0,0,0,0,3.2540608879999127,3.251441458001864,0.3740624510000998,0.0010638509993441403,0.0,12628,0,10,1.0
10,0.1619016381393261,0.13017221723154407,0.9490815339993555,0.8799392097264438,0.006050809286534786,0.07671911269426346,0.06694444444444445,0.0,0,0,0,0,0,3.2590021609994437,3.2566514170002847,0.3833161200000177,0.0010365999996793107,0.0,12628,0,10,1.0
11,0.14291793839537134,,,,0.006424018647521734,0.08131133764982224,,0.0,0,0,0,0,0,3.4516352290002033,3.448946550999608,0.37582413500058465,0.0010271350001858082,0.0,12628,0,10,1.0
12,0.1340727967390775,,,,0.006796397268772125,0.08591971546411514,,0.0,0,0,0,0,0,3.4602950110001984,3.4580540589995508,0.3919649859999481,0.000988265999694704,0.0,12628,0,10,1.0
13,0.14439066630320888,,,,0.007169734220951796,0.09054581075906754,,0.0,0,0,0,0,0,3.505115767999996,3.502865247001864,0.38761096700000053,0.000960079999458685,0.0,12628,0,10,1.0
14,0.13183214056530343,,,,0.007476931903511286,0.09433615952730179,,0.0,0,0,0,0,0,3.50150480100001,3.4989284480006972,0.41858499399950233,0.0011589680007091374,0.0,12628,0,10,1.0
15,0.11212306926622866,0.16427572810523375,0.9249113760876571,0.8236184708554126,0.007842017337679863,0.09879855066537857,0.04833333333333333,0.0,0,0,0,0,0,3.3517843489998995,3.3496174300007624,0.39037110500066774,0.0009586780006429763,0.0,12628,0,10,1.0
16,0.12086494738256359,,,,0.008135602809488773,0.10244867205619812,,0.0,0,0,0,0,0,3.2061372489997666,3.20394251199923,0.36425905199939734,0.0009724639994601603,0.0,12628,0,10,1.0
17,0.1111017008054809,,,,0.008406282402575016,0.10572871565818787,,0.0,0,0,0,0,0,3.2449317650007288,3.242656748000627,0.3704824770002233,0.0009632119999878341,0.0,12628,0,10,1.0
18,0.1060953970813903,,,,0.00873563066124916,0.10975411534309387,,0.0,0,0,0,0,0,3.3935117130004073,3.391434673999356,0.3975600639996628,0.000947680000535911,0.0,12628,0,10,1.0
19,0.11349459139389209,,,,0.009063616394996643,0.11378832906484604,,0.0,0,0,0,0,0,3.3442499989996577,3.342153750997568,0.3824297139999544,0.0008958230000644107,0.0,12628,0,10,1.0
20,0.10558206841203976,0.1435037211028535,0.9436029648727038,0.8623131392604249,0.009341108612716198,0.11718727648258209,0.050138888888888886,0.0,0,0,0,0,0,3.259750574999998,3.257521562000875,0.36112316100025055,0.0010056259998236783,0.0,12628,0,10,1.0
21,0.09199800401176396,,,,0.009683775715529919,0.1213047057390213,,0.0,0,0,0,0,0,3.2113139550001506,3.2089493910016245,0.3689245630002915,0.0010459519999130862,0.0,12628,0,10,1.0
22,0.11004237325515039,,,,0.0098872110247612,0.12384571880102158,,0.0,0,0,0,0,0,3.299868007999976,3.2975245339994217,0.37693293699976493,0.0010407780000605271,0.0,12628,0,10,1.0
23,0.09113072852368705,,,,0.010217109695076942,0.12776489555835724,,0.0,0,0,0,0,0,3.155425009999817,3.1534116270004233,0.3697556529996291,0.0008741199999349192,0.0,12628,0,10,1.0
24,0.10524863071607242,,,,0.010474728420376778,0.13094976544380188,,0.0,0,0,0,0,0,3.13586276299975,3.1336650830007784,0.37286497300010524,0.001002328000140551,0.0,12628,0,10,1.0
25,0.09982635871416448,0.11378976360862891,0.9571382533032549,0.8999247554552295,0.010820237919688225,0.13515712320804596,0.04652777777777778,0.0,0,0,0,0,0,3.2962934219995077,3.294078630000513,0.39556438500039803,0.0010089600000355858,0.0,12628,0,10,1.0
26,0.08674275854623982,,,,0.011172456666827202,0.13934484124183655,,0.0,0,0,0,0,0,3.4649942040005044,3.462528944000951,0.38414302000001044,0.0010864960004255408,0.0,12628,0,10,1.0
27,0.07944382505579738,,,,0.01142214611172676,0.14233699440956116,,0.0,0,0,0,0,0,3.435630883000158,3.4333190419993116,0.37485473600008845,0.000999471000795893,0.0,12628,0,10,1.0
28,0.08747668009116877,,,,0.011726638302206993,0.14597642421722412,,0.0,0,0,0,0,0,3.695463428000039,3.693467284999315,0.4475851449997208,0.000904974000150105,0.0,12628,0,10,1.0
29,0.08208776496851841,,,,0.011971668340265751,0.14896856248378754,,0.0,0,0,0,0,0,3.4336361070008934,3.43120852300126,0.4218339460003335,0.0010450170002513914,0.0,12628,0,10,1.0
30,0.08662894213040517,0.09451120011298673,0.9597164034805027,0.8979591836734694,0.012234769761562347,0.15212272107601166,0.050138888888888886,0.0,0,0,0,0,0,3.439156913000261,3.4366531389978263,0.40382279099958396,0.0011341500003254623,0.0,12628,0,10,1.0
31,0.081945310343754,,,,0.012548903003334999,0.15589000284671783,,0.0,0,0,0,0,0,3.6141598379999778,3.6120935699991605,0.3949382529999639,0.0009259110001949011,0.0,12628,0,10,1.0
32,0.07672987502000049,,,,0.012846912257373333,0.1594679355621338,,0.0,0,0,0,0,0,3.4057020669997655,3.4035308920019816,0.40931560000080935,0.0009559190002619289,0.0,12628,0,10,1.0
33,0.08404991871525938,,,,0.013126863166689873,0.16279013454914093,,0.0,0,0,0,0,0,3.2121392750004816,3.209998995001115,0.367205797000679,0.0009339939997516922,0.0,12628,0,10,1.0
34,0.06909955125584277,,,,0.013389184139668941,0.16592848300933838,,0.0,0,0,0,0,0,3.268647195000085,3.2664643130001423,0.37290415499956,0.0009970849996534525,0.0,12628,0,10,1.0
35,0.06840436072727231,0.11121899695231567,0.954882371898163,0.8918083462132921,0.013686549849808216,0.16943226754665375,0.042083333333333334,0.0,0,0,0,0,0,3.362158210000416,3.360035202998006,0.4028652119995968,0.0009849260004557436,0.0,12628,0,10,1.0
36,0.06721690423106252,,,,0.014007043093442917,0.1731932908296585,,0.0,0,0,0,0,0,3.3233948189999865,3.321147454000311,0.371863449000557,0.0010076109992951388,0.0,12628,0,10,1.0
37,0.08165362012458696,,,,0.014252403751015663,0.17624302208423615,,0.0,0,0,0,0,0,3.185304928999358,3.183306712999183,0.3635241629999655,0.0009163660006379359,0.0,12628,0,10,1.0
38,0.07080757977212779,,,,0.014514456503093243,0.17935556173324585,,0.0,0,0,0,0,0,3.372965844000646,3.3707629420005105,0.39005325099969923,0.0009536590005154721,0.0,12628,0,10,1.0
39,0.06536107264284068,,,,0.014844528399407864,0.18319006264209747,,0.0,0,0,0,0,0,3.3354357910002363,3.3334019719986827,0.3788950649995968,0.000894355000127689,0.0,12628,0,10,1.0
40,0.06391843034036869,0.08730006438032223,0.9629390912020626,0.9059689288634505,0.015138509683310986,0.18668881058692932,0.043055555555555555,0.0,0,0,0,0,0,3.5059889260001,3.5034305199997107,0.41483400800007075,0.0010577129996818257,0.0,12628,0,10,1.0
41,0.06454359857060599,,,,0.015433099120855331,0.1901608556509018,,0.0,0,0,0,0,0,3.5357407090004926,3.5334605210009613,0.41212688900031935,0.0009392189995196532,0.0,12628,0,10,1.0
42,0.06081454752463089,,,,0.01571296714246273,0.19345365464687347,,0.0,0,0,0,0,0,3.3028195479992064,3.300724839000395,0.39587477700024465,0.0009516119998806971,0.0,12628,0,10,1.0
43,0.06746590262815788,,,,0.016003156080842018,0.1968958079814911,,0.0,0,0,0,0,0,3.1982200229995215,3.19619690700074,0.36148372500065307,0.0008731389998501982,0.0,12628,0,10,1.0
44,0.06236495134851985,,,,0.01623663306236267,0.19962938129901886,,0.0,0,0,0,0,0,3.473535331000676,3.4709398790000705,0.39776154900027905,0.0010192499994445825,0.0,12628,0,10,1.0
45,0.06080336539875562,0.10853356028074147,0.9532710280373832,0.8860958366064414,0.016506068408489227,0.2027406543493271,0.05763888888888889,0.0,0,0,0,0,0,3.3595142809999743,3.357533185999273,0.39109758399990824,0.0008402749999731896,0.0,12628,0,10,1.0
46,0.05719701777465207,,,,0.01676834747195244,0.2058142125606537,,0.0,0,0,0,0,0,3.273917759000142,3.2715340500008097,0.369155258000319,0.001042613000208803,0.0,12628,0,10,1.0
47,0.06496841309225146,,,,0.017092157155275345,0.209651917219162,,0.0,0,0,0,0,0,4.159177622000243,4.154437714000778,0.5006473860003098,0.0024536459995943005,0.0,12628,0,10,1.0
48,0.05030040748380012,,,,0.01731615699827671,0.21224698424339294,,0.0,0,0,0,0,0,3.4694367270003568,3.4671527649998097,0.4782371629999034,0.0010075689997393056,0.0,12628,0,10,1.0
49,0.061208630244680415,,,,0.01751668192446232,0.21452386677265167,,0.0,0,0,0,0,0,3.3754423949994816,3.373296876998211,0.3892046369992386,0.0009431710004719207,0.0,12628,0,10,1.0
50,0.06277167999955977,0.10424627954733896,0.9581050596197228,0.8961661341853036,0.01776115968823433,0.21742600202560425,0.044305555555555556,0.0,0,0,0,0,0,3.3302833600000668,3.3279207369978394,0.371416871999827,0.0010916979999819887,0.0,12628,0,10,1.0
