split,node,engines,windows,positive,positive_fraction
train,0,8,1358,248,0.18262150220913106
train,1,8,1229,248,0.2017900732302685
train,2,8,1268,248,0.19558359621451105
train,3,8,1214,248,0.2042833607907743
train,4,8,1204,248,0.2059800664451827
train,5,8,1384,248,0.1791907514450867
train,6,8,1090,248,0.22752293577981653
train,7,8,1422,248,0.17440225035161744
train,8,8,1299,248,0.19091608929946113
train,9,8,1160,248,0.21379310344827587
validation,0,2,310,62,0.2
validation,1,2,351,62,0.17663817663817663
validation,2,2,310,62,0.2
validation,3,2,327,62,0.18960244648318042
validation,4,2,317,62,0.19558359621451105
validation,5,2,376,62,0.16489361702127658
validation,6,2,216,62,0.28703703703703703
validation,7,2,366,62,0.16939890710382513
validation,8,2,269,62,0.23048327137546468
validation,9,2,261,62,0.23754789272030652
test,0,10,592,13,0.02195945945945946
test,1,10,998,69,0.06913827655310621
test,2,10,1009,11,0.010901883052527254
test,3,9,710,67,0.09436619718309859
test,4,9,895,26,0.02905027932960894
test,5,9,783,26,0.033205619412515965
test,6,9,797,20,0.025094102885821833
test,7,9,597,23,0.038525963149078725
test,8,9,1145,54,0.04716157205240175
test,9,9,729,23,0.03155006858710562
