split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,1104,6,11,237,0.9874815905743741,0.9753086419753086,0.9556451612903226,0.9653767820773931,0.005405405405405406,0.9751198779424586,1358,248,0.5,0.9991644870677129,0.9964643192679059,0.008976467538304196,0.03068477920491172
train,fixed,1,975,6,9,239,0.9877949552481693,0.9755102040816327,0.9637096774193549,0.9695740365111561,0.0061162079510703364,0.9787967347341422,1229,248,0.5,0.9994820952944659,0.9979792549129475,0.008061104113507047,0.030486751198615426
train,fixed,2,1018,2,11,237,0.9897476340694006,0.9916317991631799,0.9556451612903226,0.973305954825462,0.00196078431372549,0.9768421884882985,1268,248,0.5,0.9997588551549652,0.999023739483124,0.007051642515048902,0.026190465621401208
train,fixed,3,948,18,0,248,0.985172981878089,0.9323308270676691,1.0,0.9649805447470817,0.018633540372670808,0.9906832298136645,1214,248,0.5,0.9995658852601349,0.9983381289357894,0.011358980057128185,0.0397459940024413
train,fixed,4,921,35,2,246,0.9692691029900332,0.8754448398576512,0.9919354838709677,0.9300567107750473,0.036610878661087864,0.9776623026049399,1204,248,0.5,0.9977434539074099,0.9913095903549647,0.021275476841496554,0.07214263421088678
train,fixed,5,1135,1,24,224,0.9819364161849711,0.9955555555555555,0.9032258064516129,0.9471458773784355,0.0008802816901408451,0.951172762380736,1384,248,0.5,0.9993859325306679,0.9972294046999236,0.013532570393861725,0.04396585220772439
train,fixed,6,826,16,11,237,0.9752293577981651,0.9367588932806324,0.9556451612903226,0.9461077844311377,0.019002375296912115,0.9683213929967053,1090,248,0.5,0.997624703087886,0.9922202344278467,0.018113281678219285,0.05863540486362436
train,fixed,7,1174,0,22,226,0.9845288326300985,1.0,0.9112903225806451,0.9535864978902954,0.0,0.9556451612903225,1422,248,0.5,0.9998935264054515,0.999502149364113,0.010762103928280864,0.033122268722003724
train,fixed,8,1046,5,12,236,0.9869130100076983,0.979253112033195,0.9516129032258065,0.9652351738241309,0.004757373929590866,0.9734277646481078,1299,248,0.5,0.9994053282588012,0.9975035975865089,0.008563034298415328,0.02939334385022544
train,fixed,9,904,8,3,245,0.9905172413793103,0.9683794466403162,0.9879032258064516,0.9780439121756487,0.008771929824561403,0.9895656479909452,1160,248,0.5,0.999681663837012,0.998836836074048,0.0075511360846639355,0.03007018425430898
train,val_f1,0,1106,4,15,233,0.9860088365243005,0.9831223628691983,0.9395161290322581,0.9608247422680413,0.0036036036036036037,0.9679562627143272,1358,248,0.65,0.9991644870677129,0.9964643192679059,0.008976467538304196,0.03068477920491172
train,val_f1,1,976,5,12,236,0.9861676159479251,0.979253112033195,0.9516129032258065,0.9652351738241309,0.0050968399592252805,0.9732580316332906,1229,248,0.65,0.9994820952944659,0.9979792549129475,0.008061104113507047,0.030486751198615426
train,val_f1,2,1020,0,18,230,0.9858044164037855,1.0,0.9274193548387096,0.9623430962343096,0.0,0.9637096774193548,1268,248,0.65,0.9997588551549652,0.999023739483124,0.007051642515048902,0.026190465621401208
train,val_f1,3,953,13,3,245,0.9868204283360791,0.9496124031007752,0.9879032258064516,0.9683794466403162,0.013457556935817806,0.9872228344353169,1214,248,0.65,0.9995658852601349,0.9983381289357894,0.011358980057128185,0.0397459940024413
train,val_f1,4,929,27,3,245,0.9750830564784053,0.9007352941176471,0.9879032258064516,0.9423076923076923,0.028242677824267783,0.9798302739910919,1204,248,0.65,0.9977434539074099,0.9913095903549647,0.021275476841496554,0.07214263421088678
train,val_f1,5,1135,1,31,217,0.976878612716763,0.9954128440366973,0.875,0.9313304721030042,0.0008802816901408451,0.9370598591549295,1384,248,0.65,0.9993859325306679,0.9972294046999236,0.013532570393861725,0.04396585220772439
