epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5835699942952359,,,,0.0013400998432189226,0.01726980321109295,,0.0,0,0,0,0,0,4.101351024999531,4.0991073630002575,0.5008234689994424,0.0009850030000961851,0.0,12569,0,10,1.0
2,0.43892557829560264,,,,0.0022734387312084436,0.029230237007141113,,0.0,0,0,0,0,0,3.7334248940005637,3.7313160889989376,0.5538852239997141,0.0009513439999864204,0.0,12569,0,10,1.0
3,0.28765882110378466,,,,0.003105267882347107,0.03981179744005203,,0.0,0,0,0,0,0,4.142760024999916,4.140551635999145,0.5289928800002599,0.0009609239996279939,0.0,12569,0,10,1.0
4,0.2744860525869185,,,,0.0035738723818212748,0.045823901891708374,,0.0,0,0,0,0,0,4.069015303000015,4.066941911999493,0.4910928879999119,0.0009302419994128286,0.0,12569,0,10,1.0
5,0.23220078603681102,0.2424974049778159,0.8950031625553447,0.724709784411277,0.0042627425864338875,0.05456298589706421,0.04791666666666667,0.0,0,0,0,0,0,4.264239375000216,4.26203410099879,0.9118760020000991,0.0009681319997980609,0.0,12569,0,10,1.0
6,0.22743146194158936,,,,0.004952253773808479,0.06331868469715118,,0.0,0,0,0,0,0,3.825116304000403,3.822681194999859,0.4890532199997324,0.0008512650001648581,0.0,12569,0,10,1.0
7,0.1969986631132304,,,,0.005736253689974546,0.07317344844341278,,0.0,0,0,0,0,0,3.9652949080000326,3.963124276999224,0.4809626329997627,0.000978326000222296,0.0,12569,0,10,1.0
8,0.17784545981438254,,,,0.00637695612385869,0.08120694756507874,,0.0,0,0,0,0,0,4.186384048000036,4.18439510999815,0.5640880410001046,0.0008876399997461704,0.0,12569,0,10,1.0
9,0.154746323512427,,,,0.006917362101376057,0.08790881186723709,,0.0,0,0,0,0,0,4.007068251000419,4.004944549999891,0.5190158510004039,0.0009517199996480485,0.0,12569,0,10,1.0
10,0.1546078344010646,0.21840256182938142,0.9155597722960152,0.7668122270742358,0.007385305128991604,0.09374233335256577,0.05125,0.0,0,0,0,0,0,3.8698857489998773,3.8679404250005973,0.4845038140001634,0.0008304370003315853,0.0,12569,0,10,1.0
11,0.14689418944560886,,,,0.007741391658782959,0.09812255948781967,,0.0,0,0,0,0,0,3.718059789000108,3.715938759997698,0.46917820399994525,0.000998194999738189,0.0,12569,0,10,1.0
12,0.13351074167250937,,,,0.00812746025621891,0.10291265696287155,,0.0,0,0,0,0,0,4.065633773000627,4.06352524599879,0.5033249500002057,0.0009391050007252488,0.0,12569,0,10,1.0
13,0.1344599084974958,,,,0.008463067933917046,0.1070772111415863,,0.0,0,0,0,0,0,3.9963973039994016,3.9941577279996636,0.4953423119995932,0.0009916630006046034,0.0,12569,0,10,1.0
14,0.12773340992635018,,,,0.00890918355435133,0.11257421225309372,,0.0,0,0,0,0,0,3.962655024999549,3.9605945820012494,0.5224641840004551,0.0009035610000864835,0.0,12569,0,10,1.0
15,0.13076850989500563,0.1757244450488777,0.9307400379506642,0.8139337298215803,0.009240133687853813,0.11667878180742264,0.06527777777777778,0.0,0,0,0,0,0,4.061182260000351,4.058757635996699,0.5131609229993046,0.0012076869998054462,0.0,12569,0,10,1.0
16,0.12975249701730496,,,,0.009449390694499016,0.11923127621412277,,0.0,0,0,0,0,0,3.673533125999711,3.6712691379989337,0.45037223899998935,0.0010233339999103919,0.0,12569,0,10,1.0
17,0.1293275142076678,,,,0.009828922338783741,0.12394773215055466,,0.0,0,0,0,0,0,4.00069881500076,3.998513642000944,0.5164659789998041,0.0009517640000922256,0.0,12569,0,10,1.0
18,0.11438302603409697,,,,0.010207828134298325,0.1285848170518875,,0.0,0,0,0,0,0,3.954630088000158,3.952365782000925,0.4809173430003284,0.0009723880002638907,0.0,12569,0,10,1.0
19,0.11154981284951286,,,,0.010592080652713776,0.13333238661289215,,0.0,0,0,0,0,0,4.1002217440000095,4.098055596999984,0.5342241489997832,0.0009437329999855137,0.0,12569,0,10,1.0
20,0.10154212017747437,0.12402345093537501,0.9582542694497154,0.8910891089108911,0.01098123099654913,0.13809767365455627,0.07569444444444444,0.0,0,0,0,0,0,3.939357401000052,3.9371879800009992,0.5023526389995823,0.0009872370001176023,0.0,12569,0,10,1.0
21,0.11035791252191893,,,,0.011180727742612362,0.1405453234910965,,0.0,0,0,0,0,0,4.0048067230000015,4.002626511001836,0.503717907000464,0.0009628269999666372,0.0,12569,0,10,1.0
22,0.11091870919060828,,,,0.011576775461435318,0.1453939825296402,,0.0,0,0,0,0,0,3.8483630959999573,3.846222066000337,0.4941449839998313,0.0009643659996072529,0.0,12569,0,10,1.0
23,0.09683260742236555,,,,0.011899953708052635,0.14933855831623077,,0.0,0,0,0,0,0,3.9894477610005197,3.9872705669986317,0.5470111499998893,0.0009632909996071248,0.0,12569,0,10,1.0
24,0.10188220253447038,,,,0.012188879773020744,0.15288403630256653,,0.0,0,0,0,0,0,3.9310591590001422,3.9289532119992145,0.5030726350005352,0.0009379549992445391,0.0,12569,0,10,1.0
25,0.10794329323706583,0.19134507280486987,0.9383301707779886,0.8405560098119379,0.012554338201880455,0.1573404222726822,0.05361111111111111,0.0,0,0,0,0,0,3.7869697189998988,3.784775842998897,0.47071009100000083,0.0009843150000961032,0.0,12569,0,10,1.0
26,0.09744893398804741,,,,0.012815827503800392,0.16054488718509674,,0.0,0,0,0,0,0,3.843428555000173,3.8412704920010583,0.48256650600069406,0.0009544730000925483,0.0,12569,0,10,1.0
27,0.09071994151925958,,,,0.013244925066828728,0.16570547223091125,,0.0,0,0,0,0,0,3.496340861000135,3.493584617999659,0.40795728699959,0.0010348969999540714,0.0,12569,0,10,1.0
28,0.08500921074850329,,,,0.01353288535028696,0.1692437380552292,,0.0,0,0,0,0,0,3.970597726000051,3.9683402310010933,0.5021543920001932,0.0009683270000095945,0.0,12569,0,10,1.0
29,0.08898948774290352,,,,0.013842123560607433,0.17294493317604065,,0.0,0,0,0,0,0,3.4627455360005115,3.460601007999685,0.4344108139994205,0.0009589419996700599,0.0,12569,0,10,1.0
30,0.09270308684866838,0.14203642438782782,0.9500316255534472,0.8633217993079585,0.014086330309510231,0.17596003413200378,0.05291666666666667,0.0,0,0,0,0,0,3.920986819999598,3.918799031999697,0.48385838200010767,0.0009708470006444259,0.0,12569,0,10,1.0
31,0.09091210143381015,,,,0.014431864023208618,0.18011817336082458,,0.0,0,0,0,0,0,4.010572082000181,4.00835220099998,0.48051283600034367,0.0009803809998629731,0.0,12569,0,10,1.0
32,0.08015071318668684,,,,0.014734162017703056,0.1837693303823471,,0.0,0,0,0,0,0,3.9386421159997553,3.9364539369998965,0.5037229889994705,0.0009613430001991219,0.0,12569,0,10,1.0
33,0.07142082093991467,,,,0.015061848796904087,0.18764394521713257,,0.0,0,0,0,0,0,3.551308037999661,3.549276870999165,0.4339494730002116,0.0009177069996439968,0.0,12569,0,10,1.0
34,0.08033609288219504,,,,0.01541076134890318,0.19186139106750488,,0.0,0,0,0,0,0,3.753319207000459,3.7512493160002123,0.4677114989999609,0.0008968579995780601,0.0,12569,0,10,1.0
35,0.0767040592134166,0.13351290951943287,0.9614168247944339,0.9008130081300812,0.015701863914728165,0.19539248943328857,0.06430555555555556,0.0,0,0,0,0,0,3.3566855700000815,3.3546966740013886,0.4177430350000577,0.000876833000802435,0.0,12569,0,10,1.0
36,0.06752818990499088,,,,0.016050349920988083,0.19955706596374512,,0.0,0,0,0,0,0,3.6827896599997985,3.6806260190014655,0.45421929599979194,0.0009488750001764856,0.0,12569,0,10,1.0
37,0.08516757458093002,,,,0.0163181871175766,0.2028716802597046,,0.0,0,0,0,0,0,3.573542782000004,3.571374346001903,0.43153085199992347,0.0009582630000295467,0.0,12569,0,10,1.0
