split,node,engines,windows,positive,positive_fraction
train,0,8,1365,248,0.18168498168498168
train,1,8,1265,248,0.19604743083003953
train,2,8,1073,248,0.23112767940354148
train,3,8,1550,248,0.16
train,4,8,1074,248,0.2309124767225326
train,5,8,1474,248,0.16824966078697423
train,6,8,1353,248,0.18329637841832963
train,7,8,1059,248,0.23418319169027385
train,8,8,1267,248,0.1957379636937648
train,9,8,1089,248,0.22773186409550045
validation,0,2,294,62,0.2108843537414966
validation,1,2,362,62,0.1712707182320442
validation,2,2,255,62,0.24313725490196078
validation,3,2,315,62,0.19682539682539682
validation,4,2,267,62,0.23220973782771537
validation,5,2,379,62,0.16358839050131926
validation,6,2,227,62,0.27312775330396477
validation,7,2,265,62,0.2339622641509434
validation,8,2,329,62,0.1884498480243161
validation,9,2,469,62,0.13219616204690832
test,0,10,954,65,0.06813417190775681
test,1,10,705,20,0.028368794326241134
test,2,10,1141,57,0.04995617879053462
test,3,9,640,0,0.0
test,4,9,812,65,0.08004926108374384
test,5,9,916,27,0.02947598253275109
test,6,9,859,34,0.03958090803259604
test,7,9,643,25,0.038880248833592534
test,8,9,745,13,0.0174496644295302
test,9,9,840,26,0.030952380952380953
