split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,1103,14,19,229,0.9758241758241758,0.9423868312757202,0.9233870967741935,0.9327902240325866,0.012533572068039392,0.955426762353077,1365,248,0.5,0.9935418892771537,0.9802618316467705,0.018197664760711683,0.06903470151843957
train,fixed,1,1009,8,13,235,0.983399209486166,0.9670781893004116,0.9475806451612904,0.9572301425661914,0.007866273352999017,0.9698571859041456,1265,248,0.5,0.9992189234624291,0.9968431551072577,0.009920073215684728,0.036300423773752664
train,fixed,2,781,44,0,248,0.9589934762348555,0.8493150684931506,1.0,0.9185185185185185,0.05333333333333334,0.9733333333333334,1073,248,0.5,0.9990518084066471,0.9969142827365317,0.02927218894915967,0.0932690032997973
train,fixed,3,1299,3,4,244,0.9954838709677419,0.9878542510121457,0.9838709677419355,0.9858585858585859,0.002304147465437788,0.9907834101382489,1550,248,0.5,0.9998668301868093,0.9993095986553708,0.004060843539810859,0.0169017905954921
train,fixed,4,812,14,2,246,0.9851024208566108,0.9461538461538461,0.9919354838709677,0.968503937007874,0.01694915254237288,0.9874931656642975,1074,248,0.5,0.9996045848629227,0.9987563955846821,0.009853387188701367,0.03450680259617135
train,fixed,5,1212,14,1,247,0.9898236092265943,0.946360153256705,0.9959677419354839,0.9705304518664047,0.011419249592169658,0.9922742461716572,1474,248,0.5,0.9997237278324475,0.9986618691995086,0.00730550799348381,0.028610187227776914
train,fixed,6,1094,11,8,240,0.9859571322985957,0.9561752988047809,0.967741935483871,0.9619238476953907,0.009954751131221719,0.9788935921763247,1353,248,0.5,0.998781199824843,0.9945088091492733,0.01033089673110835,0.03645794334696647
train,fixed,7,808,3,16,232,0.9820585457979226,0.9872340425531915,0.9354838709677419,0.9606625258799172,0.0036991368680641184,0.9658923670498389,1059,248,0.5,0.9993884491468119,0.9979759808986476,0.01282749417077704,0.04827768019552828
train,fixed,8,1019,0,9,239,0.9928966061562746,1.0,0.9637096774193549,0.9815195071868583,0.0,0.9818548387096775,1267,248,0.5,0.9998219316850803,0.9993035911275977,0.00651071871558151,0.025529767829976846
train,fixed,9,836,5,25,223,0.9724517906336089,0.9780701754385965,0.8991935483870968,0.9369747899159664,0.005945303210463734,0.9466241225883165,1089,248,0.5,0.9984705228031145,0.9948100352721458,0.017456082861259964,0.0559556036860005
train,val_f1,0,1096,21,16,232,0.9728937728937729,0.9169960474308301,0.9354838709677419,0.9261477045908184,0.018800358102059087,0.9583417564328414,1365,248,0.41000000000000003,0.9935418892771537,0.9802618316467705,0.018197664760711683,0.06903470151843957
train,val_f1,1,1007,10,7,241,0.9865612648221344,0.9601593625498008,0.9717741935483871,0.9659318637274549,0.00983284169124877,0.9809706759285692,1265,248,0.41000000000000003,0.9992189234624291,0.9968431551072577,0.009920073215684728,0.036300423773752664
train,val_f1,2,772,53,0,248,0.9506057781919851,0.8239202657807309,1.0,0.9034608378870674,0.06424242424242424,0.9678787878787879,1073,248,0.41000000000000003,0.9990518084066471,0.9969142827365317,0.02927218894915967,0.0932690032997973
train,val_f1,3,1294,8,2,246,0.9935483870967742,0.968503937007874,0.9919354838709677,0.9800796812749004,0.006144393241167435,0.9928955453149002,1550,248,0.41000000000000003,0.9998668301868093,0.9993095986553708,0.004060843539810859,0.0169017905954921
